ID,DataName,Value,Key,English,es,ar,fr,hi,ko,tl,vi,zh,
2,Correct_Answer_1,sets up the government,Correct_Answer_1,sets up the government,establece el gobierno,____ _______,établit le gouvernement,_____ __ _______ ____ __,___ ____,itinatatag ang pamahalaan,thi_t l_p chính ph_,____,
2,Correct_Rationale_1,One of the main functions of the Constitution is to establish and define the government.,Correct_Rationale_1,One of the main functions of the Constitution is to establish and define the government.,Una de las funciones principales de la Constitución es establecer y definir el gobierno.,____ _______ ________ _______ __ _____ _______ ________.,L'une des principales fonctions de la Constitution est d'établir et de définir le gouvernement.,_______ __ __ _____ _____ _____ __ _______ __ _______ ____ ___,___ __ __ _ ___ ___ ____ ____ ____.,Isa sa mga pangunahing tungkulin ng Konstitusyon ay ang magtatag at magtakda ng pamahalaan.,M_t trong nh_ng ch_c n_ng chính c_a Hi_n pháp là thi_t l_p và __nh ngh_a chính ph_.,__________________,
2,Correct_Answer_2,defines the government,Correct_Answer_2,defines the government,define el gobierno,_____ _______,définit le gouvernement,_____ __ ________ ____ __,___ ____,tinutukoy ang pamahalaan,__nh ngh_a chính ph_,____,
2,Correct_Rationale_2,The Constitution specifies the powers and responsibilities of each branch of government.,Correct_Rationale_2,The Constitution specifies the powers and responsibilities of each branch of government.,La Constitución especifica los poderes y responsabilidades de cada rama del gobierno.,____ _______ _______ _________ __ ___ __ ____ _______.,La Constitution précise les pouvoirs et responsabilités de chaque branche du gouvernement.,_______ _____ __ ________ ____ __ ________ __ _____________ __ _________ ____ ___,___ __ _ ___ ___ ___ _____.,Tinutukoy ng Konstitusyon ang mga kapangyarihan at pananagutan ng bawat sangay ng pamahalaan.,Hi_n pháp quy __nh quy_n h_n và trách nhi_m c_a t_ng nhánh chính ph_.,_________________,
2,Correct_Answer_3,protects basic rights of Americans,Correct_Answer_3,protects basic rights of Americans,protege los derechos básicos de los estadounidenses,____ ______ ________ __________,protège les droits fondamentaux des Américains,__________ __ _____ ________ __ _____ ____ __,____ ____ ____,pinoprotektahan ang mga pangunahing karapatan ng mga Amerikano,b_o v_ các quy_n c_ b_n c_a ng__i M_,__________,
2,Correct_Rationale_3,"Several amendments, including the Bill of Rights, protect the basic rights of citizens.",Correct_Rationale_3,"Several amendments, including the Bill of Rights, protect the basic rights of citizens.","Varias enmiendas, incluida la Carta de Derechos, protegen los derechos básicos de los ciudadanos.","___ ________ ___ __ ___ _____ _______ ____ ______ ________ _________.","Plusieurs amendements, y compris la Déclaration des droits, protègent les droits fondamentaux des citoyens.","__ ______, ______ ________ __ ______ _____ __, ________ __ _____ ________ __ _____ ____ ____",__ ___ ___ __ ____ ___ ____ _____.,"Maraming mga susog, kabilang ang Bill of Rights, ang nagpoprotekta sa mga pangunahing karapatan ng mga mamamayan.","M_t s_ tu chính án, bao g_m Tuyên ngôn Nhân quy_n, b_o v_ các quy_n c_ b_n c_a công dân.",__________________________,
2,Wrong_Answer_1,"elects the President, makes laws, collects taxes",Wrong_Answer_1,"elects the President, makes laws, collects taxes","elige al Presidente, hace leyes, recauda impuestos","_____ _______ ___ _________ ____ _______","élit le président, fait les lois, perçoit les impôts","__________ __ _____ ____ __, _____ _____ __, __ ______ __","____ ____, __ ___, ___ ____","inihahalal ang Pangulo, gumagawa ng batas, nangongolekta ng buwis","b_u T_ng th_ng, làm lu_t, thu thu_",______________,
2,Wrong_Rationale_1,"The Constitution outlines the process for electing a President, but it does not elect the President itself. Laws are made by Congress, not directly by the Constitution. Collecting taxes is a power granted to Congress by the Constitution, not an action of the Constitution itself.",Wrong_Rationale_1,"The Constitution outlines the process for electing a President, but it does not elect the President itself. Laws are made by Congress, not directly by the Constitution. Collecting taxes is a power granted to Congress by the Constitution, not an action of the Constitution itself.","La Constitución describe el proceso para elegir a un presidente, pero no elige al presidente por sí misma. Las leyes son hechas por el Congreso, no directamente por la Constitución. La recaudación de impuestos es un poder otorgado al Congreso por la Constitución, no una acción de la Constitución en sí.","____ _______ _____ ______ _______ ____ __ _____ ______ _____. ________ _____ _________ ____ _______ ______. ___ _______ __ ____ ______ _______ _________ ____ _____ ____ __ _______ ____.","La Constitution décrit le processus d'élection d'un président, mais elle n'élit pas le président elle-même. Les lois sont faites par le Congrès, non directement par la Constitution. La perception des impôts est un pouvoir accordé au Congrès par la Constitution, et non une action de la Constitution elle-même.","_______ __________ __ _____ __ _________ _____ __, _____ __ _____ __________ __ _____ ____ _____ _____ ________ ______ ____ ____ ___, _ __ ____ _______ _______ __ ______ ____ ________ __ _______ ______ __ __ _____ __, _ __ _____ _______ __ _________","___ ___ __ ___ _____, ____ __ ____ ____. __ ___ ___ ____ ____. __ ___ ___ ___ ___ ____ __ ___ ___ ____.","Itinatakda ng Konstitusyon ang proseso para sa paghalal ng Pangulo, ngunit hindi ito mismo ang pumipili ng Pangulo. Ang mga batas ay ginagawa ng Kongreso, hindi ng Konstitusyon mismo. Ang pangongolekta ng buwis ay kapangyarihang ibinigay sa Kongreso ng Konstitusyon, hindi aksyon ng Konstitusyon mismo.","Hi_n pháp quy __nh quy trình b_u T_ng th_ng, nh_ng không t_ b_u T_ng th_ng. Lu_t do Qu_c h_i ban hành, không ph_i tr_c ti_p do Hi_n pháp. Vi_c thu thu_ là quy_n do Hi_n pháp trao cho Qu_c h_i, không ph_i hành __ng c_a b_n thân Hi_n pháp.",_________________________________________________________________,
2,Wrong_Answer_2,"enforces laws, commands the military, negotiates treaties",Wrong_Answer_2,"enforces laws, commands the military, negotiates treaties","hace cumplir las leyes, dirige el ejército, negocia tratados","____ _________ ____ ______ ______ ___ _________","applique les lois, commande l'armée, négocie des traités","_____ ____ ____ __, ____ __ _______ ____ __, _______ ____ __",__ ____ __ ____ ___ ____,"nagpapatupad ng mga batas, namumuno sa militar, nakikipagkasundo sa mga tratado","th_c thi lu_t pháp, ch_ huy quân __i, _àm phán các hi_p __c",______________,
2,Wrong_Rationale_2,"These are powers of the executive branch that are granted by the Constitution, but they are not what the Constitution itself does.",Wrong_Rationale_2,"These are powers of the executive branch that are granted by the Constitution, but they are not what the Constitution itself does.","Estos son poderes del poder ejecutivo que están otorgados por la Constitución, pero no son lo que la Constitución en sí misma hace.","___ __ _____ _____ ________ ____ ______ ________ _____ ____ __ ____ __ _______ ____.","Ce sont des pouvoirs de l'exécutif qui sont accordés par la Constitution, mais ce n'est pas ce que fait la Constitution elle-même.","__ _________ ____ __ ________ ___ __ _______ ______ __ __ ___, _____ __ _____ _______ __ _____ ____ ____",____ ___ __ ___ ____ _____ __ ___ __ __ ____.,"Ito ay mga kapangyarihan ng sangay ng ehekutibo na ibinigay ng Konstitusyon, ngunit hindi ito mismo ang ginagawa ng Konstitusyon.","_ây là nh_ng quy_n h_n c_a nhánh hành pháp ___c Hi_n pháp trao, nh_ng không ph_i là nh_ng gì b_n thân Hi_n pháp làm.",____________________________,
2,Wrong_Answer_3,"interprets laws, resolves disputes, reviews court cases",Wrong_Answer_3,"interprets laws, resolves disputes, reviews court cases","interpreta las leyes, resuelve disputas, revisa casos judiciales","____ _________ ___ _________ _____ _______ ________","interprète les lois, résout les différends, examine les affaires judiciaires","_______ __ ________ ____ __, _______ __ ______ ____ __, ________ ______ __ _______ ____ __",__ ____ ___ ____ __ ___ ____,"nagsusuri ng mga batas, nag-aayos ng mga alitan, nire-review ang mga kaso sa korte","gi_i thích lu_t pháp, gi_i quy_t tranh ch_p, xem xét các v_ án",______________,
2,Wrong_Rationale_3,"These are functions of the judicial branch that are established by the Constitution, but they are not direct actions of the Constitution itself.",Wrong_Rationale_3,"These are functions of the judicial branch that are established by the Constitution, but they are not direct actions of the Constitution itself.","Estas son funciones del poder judicial que están establecidas por la Constitución, pero no son acciones directas de la Constitución en sí misma.","___ _____ ______ ________ ____ ______ ________ _____ ____ _______ ______ _______ ____.","Ce sont des fonctions du pouvoir judiciaire établies par la Constitution, mais elles ne sont pas des actions directes de la Constitution elle-même.","__ ___________ __ _______________ ___ __ _______ ______ _______ __ __ ___, _____ __ _____ _______ __ ____ ________ ____ ____",____ ___ __ ___ ____ _____ __ ___ ____ ___ ____.,"Ito ay mga tungkulin ng sangay ng hudikatura na itinatag ng Konstitusyon, ngunit hindi ito direktang aksyon ng Konstitusyon mismo.","_ây là các ch_c n_ng c_a nhánh t_ pháp ___c Hi_n pháp thi_t l_p, nh_ng không ph_i là hành __ng tr_c ti_p c_a b_n thân Hi_n pháp.",_____________________________,
3,Question,The idea of self-government is in the first three words of the Constitution. What are these words?,Question,The idea of self-government is in the first three words of the Constitution. What are these words?,La idea de autogobierno está en las tres primeras palabras de la Constitución. ¿Cuáles son estas palabras?,____ _____ ______ ______ __ ___ ____ _____ __ _______. __ __ ___ ________,L'idée d'autonomie gouvernementale se trouve dans les trois premiers mots de la Constitution. Quels sont ces mots ?,____-____ __ _____ _______ __ ____ ___ ______ ___ ___ __ ____ ____ ___?,__ ___ ___ _ _ ___ ____. _ ____ _____?,Ang ideya ng sariling pamahalaan ay nasa unang tatlong salita ng Konstitusyon. Ano ang mga salitang ito?,_ t__ng v_ t_ tr_ n_m trong ba t_ __u tiên c_a Hi_n pháp. Nh_ng t_ _ó là gì?,_________________________,
3,Correct_Answer_1,We the People,Correct_Answer_1,We the People,"Nosotros, el Pueblo",___ _____,"Nous, le peuple","__, ___",___ ____,"Kami, ang mga Tao","Chúng tôi, Nhân dân",____,
3,Correct_Rationale_1,These words symbolize that the power of the government comes from the people.,Correct_Rationale_1,These words symbolize that the power of the government comes from the people.,Estas palabras simbolizan que el poder del gobierno proviene del pueblo.,___ _______ ____ ___ __ ____ _______ ____ __ _____.,Ces mots symbolisent que le pouvoir du gouvernement vient du peuple.,__ ____ _______ ___ __ _____ __ _____ ____ __ ___ ___,_ ____ ___ ___ ______ ____ __ _____.,Ang mga salitang ito ay sumasagisag na ang kapangyarihan ng pamahalaan ay nagmumula sa mga tao.,Nh_ng t_ này t__ng tr_ng cho quy_n l_c c_a chính ph_ xu_t phát t_ nhân dân.,________________,
3,Wrong_Answer_1,Four score and,Wrong_Answer_1,Four score and,Cuatro décadas y,______ ___ _,Quatre-vingts et,___ _____ __,____ __,Apat na pu at,B_n m__i n_m và,____,
3,Wrong_Rationale_1,This is the beginning of Lincoln's Gettysburg Address.,Wrong_Rationale_1,This is the beginning of Lincoln's Gettysburg Address.,Este es el comienzo del Discurso de Gettysburg de Lincoln.,___ __ _____ ____ ______ __ _________.,Ceci est le début du discours de Gettysburg de Lincoln.,__ _____ __ _________ ____ __ ______ ___,___ ___ _____ ___ _____.,Ito ang simula ng Gettysburg Address ni Lincoln.,_ây là ph_n m_ __u c_a Bài di_n v_n Gettysburg c_a Lincoln.,_______________,
3,Wrong_Answer_2,Congress shall make,Wrong_Answer_2,Congress shall make,El Congreso hará,___ ___ ________ __ ___,Le Congrès fera,________ ______,___ __ ___,Gagawa ang Kongreso,Qu_c h_i s_ ban hành,______,
3,Wrong_Rationale_2,This is a phrase from Article I of the Constitution.,Wrong_Rationale_2,This is a phrase from Article I of the Constitution.,Esta es una frase del Artículo I de la Constitución.,___ _____ __ ______ ______ __ _______.,C'est une phrase de l'article I de la Constitution.,__ _______ __ ________ I __ ____ ___ ________ ___,___ __ _1__ ___ _____.,Ito ay isang parirala mula sa Artikulo I ng Konstitusyon.,_ây là m_t c_m t_ trong _i_u I c_a Hi_n pháp.,_____________,
3,Wrong_Answer_3,I pledge allegiance,Wrong_Answer_3,I pledge allegiance,Prometo lealtad,_____ _______,Je fais serment d'allégeance,___ ______ __ ___ ____ ___,__ ___ ____,Ako'y nanunumpa ng katapatan,Tôi tuyên th_ trung thành,_____,
3,Wrong_Rationale_3,This is the beginning of the Pledge of Allegiance.,Wrong_Rationale_3,This is the beginning of the Pledge of Allegiance.,Este es el comienzo de la Promesa de Lealtad.,___ __ _____ ___ ______.,Ceci est le début du serment d'allégeance.,__ ______ __ ___ __ ______ ___,___ __ ___ _____.,Ito ang simula ng Panatang Makabayan.,_ây là ph_n m_ __u c_a L_i th_ trung thành.,__________,
4,Question,What is an amendment?,Question,What is an amendment?,¿Qué es una enmienda?,__ __ ________,Qu'est-ce qu'un amendement ?,______ ____ __?,_____ _____?,Ano ang isang susog?,S_a __i là gì?,_______,
4,Correct_Answer_1,a change,Correct_Answer_1,a change,un cambio,_____,un changement,__ _____,__,isang pagbabago,m_t s_ thay __i,____,
4,Correct_Rationale_1,An amendment is a change to the Constitution.,Correct_Rationale_1,An amendment is a change to the Constitution.,Una enmienda es un cambio a la Constitución.,_______ __ _____ __ _______.,Un amendement est un changement à la Constitution.,______ _______ ___ __ _____ ___,____ ___ __ _____.,Ang susog ay isang pagbabago sa Konstitusyon.,S_a __i là m_t thay __i __i v_i Hi_n pháp.,___________,
4,Correct_Answer_2,an addition,Correct_Answer_2,an addition,una adición,_____,un ajout,__ ____,__,isang karagdagan,m_t b_ sung,____,
4,Correct_Rationale_2,An amendment is an addition to the Constitution.,Correct_Rationale_2,An amendment is an addition to the Constitution.,Una enmienda es una adición a la Constitución.,_______ __ _____ ___ _______.,Un amendement est un ajout à la Constitution.,______ _______ ___ __ ____ ___,____ ___ __ _____.,Ang susog ay isang karagdagan sa Konstitusyon.,S_a __i là m_t b_ sung vào Hi_n pháp.,___________,
4,Wrong_Answer_1,"a new law, a Supreme Court decision",Wrong_Answer_1,"a new law, a Supreme Court decision","una nueva ley, una decisión de la Corte Suprema","_____ _____ ____ __ _______ ______","une nouvelle loi, une décision de la Cour suprême","__ ___ _____, __ ________ ________ __ ______","___ __, ___ __","isang bagong batas, isang desisyon ng Korte Suprema","m_t lu_t m_i, m_t phán quy_t c_a Tòa án T_i cao",______________,
4,Wrong_Rationale_1,"A new law is created by Congress and is different from an amendment, which changes the Constitution itself. A Supreme Court decision interprets the law, but it does not directly change the text of the Constitution.",Wrong_Rationale_1,"A new law is created by Congress and is different from an amendment, which changes the Constitution itself. A Supreme Court decision interprets the law, but it does not directly change the text of the Constitution.","Una nueva ley es creada por el Congreso y es diferente de una enmienda, que cambia la Constitución misma. Una decisión de la Corte Suprema interpreta la ley, pero no cambia directamente el texto de la Constitución.","___ _____ _____ ____ __ ___ ________ ___ _____ __ _______ ____ ____ _______ ____. ____ __ _______ ______ ____ ________ ____ __ ____ __ _______ ______.","Une nouvelle loi est créée par le Congrès et est différente d'un amendement, qui modifie la Constitution elle-même. Une décision de la Cour suprême interprète la loi, mais ne change pas directement le texte de la Constitution.","__ ___ _____ ________ ______ _____ ____ __ __ __ ______ __ ___ __, __ _____ _______ __ _____ ___ ________ ________ __ ______ _____ __ ________ ____ __, _____ __ ____ _______ __ ___ __ ____ ______",___ ___ ____ ____ __ ___ ____ _____ ____. ___ ___ __ _____ ___ ___ __ _____ ____.,"Ang bagong batas ay nililikha ng Kongreso at iba ito sa isang susog, na binabago mismo ang Konstitusyon. Ang desisyon ng Korte Suprema ay nagpapaliwanag ng batas, ngunit hindi nito direktang binabago ang teksto ng Konstitusyon.","Lu_t m_i ___c Qu_c h_i ban hành và khác v_i s_a __i, v_n thay __i chính Hi_n pháp. Phán quy_t c_a Tòa án T_i cao di_n gi_i lu_t nh_ng không tr_c ti_p thay __i v_n b_n Hi_n pháp.",____________________________________________________,
4,Wrong_Answer_2,"a treaty, an executive agreement",Wrong_Answer_2,"a treaty, an executive agreement","un tratado, un acuerdo ejecutivo","_______ _____ ______","un traité, un accord exécutif","__ ____, __ _________ ______","__, __ __","isang tratado, isang kasunduang ehekutibo","m_t hi_p __c, m_t th_a thu_n hành pháp",_______,
4,Wrong_Rationale_2,A treaty is an international agreement that requires Senate approval but doesn't change the Constitution. An executive agreement is made by the President with foreign nations without Senate approval.,Wrong_Rationale_2,A treaty is an international agreement that requires Senate approval but doesn't change the Constitution. An executive agreement is made by the President with foreign nations without Senate approval.,Un tratado es un acuerdo internacional que requiere la aprobación del Senado pero no cambia la Constitución. Un acuerdo ejecutivo es realizado por el Presidente con naciones extranjeras sin la aprobación del Senado.,________ __ _____ ____ _____ ______ ____ ______ _____ __ ____ _______. _______ ________ ____ __ ______ __ _____ ________ ___ ______ ____ ______.,Un traité est un accord international qui nécessite l'approbation du Sénat mais ne modifie pas la Constitution. Un accord exécutif est conclu par le président avec des nations étrangères sans l'approbation du Sénat.,"__ ____ __ ______________ ______ __ ____ _____ __ ______ __ ________ ____ __, _____ __ _______ __ ____ ______ __ _________ ______ __________ ______ ______ _________ __ ___ _____ __ ______ __ ____ ____ ____ ___",___ ___ ___ _____ ___ ____ __ __ _____. __ ___ ____ ___ __ __ ___ _____.,Ang tratado ay isang internasyonal na kasunduan na nangangailangan ng pag-apruba ng Senado ngunit hindi binabago ang Konstitusyon. Ang kasunduang ehekutibo ay ginagawa ng Pangulo sa mga banyagang bansa nang walang pag-apruba ng Senado.,Hi_p __c là m_t th_a thu_n qu_c t_ c_n ___c Th__ng vi_n phê chu_n nh_ng không thay __i Hi_n pháp. Th_a thu_n hành pháp ___c T_ng th_ng k_ v_i các qu_c gia n__c ngoài mà không c_n Th__ng vi_n phê chu_n.,___________________________________________________,
4,Wrong_Answer_3,"a state law, a federal regulation",Wrong_Answer_3,"a state law, a federal regulation","una ley estatal, una regulación federal","_____ ______ _____ _______","une loi d'État, un règlement fédéral","__ _____ _____, __ _____ _______","__, __ __","isang batas ng estado, isang regulasyon ng pederal","m_t lu_t ti_u bang, m_t quy __nh liên bang",________,
4,Wrong_Rationale_3,"A state law applies only within that state and cannot change the federal Constitution. A federal regulation is a rule made by federal agencies to implement laws, but it cannot amend the Constitution.",Wrong_Rationale_3,"A state law applies only within that state and cannot change the federal Constitution. A federal regulation is a rule made by federal agencies to implement laws, but it cannot amend the Constitution.","Una ley estatal se aplica solo dentro de ese estado y no puede cambiar la Constitución federal. Una regulación federal es una norma creada por agencias federales para implementar leyes, pero no puede enmendar la Constitución.","_____ _______ _____ ___ ____ ___ _______ ___ _____ _____ _______ _________. _______ __________ __ _____ _____ ________ __________ ______ _________ _____ __ ______ _____ _______.","Une loi d'État s'applique uniquement dans cet État et ne peut pas modifier la Constitution fédérale. Un règlement fédéral est une règle établie par des agences fédérales pour mettre en œuvre les lois, mais il ne peut pas modifier la Constitution.","__ _____ _____ ____ ___ _____ __ ____ ____ ____ __ __ _____ _______ __ ____ ___ _____ __ _____ _______ _____ _________ ______ _____ ____ ____ __ ___ _____ ___ __ ____ __, _____ __ _______ ___ ______ ____ __ _____",___ __ _ ____ ____ __ ___ ___ _ ____. __ ___ ____ ____ __ __ ___ __ _____ ___ ___ _ ____.,"Ang batas ng estado ay nalalapat lamang sa loob ng estadong iyon at hindi maaaring baguhin ang pederal na Konstitusyon. Ang regulasyon ng pederal ay isang patakaran na ginawa ng mga ahensya ng pederal upang ipatupad ang mga batas, ngunit hindi nito maaaring amyendahan ang Konstitusyon.","Lu_t ti_u bang ch_ áp d_ng trong ti_u bang _ó và không th_ thay __i Hi_n pháp liên bang. Quy __nh liên bang là m_t quy t_c do các c_ quan liên bang ban hành __ th_c thi lu_t, nh_ng không th_ s_a __i Hi_n pháp.",________________________________________________,
5,Question,What do we call the first ten amendments to the Constitution?,Question,What do we call the first ten amendments to the Constitution?,¿Cómo llamamos a las primeras diez enmiendas a la Constitución?,____ ____ _________ ______ ______ ___ ________,Comment appelons-nous les dix premiers amendements à la Constitution ?,__ _______ __ ____ __ ________ __ ____ ____ ___?,___ __ _ __ ____ _____ ____?,Ano ang tawag natin sa unang sampung susog sa Konstitusyon?,Chúng ta g_i m__i tu chính án __u tiên c_a Hi_n pháp là gì?,________________,
5,Correct_Answer_1,the Bill of Rights,Correct_Answer_1,the Bill of Rights,la Carta de Derechos,_____ ______,la Déclaration des droits,________ __ ______,__ __,ang Bill of Rights,Tuyên ngôn Nhân quy_n,____,
5,Correct_Rationale_1,These ten amendments guarantee core individual rights and freedoms.,Correct_Rationale_1,These ten amendments guarantee core individual rights and freedoms.,Estas diez enmiendas garantizan derechos y libertades individuales fundamentales.,___ _________ ______ ____ ______ ________ _______ ________.,Ces dix amendements garantissent des droits et libertés individuels fondamentaux.,__ __ ______ _____ _________ ________ __ ____________ __ ______ ____ ____,_ _ __ ____ ____ ___ ___ ___ _____.,Ang sampung susog na ito ay ginagarantiyahan ang pangunahing mga karapatan at kalayaan ng indibidwal.,M__i tu chính án này __m b_o các quy_n và t_ do cá nhân c_t lõi.,____________________,
5,Wrong_Answer_1,the Declaration of Independence,Wrong_Answer_1,the Declaration of Independence,la Declaración de Independencia,_____ _________,la Déclaration d'indépendance,__________ __ _____,__ ___,ang Deklarasyon ng Kalayaan,Tuyên ngôn __c l_p,____,
5,Wrong_Rationale_1,"The Declaration of Independence, from 1776, declared independence and is not a set of constitutional amendments.",Wrong_Rationale_1,"The Declaration of Independence, from 1776, declared independence and is not a set of constitutional amendments.","La Declaración de Independencia, de 1776, declaró la independencia y no es un conjunto de enmiendas constitucionales.","_____ __________ __ ___ 1776_ ____ _________ ____ ______ __ _________ _________.","La Déclaration d'indépendance, de 1776, a déclaré l'indépendance et n'est pas un ensemble d'amendements constitutionnels.",1776 __ __________ __ _____ __ __________ __ _____ __ __ __ __ _________ ________ __ ____ ____ ___,1776__ __ ____ ___ _____ __ ___ ___ ____.,"Ang Deklarasyon ng Kalayaan, mula 1776, ay nagdeklara ng kalayaan at hindi isang hanay ng mga susog sa konstitusyon.","Tuyên ngôn __c l_p, t_ n_m 1776, tuyên b_ __c l_p và không ph_i là m_t t_p h_p các tu chính án hi_n pháp.",1776___________________________,
5,Wrong_Answer_2,the Federalist Papers,Wrong_Answer_2,the Federalist Papers,los Documentos Federalistas,_____ ___________,les Papiers fédéralistes,__________ __ ______,_____ __,ang mga Papel ng Federalista,Các bài vi_t c_a Liên bang,______,
5,Wrong_Rationale_2,The Federalist Papers were a series of essays written to persuade people to ratify the Constitution.,Wrong_Rationale_2,The Federalist Papers were a series of essays written to persuade people to ratify the Constitution.,Los Documentos Federalistas fueron una serie de ensayos escritos para persuadir a la gente de ratificar la Constitución.,____ _____ ___________ _____ __ ________ ____ _____ ______ _____ ________ ___ _______.,Les Papiers fédéralistes étaient une série d'essais écrits pour persuader les gens de ratifier la Constitution.,__________ __ ______ _______ __ __ ________ __ __ _____ __ _______ __ ______ ____ __ ___ _____ ____ ____ __ ___,_____ ___ ____ ___ _____ ____ __ ___ ___ _______.,Ang mga Papel ng Federalista ay isang serye ng mga sanaysay na isinulat upang hikayatin ang mga tao na ratipikahan ang Konstitusyon.,Các bài vi_t c_a Liên bang là m_t lo_t các bài lu_n ___c vi_t __ thuy_t ph_c m_i ng__i phê chu_n Hi_n pháp.,____________________________,
5,Wrong_Answer_3,the Emancipation Proclamation,Wrong_Answer_3,the Emancipation Proclamation,la Proclamación de Emancipación,_____ _____ ______,la Proclamation d'émancipation,______ _____,__ __ __,ang Proklamasyon ng Emansipasyon,Tuyên ngôn Gi_i phóng Nô l_,________,
