Index,Category_EN,SubCategory_EN,Category_VI,SubCategory_VI,Question_EN,Answers_EN,Question_VI,Answers_VI
11,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,"The words “Life, Liberty, and the pursuit of Happiness” are in what founding"" document?",Declaration of Independence,"Các từ """"Cuộc sống, Tự do và theo đuổi Hạnh phúc"""" có trong văn kiện sáng lập"" nào?",Tuyên ngôn Độc lập
12,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,What is the economic system of the United States? *,"Capitalism, Free market economy",Hệ thống kinh tế của Hoa Kỳ là gì? *,"Kinh tế tư bản, Kinh tế thị trường tự do"
13,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,What is the rule of law?,"Everyone must follow the law., Leaders must obey the law., Government must obey the law., No one is above the law.",Pháp quyền là gì?,"Mọi người đều phải tuân theo luật pháp., Các nhà lãnh đạo đều phải tuân theo luật pháp., Chính phủ phải tuân theo luật pháp., Không ai đứng trên pháp luật."
14,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Many documents influenced the U.S. Constitution. Name one.,"Declaration of Independence, Articles of Confederation, Federalist Papers, Anti-Federalist Papers, Virginia Declaration of Rights, Fundamental Orders of Connecticut, Mayflower Compact, Iroquois Great Law of Peace",Nhiều tài liệu ảnh hưởng đến Hiến pháp Hoa Kỳ. Hãy nêu một ví dụ.,"Tuyên ngôn Độc lập, Các điều khoản Hợp bang, Luận cương Liên bang, Luận cương chống Liên bang, Tuyên ngôn về Quyền của Virginia, Các Chỉ thị Cơ bản của Connecticut, Hiệp ước Mayflower, Luật Hòa bình Vĩ đại Iroquois"
15,American Government,Principles of American Government CHÍNH QUYỀN HOA KỲ,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,There are three branches of government. Why?,"So one part does not become too powerful, Checks and balances, Separation of powers",Chính phủ Hoa Kỳ có ba nhánh. Tại sao?,"Để ngăn cản một nhánh trở nên quá quyền lực, Kiểm soát và cân bằng, Phân quyền"
16,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Name the three branches of government.,"Legislative, executive, and judicial, Congress, president, and the courts",Kể tên ba nhánh của chính phủ.,"Lập pháp, hành pháp và tư pháp, Quốc hội, tổng thống và tòa án"
17,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,The President of the United States is in charge of which branch of government?,Executive branch,Tổng thống Hoa Kỳ phụ trách nhánh nào của chính phủ?,Nhánh hành pháp
18,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What part of the federal government writes laws?,"(U.S.) Congress, (U.S. or national) legislature, Legislative branch",Bộ phận nào của chính phủ liên bang viết luật?,"Quốc hội, (của Liên Bang hay Quốc Gia) cơ quan lập pháp, Nhánh Lập Pháp"
19,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What are the two parts of the U.S. Congress?,Senate and House (of Representatives),Lưỡng Viện Hoa Kỳ bao gồm hai phần gì?,Thượng Viện và Hạ Viện
20,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Name one power of the U.S. Congress. *,"Writes laws, Declares war, Makes the federal budget",Nêu tên một quyền lực của Quốc hội Hoa Kỳ. *,"Viết luật, Tuyên bố chiến tranh, Tạo ra ngân sách liên bang"
21,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How many U.S. senators are there?,One hundred (100),Có bao nhiêu Thượng Nghị Sĩ Hoa Kỳ?,Một trăm (100)
22,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How long is a term for a U.S. senator?,Six (6) years,Nhiệm kỳ của một thượng nghị sĩ Hoa Kỳ là bao lâu?,Sáu (6) năm
23,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who is one of your state’s U.S. senators now?,Answers will vary. [District of Columbia residents and residents of U.S. territories should answer that D.C. (or the territory where the applicant lives) has no U.S. senators.],Nghị sĩ đại diện cho bang của bạn là ai?,Câu trả lời sẽ thay đổi. [Cư dân Quận Columbia và các lãnh thổ Mỹ nên trả lời rằng Quận Colombia (hoặc lãnh thổ mà ứng viên sinh sống) không có nghị sĩ đại diện.]
24,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How many voting members are in the House of Representatives?,Four hundred thirty-five (435),Hạ Viện có bao nhiêu thành viên bỏ phiếu?,Bốn trăm ba mươi lăm (435)
25,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How long is a term for a member of the House of Representatives?,Two (2) years,Nhiệm kỳ của một dân biểu trong Hạ Viện là bao lâu?,Hai (2) năm
26,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Why do U.S. representatives serve shorter terms than U.S. senators?,To more closely follow public opinion,Tại sao dân biểu Hoa Kỳ có nhiệm kỳ ngắn hơn so với thượng nghị sĩ Hoa Kỳ?,Theo dõi sát sao dư luận hơn
27,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How many senators does each state have?,Two (2),Mỗi bang có bao nhiêu thượng nghị sĩ?,
28,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Why does each state have two senators?,"Equal representation (for small states), The Great Compromise (Connecticut Compromise)",Tại sao mỗi bang có hai thượng nghị sĩ?,"Đại diện bình đẳng (cho các bang nhỏ), Thỏa Hiệp Lớn (Thỏa Hiệp Connecticut)"
29,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Name your U.S. representative.,Answers will vary. [Residents of territories with nonvoting Delegates or Resident Commissioners may provide the name of that Delegate or Commissioner. Also acceptable is any statement that the territory has no (voting) representatives in Congress.],Kể tên dân biểu của bạn.,Câu trả lời sẽ thay đổi. [Cư dân của những vùng lãnh thổ có Đại biểu hoặc Ủy viên Thường trú không bỏ phiếu có thể nêu tên của Đại biểu hoặc Ủy viên đó. Chấp nhận cả đáp án rằng vùng lãnh thổ này không có Dân biểu (được quyền bỏ phiếu) ở Quốc hội.]
30,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What is the name of the Speaker of the House of Representatives now? *,Visit uscis.gov/citizenship/testupdates for the name of the Speaker of the House of Representatives.,Tên của đương kim Phát ngôn viên Hạ Viện là gì? *,Xin ghé thăm trang uscis.gov/citizenship/testupdates để biết tên của Chủ Tịch Hạ viện Dân Biểu Hoa Kỳ
31,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who does a U.S. senator represent?,"Citizens of their state, People of their state",Thượng nghị sĩ Hoa Kỳ đại diện cho ai?,"Công dân tiểu bang của họ, Người dân của bang họ"
32,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who elects U.S. senators?,Citizens from their state,Ai bầu chọn thượng nghị sĩ Hoa Kỳ?,Công dân tiểu bang của họ
33,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who does a member of the House of Representatives represent?,"Citizens in their (congressional) district, Citizens in their district, People from their (congressional) district, People in their district",Dân biểu của Hạ viện đại diện cho ai?,"Công dân trong quận (quốc hội) của họ, Công dân trong quận của họ, Người dân từ khu vực bầu cử (quốc hội) của họ, Người dân trong khu vực của họ"
34,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who elects members of the House of Representatives?,Citizens from their (congressional) district,Ai bầu ra các dân biểu của Hạ Viện?,Công dân từ quận (quốc hội) của họ
35,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Some states have more representatives than other states. Why?,"(Because of) the state’s population, (Because) they have more people, (Because) some states have more people",Tại sao một số bang có số dân biểu cao hơn những bang khác?,"(vì) dân số bang, (vì) bang có nhiều người hơn, (vì) một số bang có nhiều người hơn"
36,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,The President of the United States is elected for how many years? *,Four (4) years,Nhiệm kỳ của một Tổng thống là bao nhiêu năm? *,bốn (4)
37,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,The President of the United States can serve only two terms. Why?,"(Because of) the 22nd Amendment, To keep the president from becoming too powerful",Tổng thống Hoa Kỳ chỉ có thể phục vụ hai nhiệm kỳ. Tại sao?,"(Vì) Tu chính án thứ 22, Để giữ tổng thống không trở nên quá quyền lực"
38,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What is the name of the President of the United States now? *,Visit uscis.gov/citizenship/testupdates for the name of the President of the United States.,Tên của đương kim Tổng thống Hoa Kỳ là gì?*,Xin ghé thăm trang uscis.gov/citizenship/testupdates để biết tên của Tổng Thống Hoa Kỳ.
39,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What is the name of the Vice President of the United States now? *,Visit uscis.gov/citizenship/testupdates for the name of the Vice President of the United States,Tên của đương kim Phó Tổng thống Hoa Kỳ là gì? *,Xin ghé thăm trang uscis.gov/citizenship/testupdates để biết tên của Phó Tổng Thống Hoa Kỳ.
40,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,"If the president can no longer serve, who becomes president?""",The Vice President (of the United States),"Nếu Tổng thống không thể tiếp tục phục vụ, ai sẽ trở thành Tổng thống?",Phó Tổng thống
41,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Name one power of the president.,"Signs bills into law, Vetoes bills, Enforces laws, Commander in Chief (of the military), Chief diplomat, Appoints federal judges",Kể tên một quyền lực của tổng thống.,"Ký các dự luật thành luật, Phủ quyết các dự luật, Thi hành luật, Tổng tư lệnh (quân đội), Trưởng ngoại giao, Bổ nhiệm các thẩm phán liên bang"
42,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who is Commander in Chief of the U.S. military?,The President (of the United States),Ai là Chỉ huy tối cao của quân đội?,Tổng thống
43,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who signs bills to become laws?,The President (of the United States),Ai sẽ ký dự thảo để thông qua thành luật?,Tổng thống
44,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who vetoes bills? *,The President (of the United States),Ai phủ quyết các dự thảo luật? *,Tổng thống
45,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who appoints federal judges?,The President (of the United States),Ai bổ nhiệm thẩm phán liên bang?,Tổng thống (của Hoa Kỳ)
46,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,The executive branch has many parts. Name one.,"President (of the United States), Cabinet, Federal departments and agencies",Nhánh hành pháp có nhiều bộ phận. Hãy nêu một ví dụ.,"Tổng thống (của Hoa Kỳ), Nội các, Các sở và cơ quan liên bang"
47,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What does the President’s Cabinet do?,Advises the President (of the United States),Nội các Tổng thống có vai trò gì?,cố vấn cho Tổng thống
48,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What are two Cabinet-level positions?,"Attorney General, Secretary of Agriculture, Secretary of Commerce, Secretary of Defense, Secretary of Education, Secretary of Energy, Secretary of Health and Human Services, Secretary of Homeland Security, Secretary of Housing and Urban Development, Secretary of the Interior, Secretary of Labor, Secretary of State, Secretary of Transportation, Secretary of the Treasury, Secretary of Veterans Affairs, Vice President (of the United States), Administrator of the Environmental Protection Agency, Administrator of the Small Business Administration, Director of the Central Intelligence Agency, Director of the Office of Management and Budget, Director of National Intelligence, United States Trade Representative",Kể tên hai vị trí trong Nội các?,"Bộ trưởng Bộ Nông nghiệp, Bộ trưởng Bộ Thương mại, Bộ trưởng Bộ Quốc phòng, Bộ trưởng Bộ Giáo dục, Bộ trưởng Bộ Năng lượng, Bộ trưởng Bộ Sức khỏe và Dịch vụ Nhân sinh, Bộ trưởng Bộ An ninh Nội địa, Bộ trưởng Bộ Nhà ở và Phát triển Đô thị, Bộ trưởng Bộ Nội vụ, Bộ trưởng Bộ Lao động, Ngoại trưởng, Bộ trưởng Bộ Giao thông, Bộ trưởng Bộ Ngân khố, Bộ trưởng Bộ Cựu chiến binh, Tổng chưởng lý, Phó Tổng thống, Giám đốc Cục Bảo Vệ Môi Trường, Giám đốc Cơ Quan Quản Lý Doanh Nghiệp Nhỏ, Giám đốc Cơ Quan Tình Báo Trung Ương, Giám đốc Văn Phòng Quản Lý và Ngân Sách, Giám đốc Tình Báo Quốc Gia, Đại Diện Thương Mại Hoa Kỳ"
49,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Why is the Electoral College important?,"It decides who is elected president., It provides a compromise between the popular election of the president and congressional selection.",Tại sao Đại cử tri Đoàn lại quan trọng?,"Nó quyết định ai được bầu làm tổng thống., Nó cung cấp một sự thỏa hiệp giữa cuộc bầu cử phổ biến của tổng thống và sự lựa chọn của quốc hội."
50,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What is one part of the judicial branch?,"Supreme Court, Federal Courts",Một bộ phận của nhánh tư pháp là gì?,"Tòa án tối cao, Tòa án liên bang"
51,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What does the judicial branch do?,"Reviews laws, Explains laws, Resolves disputes (disagreements) about the law, Decides if a law goes against the (U.S.) Constitution",Nhánh tư pháp có vai trò gì?,"xem xét luật, giải thích luật, giải quyết tranh chấp (bất hòa) Giới thiệu về luật, xác định luật có vi hiến hay không"
52,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What is the highest court in the United States? *,Supreme Court,Tòa án cao nhất ở Hoa Kỳ là gì? *,Tòa án Tối cao
53,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How many seats are on the Supreme Court?,Nine (9),Tòa án Tối cao có bao nhiêu ghế?,Chín (9)
54,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How many Supreme Court justices are usually needed to decide a case?,Five (5),Thường cần bao nhiêu thẩm phán Tòa án Tối cao để quyết định một vụ án?,Năm (5)
55,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,How long do Supreme Court justices serve?,"(For) life, Lifetime appointment, (Until) retirement",Các thẩm phán Tòa án Tối cao phục vụ trong bao lâu?,"(Suốt) đời, Nhiệm kỳ trọn đời, (Cho đến khi) nghỉ hưu"
56,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Supreme Court justices serve for life. Why?,"To be independent (of politics), To limit outside (political) influence",Các thẩm phán Tòa án Tối cao phục vụ suốt đời. Tại sao?,"Để độc lập (về chính trị), Để hạn chế ảnh hưởng từ bên ngoài (chính trị)"
57,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who is the Chief Justice of the United States now?,Visit uscis.gov/citizenship/testupdates for the name of the Chief Justice of the United States.,Tên của đương kim Chánh án Tòa án Tối cao Hoa Kỳ là gì?,Xin ghé thăm trang uscis.gov/citizenship/testupdates để biết tên của Chánh Án Tòa Án Tối Cao Pháp Viện Hoa Kỳ.
58,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Name one power that is only for the federal government.,"Print paper money, Mint coins, Declare war, Create an army, Make treaties, Set foreign policy",Nêu tên một quyền lực chỉ dành cho chính phủ liên bang.,"In tiền giấy, Đúc tiền xu, Tuyên bố chiến tranh, Thành lập quân đội, Kí các hòa ước, Thiết lập chính sách đối ngoại"
59,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Name one power that is only for the states.,"Provide schooling and education, Provide protection (police), Provide safety (fire departments), Give a driver’s license, Approve zoning and land use",Nêu tên một quyền lực chỉ dành cho các bang.,"cung cấp trường học và giáo dục, đảm bảo an ninh (cảnh sát), đảm bảo an toàn (cứu hỏa), cấp bằng lái, chấp thuận quy hoạch và sử dụng đất"
60,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What is the purpose of the 10th Amendment?,(It states that the) powers not given to the federal government belong to the states or to the people.,Mục đích của Tu chính án thứ 10 là gì?,(Tu chính án này nói rằng) quyền lực không được trao cho chính phủ liên bang mà thuộc về các tiểu bang hoặc nhân dân.
61,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Who is the governor of your state now? *,Answers will vary. [District of Columbia residents should answer that D.C. does not have a governor.],Ai là đương kim Thống đốc ở bang của bạn? *,Câu trả lời sẽ thay đổi. [Cư dân Quận Columbia nên trả lời rằng Quận Columbia không có Thống đốc.]
62,American Government,System of Government,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,What is the capital of your state?,Answers will vary. [District of Columbia residents should answer that D.C. is not a state and does not have a capital. Residents of U.S. territories should name the capital of the territory.],Thủ phủ tiểu bang của bạn là gì?,Câu trả lời sẽ thay đổi. [Cư dân Quận Columbia nên trả lời rằng Quận Columbia không phải là tiểu bang và không có thủ phủ. Cư dân các lãnh thổ thuộc Hoa Kỳ nên nêu tên thủ phủ của lãnh thổ.]
63,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,There are four amendments to the U.S. Constitution about who can vote. Describe one of them.,"Citizens eighteen (18) and older (can vote)., You don’t have to pay (a poll tax) to vote., Any citizen can vote. (Women and men can vote.), A male citizen of any race (can vote).",Hiến pháp có bốn tu chính án nói về cử tri. Hãy miêu tả một trong số đó.,"Công dân trên mười tám (18) tuổi (có thể bầu cử)., Bạn không cần trả tiền (thuế khoán) để được bầu cử., Bất kỳ công dân nào cũng có thể bầu cử. (Nam nữ đều có thể bầu cử.), Công dân nam của bất kỳ chủng tộc nào (có thể bầu cử)."
64,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,"Who can vote in federal elections, run for federal office, and serve on a jury in"" the United States?","Citizens, Citizens of the United States, U.S. citizens","Ai có thể bỏ phiếu trong các cuộc bầu cử liên bang, tranh cử vào văn phòng liên",
65,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,What are three rights of everyone living in the United States?,"Freedom of expression, Freedom of speech, Freedom of assembly, Freedom to petition the government, Freedom of religion, The right to bear arms",Kể tên Ba quyền của mọi người sinh sống ở Hoa Kỳ?,"quyền tự do biểu đạt, quyền tự do ngôn luận, quyền tự do hội họp, quyền tự do kiến nghị chính quyền, quyền tự do tôn giáo, quyền được mang vũ khí"
66,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,What do we show loyalty to when we say the Pledge of Allegiance? *,"The United States, The flag",Chúng ta thể hiện lòng trung thành với điều gì khi nói Lời tuyên thệ Trung thành? *,"Hoa Kỳ, quốc kỳ"
67,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,Name two promises that new citizens make in the Oath of Allegiance.,"Give up loyalty to other countries, Defend the (U.S.) Constitution, Obey the laws of the United States, Serve in the military (if needed), Serve (help, do important work for) the nation (if needed), Be loyal to the United States",Kể tên hai lời hứa mà các công dân mới của Hoa Kỳ sẽ thực hiện trong Lời thề Trung thành.,"từ bỏ lòng trung thành với những quốc gia khác, Bảo vệ (Hoa Kỳ) Hiến pháp, tuân thủ luật pháp Hoa Kỳ, phục vụ trong quân đội Hoa Kỳ (nếu cần), phục vụ (làm những việc quan trọng) cho quốc gia (nếu cần)"
68,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,How can people become United States citizens?,"Be born in the United States, under the conditions set by the 14th"" Amendment, Naturalize, Derive citizenship (under conditions set by Congress",Một người có thể trở thành công dân Hoa Kỳ như thế nào?,"Sinh ra ở Hoa Kỳ, theo các điều kiện được quy định bởi Tu chính án thứ 14, Nhập tịch, Có được tư cách công dân (theo các điều kiện do Quốc hội đặt ra)"
69,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,What are two examples of civic participation in the United States?,"Vote, Run for office, Join a political party, Help with a campaign, Join a civic group, Join a community group, Give an elected official your opinion (on an issue), Contact elected officials, Support or oppose an issue or policy, Write to a newspaper",Hai ví dụ về sự tham gia của công dân ở Hoa Kỳ là gì?,"Bỏ phiếu, Tranh cử, Tham gia một đảng phái chính trị, Tham dự vào một cuộc vận động tranh cử, Tham gia vào một nhóm hoạt động dân sự, Tham gia vào một nhóm hoạt động cộng đồng, Phát biểu ý kiến (về một vấn đề) với một vị dân cử, Liên hệ với các quan chức được bầu cử, Công khai ủng hộ hoặc phản đối một vấn đề hoặc chính sách nào đó, Góp ý kiến trên một tờ báo"
70,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,What is one way Americans can serve their country?,"Vote, Pay taxes, Obey the law, Serve in the military, Run for office, Work for local, state, or federal government",Một cách mà người dân Hoa Kỳ có thể phục vụ đất nước của họ là gì?,"Bỏ phiếu, Đóng thuế, Tuân theo luật pháp, Phục vụ trong quân đội, Tranh cử, Làm việc cho chính quyền địa phương, tiểu bang hoặc liên bang"
71,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,Why is it important to pay federal taxes?,"Required by law, All people pay to fund the federal government, Required by the (U.S.) Constitution (16th Amendment), Civic duty",Tại sao việc đóng thuế liên bang lại quan trọng?,"Pháp luật bắt buộc, Tất cả mọi người đóng tiền để duy trì ngân sách cho chính phủ liên bang, Hiến pháp Hoa Kỳ (Tu chính án thứ 16) bắt buộc, Nghĩa vụ công dân"
72,American Government,Rights and Responsibilities,CHÍNH QUYỀN HOA KỲ,Quyền lợi và Trách nhiệm,It is important for all men age 18 through 25 to register for the Selective Service. Name one reason why.,"Required by law, Civic duty, Makes the draft fair, if needed",Mọi thanh niên tuổi từ 18 đến 25 phải đăng ký quân dịch. Bạn hãy nêu một lý do.,"Pháp luật bắt buộc, Nghĩa vụ công dân, Công bằng hóa lựa chọn cho đợt nghĩa vụ, nếu cần"
73,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,The colonists came to America for many reasons. Name one.,"Freedom, Political liberty, Religious freedom, Economic opportunity, Escape persecution",Người di dân thời thuộc địa tới Châu Mỹ vì nhiều lí do. Hãy nêu một ví dụ.,"Tự do, Tự do chính trị, Tự do tôn giáo, Cơ hội kinh tế, Tránh sự áp bức"
74,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,Who lived in America before the Europeans arrived? *,"American Indians, Native Americans",Ai sống ở Hoa Kỳ trước khi những người dân châu Âu đến? *,"Người Mỹ da đỏ, Người Mỹ bản địa"
75,American History,Rights and Responsibilities,LỊCH SỬ HOA KỲ,Colonial Period and Independence A :Thời kỳ thuộc địa và nền độc lập,What group of people was taken and sold as slaves?,"Africans, People from Africa",Nhóm người nào bị bắt và bán làm nô lệ?,"người châu Phi, những người từ châu Phi"
