ID,ChapterID,SectionID,Type,English_Full,Chinese_Full,Notes
11,3,0,title,Leading the Nation: The President and Cabinet,领导国家：总统与内阁,Chapter 3 Title
12,3,0,introduction,The Constitution created three branches of government. Now let's learn about the executive branch—the President and the team that helps lead our nation.,宪法设立了政府的三个分支机构。现在让我们了解一下行政部门——总统和协助领导我们国家的团队。,Chapter 3 Introduction
13,3,1,section,"Finishing our story about Congress, one important question remains. Why do some states have more Representatives than others? The reason is [ANSWER:because of the state's population]. It's [ANSWER:because more people live there], and [ANSWER:because some states have more people] (Q.35). Now, let's move on to the Executive Branch. The President of the United States is elected every [ANSWER:four years] (Q.36). And there's one important rule. A President can only serve two terms, and this is because of the [ANSWER:22nd Amendment to the U.S. Constitution], and [ANSWER:to prevent a president from becoming too powerful] (Q.37).",我们关于国会的故事讲完了，还剩下一个重要的问题。为什么有些州比其他州有更多的众议员？原因是[答案：因为该州的人口]。这是[答案：因为那里有更多的人居住]，以及[答案：因为有些州的人口更多]（Q.35）。现在，我们转向行政部门。美国总统每[答案：四年]选举一次（Q.36）。还有一个重要的规定。总统只能担任两届，这是因为[答案：美国宪法第22条修正案]，以及[答案：为了防止总统权力过大]（Q.37）。,"Ch3 Sec1 | Questions: [35, 36, 37]"
14,3,2,section,"There are leaders currently leading the United States. Since the names of the current U.S. President and Vice President change with time, you should check for the latest information (Q.38, Q.39).","目前有一些领导人正在领导美国。 由于现任美国总统和副总统的姓名会随时间变化，您应该查询最新信息 (Q.38, Q.39)。","Ch3 Sec2 | Questions: [38, 39]"
15,3,3,section,"What if the President can no longer perform his duties? Then the [ANSWER:Vice President] becomes President (Q.40). The President has powerful authority. He can [ANSWER:sign bills into law], [ANSWER:veto bills], and is in charge of [ANSWER:enforcing laws]. He is also the [ANSWER:Commander-in-Chief of the military] and the [ANSWER:chief diplomat], and [ANSWER:appoints federal judges] (Q.41). In particular, the Commander-in-Chief of the military is the [ANSWER:President] (Q.42). The person who signs bills into law is also the [ANSWER:President] (Q.43), and the person who vetoes bills is also the [ANSWER:President] (Q.44). And the person who appoints federal judges is also the [ANSWER:President of the United States] (Q.45).",如果总统不能再履行其职责怎么办？那么[ANSWER:副总统]成为总统（Q.40）。总统拥有强大的权力。他可以[ANSWER:签署法案使其成为法律]、[ANSWER:否决法案]，并负责[ANSWER:执行法律]。他还是[ANSWER:军队的总司令]和[ANSWER:首席外交官]，并[ANSWER:任命联邦法官]（Q.41）。特别是，军队的总司令是[ANSWER:总统]（Q.42）。签署法案使其成为法律的人也是[ANSWER:总统]（Q.43），否决法案的人也是[ANSWER:总统]（Q.44）。任命联邦法官的人也是[ANSWER:美国总统]（Q.45）。,"Ch3 Sec3 | Questions: [40, 41, 42, 43, 44, 45]"
16,3,4,section,"The President alone cannot do everything. The Executive Branch has many departments. These include [ANSWER:the U.S. President], [ANSWER:the Cabinet], and [ANSWER:federal departments and agencies] (Q.46). What do the President's cabinet members do? They [ANSWER:advise and assist the President] (Q.47).",总统一个人不能做所有事情。行政部门有许多部门。其中包括[回答：美国总统]、[回答：内阁]和[回答：联邦部门和机构]（Q.46）。总统内阁成员做什么？他们[回答：向总统提供建议和协助]（Q.47）。,"Ch3 Sec4 | Questions: [46, 47]"
17,3,5,section,I'm still learning and can't help with that. Do you need help with anything else?,我还在学习，无法提供帮助。您还需要其他帮助吗？,"Ch3 Sec5 | Questions: [48, 49]"
18,4,0,title,Guardians of Justice: The Supreme Court and Judiciary,正义的守护者：最高法院和司法机构,Chapter 4 Title
19,4,0,introduction,"Making and enforcing laws is important, but we also need someone to judge whether those laws are applied fairly. This is the role of the judicial branch.",制定和执行法律很重要，但我们还需要有人来判断这些法律是否得到公平应用。这就是司法部门的职责。,Chapter 4 Introduction
20,4,1,section,"Let's look at the Judicial branch, the last institution of the separation of powers. One department of the Judicial branch includes the [ANSWER:Supreme Court] and the [ANSWER:Federal Courts] (Q.50). What does the Judicial branch do? They [ANSWER:review laws], [ANSWER:interpret laws], [ANSWER:resolve disputes or disagreements about laws], and [ANSWER:determine if laws violate the Constitution] (Q.51). And the highest court in the United States is the [ANSWER:Supreme Court] (Q.52).",让我们看看司法部门，它是三权分立的最后一个机构。司法部门的一个部门包括 [ANSWER:最高法院] 和 [ANSWER:联邦法院] (Q.50)。司法部门是做什么的？它们 [ANSWER:审查法律]、[ANSWER:解释法律]、[ANSWER:解决有关法律的争议或分歧]，以及 [ANSWER:判断法律是否违反宪法] (Q.51)。美国最高的法院是 [ANSWER:最高法院] (Q.52)。,"Ch4 Sec1 | Questions: [50, 51, 52]"
21,4,2,section,"The Supreme Court has a total of [ANSWER:9] Supreme Court justices (Q.53). Usually, [ANSWER:5] justices are needed to make a ruling (Q.54). Supreme Court justices have a very special tenure. They work for [ANSWER:life], that is, they are [ANSWER:appointed for life] and serve [ANSWER:until retirement] (Q.55). Why do Supreme Court justices hold their positions for life? The reasons are to be [ANSWER:independent from politics] and to [ANSWER:limit the influence of external politics] (Q.56).",最高法院共有[回答:9]名最高法院法官(Q.53)。通常需要[回答:5]名法官才能做出裁决(Q.54)。最高法院法官的任期非常特殊。他们终身任职，也就是说，他们[回答:终身任命]，并[回答:直至退休] (Q.55)。为什么最高法院法官终身任职？原因是为了[回答:独立于政治]并[回答:限制外部政治的影响] (Q.56)。,"Ch4 Sec2 | Questions: [53, 54, 55, 56]"
22,4,3,section,"The Chief Justice of the U.S. Supreme Court changes over time, so you must check the latest information (Q.57). Now, let's look at the powers of the federal government and state governments. Powers exclusively for the federal government include [ANSWER:printing money], [ANSWER:coining money], [ANSWER:declaring war], [ANSWER:creating an army], [ANSWER:making treaties], and [ANSWER:setting foreign policy] (Q.58). On the other hand, powers exclusively for the states include [ANSWER:providing schooling and education], [ANSWER:providing protection] (police), [ANSWER:providing safety] (fire departments), [ANSWER:issuing a driver's license], and [ANSWER:approving zoning and land use] (Q.59). What is the purpose of the 10th Amendment? It states that [ANSWER:the powers not given to the federal government belong to the states or to the people] (Q.60). Your state also has a governor (Q.61) and a state capital (Q.62).",美国最高法院首席大法官会随着时间而变化，因此您必须查看最新信息（Q.57）。现在，让我们看看联邦政府和州政府的权力。联邦政府的专属权力包括[答案：印钞]、[答案：铸币]、[答案：宣战]、[答案：组建军队]、[答案：签订条约]和[答案：制定外交政策]（Q.58）。另一方面，州的专属权力包括[答案：提供学校和教育]、[答案：提供保护]（警察）、[答案：提供安全]（消防部门）、[答案：颁发驾照]和[答案：批准分区和土地使用]（Q.59）。第十修正案的目的是什么？它规定[答案：未授予联邦政府的权力属于各州或人民]（Q.60）。您的州也有州长（Q.61）和州首府（Q.62）。,"Ch4 Sec3 | Questions: [57, 58, 59, 60, 61, 62]"
23,5,0,title,Rights and Responsibilities: Freedom and Duty,权利与责任：自由与义务,Chapter 5 Title
24,5,0,introduction,"Now that we understand the government's structure, it's time to learn about our rights and responsibilities as citizens. To live in a free country, responsibilities are just as important as rights.",现在我们了解了政府的结构，是时候学习我们作为公民的权利和责任了。在一个自由的国家生活，责任和权利同样重要。,Chapter 5 Introduction
25,5,1,section,"The Constitution has four amendments about who can vote. [ANSWER:Citizens 18 years and older can vote], [ANSWER:you don't have to pay a poll tax to vote], and [ANSWER:any citizen can vote] (women or men). Also, [ANSWER:male citizens of any race can vote] (Q.63). So who can vote in federal elections, run for federal office, and serve as a juror in the United States? It's the [ANSWER:citizens], that is, [ANSWER:citizens of the United States], [ANSWER:U.S. citizens] (Q.64). But there are also rights that everyone living in the United States has. These are [ANSWER:freedom of expression], [ANSWER:freedom of speech], [ANSWER:freedom of assembly], [ANSWER:freedom to petition the government], [ANSWER:freedom of religion], and [ANSWER:the right to bear arms] (Q.65).",宪法有四项关于谁可以投票的修正案。[回答：18岁及以上公民可以投票]，[回答：投票无需缴纳人头税]，以及[回答：任何公民都可以投票]（女性或男性）。此外，[回答：任何种族的男性公民都可以投票]（Q.63）。那么，谁可以在联邦选举中投票，竞选联邦公职，并在美国担任陪审员呢？是[回答：公民]，也就是[回答：美国公民]，[回答：美国公民]（Q.64）。但也有居住在美国的每个人都享有的权利。这些是[回答：言论自由]，[回答：言论自由]，[回答：集会自由]，[回答：向政府请愿的自由]，[回答：宗教自由]，以及[回答：持有武器的权利]（Q.65）。,"Ch5 Sec1 | Questions: [63, 64, 65]"
26,5,2,section,"When we say the Pledge of Allegiance, to what do we pledge our loyalty? We pledge loyalty to the [ANSWER:United States] and to the [ANSWER:flag] (Q.66). In the Oath of Allegiance for new citizens, two important promises are made: to [ANSWER:give up loyalty to other countries], to [ANSWER:defend the United States], to [ANSWER:obey the Constitution], to [ANSWER:obey the laws of the United States], to [ANSWER:serve in the U.S. military] if needed, to [ANSWER:perform important work for the nation] if needed, and to [ANSWER:be loyal to the United States] (Q.67). So, how do people become U.S. citizens? People become citizens by [ANSWER:being born in the United States under the conditions specified in the 14th Amendment to the U.S. Constitution], through [ANSWER:naturalization], or by [ANSWER:obtaining citizenship] (according to conditions set by Congress) (Q.68).",Something went wrong. Try again.,"Ch5 Sec2 | Questions: [66, 67, 68]"
27,5,3,section,"There are many ways for citizens to participate in America. These include [ANSWER:voting], [ANSWER:running for office], [ANSWER:joining a political party], [ANSWER:helping with a campaign], [ANSWER:joining a civic group], [ANSWER:joining a local group], [ANSWER:giving an elected official your opinion on an issue], [ANSWER:calling Senators and Representatives], [ANSWER:publicly supporting or opposing an issue or policy], and [ANSWER:writing to a newspaper] (Q.69). There are also various ways for Americans to serve their country. These include [ANSWER:voting], [ANSWER:paying taxes], [ANSWER:obeying the law], [ANSWER:serving in the military], [ANSWER:running for office], and [ANSWER:serving in local, state, or federal government] (Q.70). Why is it important to pay federal taxes? It is [ANSWER:required by law], and [ANSWER:everyone pays taxes to support the federal government]. It is [ANSWER:what America requires], and it is a [ANSWER:civic duty] specified in the [ANSWER:16th Amendment to the Constitution] (Q.71). Finally, all men aged 18 to 25 must register with Selective Service because it is [ANSWER:required by law], it is a [ANSWER:civic duty], and it is to [ANSWER:make the draft fair, if needed] (Q.72).",公民参与美国的方式有很多种。其中包括[回答：投票]、[回答：竞选公职]、[回答：加入政党]、[回答：协助竞选活动]、[回答：加入公民团体]、[回答：加入地方团体]、[回答：向民选官员表达您对某个问题的意见]、[回答：致电参议员和众议员]、[回答：公开支持或反对某个问题或政策]以及[回答：给报纸写信] (Q.69)。美国人服务国家的方式也有很多种。其中包括[回答：投票]、[回答：纳税]、[回答：遵守法律]、[回答：服兵役]、[回答：竞选公职]以及[回答：在地方、州或联邦政府中任职] (Q.70)。为什么缴纳联邦税很重要？因为它是[回答：法律要求]的，而且[回答：每个人都纳税以支持联邦政府]。它是[回答：美国的要求]，也是[回答：宪法第16修正案]中规定的[回答：公民义务] (Q.71)。最后，所有18至25岁的男性都必须向兵役登记局注册，因为它是[回答：法律要求]的，它是一项[回答：公民义务]，并且是为了[回答：在需要时使征兵公平] (Q.72)。,"Ch5 Sec3 | Questions: [69, 70, 71, 72]"
28,6,0,title,Journey to Freedom: From Colonies to Independence,自由之旅：从殖民地到独立,Chapter 6 Title
29,6,0,introduction,"It's time to learn how America was born. Long ago, people dreaming of a new life crossed the Atlantic Ocean to this land, and their descendants fought for freedom.",现在是时候了解美国是如何诞生的了。很久以前，梦想新生活的人们跨越大西洋来到这片土地，他们的后代为自由而战。,Chapter 6 Introduction
30,6,1,section,"The colonists came to America for many reasons: [ANSWER:freedom], [ANSWER:political liberty], [ANSWER:religious freedom], [ANSWER:economic opportunity], and to [ANSWER:escape persecution] (Q.73). However, before the Europeans arrived, people already lived on this land. They were the [ANSWER:American Indians], also known as [ANSWER:Native Americans] (Q.74). There was also a sad history: [ANSWER:Africans], or [ANSWER:people from Africa], were captured and sold as slaves (Q.75). Over time, the colonists became unhappy with British rule, and eventually, Americans fought a war to gain independence from Britain. This was the [ANSWER:American Revolution], also known as [ANSWER:the American Revolutionary War], or the [ANSWER:War for American Independence] (Q.76). There were many reasons why the United States declared its independence from Great Britain, including [ANSWER:high taxes], [ANSWER:taxation without representation], [ANSWER:British soldiers stayed in colonists' houses], [ANSWER:no self-government], [ANSWER:the Boston Massacre], and [ANSWER:the Boston Tea Party] (Q.77).",殖民者来到美洲有许多原因：[ANSWER:自由]、[ANSWER:政治自由]、[ANSWER:宗教自由]、[ANSWER:经济机会]以及[ANSWER:逃避迫害] (Q.73)。然而，在欧洲人到来之前，这片土地上已经有人居住。他们是[ANSWER:美洲印第安人]，也称为[ANSWER:美洲原住民] (Q.74)。也有一段悲伤的历史：[ANSWER:非洲人]，或[ANSWER:来自非洲的人]，被抓捕并贩卖为奴隶 (Q.75)。随着时间的推移，殖民者对英国的统治感到不满，最终，美国人发动了一场战争以从英国获得独立。这就是[ANSWER:美国革命]，也称为[ANSWER:美国独立战争] (Q.76)。美国宣布脱离英国独立有许多原因，包括[ANSWER:高额税收]、[ANSWER:无代表不纳税]、[ANSWER:英国士兵住在殖民者家中]、[ANSWER:没有自治权]、[ANSWER:波士顿大屠杀]和[ANSWER:波士顿倾茶事件] (Q.77)。,"Ch6 Sec1 | Questions: [73, 74, 75, 76, 77]"
31,6,2,section,"The Declaration of Independence was written by [ANSWER:Thomas Jefferson] (Q.78). And the date the Declaration of Independence was adopted is [ANSWER:July 4, 1776] (Q.79). There were many important events during the American Revolution. These included the [ANSWER:Battle of Bunker Hill], the [ANSWER:Declaration of Independence], [ANSWER:Washington's Crossing of the Delaware], the [ANSWER:Battle of Saratoga], the [ANSWER:Encampment at Valley Forge], and the [ANSWER:Battle of Yorktown] (Q.80). Initially, there were 13 states: [ANSWER:New Hampshire], [ANSWER:Massachusetts], [ANSWER:Rhode Island], [ANSWER:Connecticut], [ANSWER:New York], [ANSWER:New Jersey], [ANSWER:Pennsylvania], [ANSWER:Delaware], [ANSWER:Maryland], [ANSWER:Virginia], [ANSWER:North Carolina], [ANSWER:South Carolina], and [ANSWER:Georgia] (Q.81). And in 1787, an important founding document was drafted. That was the [ANSWER:U.S. Constitution] (Q.82).",《独立宣言》由[ANSWER:托马斯·杰斐逊]撰写 (Q.78)。《独立宣言》通过的日期是[ANSWER:1776年7月4日] (Q.79)。美国独立战争期间发生了许多重要事件。其中包括[ANSWER:邦克山战役]、[ANSWER:《独立宣言》]、[ANSWER:华盛顿横渡特拉华河]、[ANSWER:萨拉托加战役]、[ANSWER:福吉谷扎营]和[ANSWER:约克镇战役] (Q.80)。最初有13个州：[ANSWER:新罕布什尔]、[ANSWER:马萨诸塞]、[ANSWER:罗德岛]、[ANSWER:康涅狄格]、[ANSWER:纽约]、[ANSWER:新泽西]、[ANSWER:宾夕法尼亚]、[ANSWER:特拉华]、[ANSWER:马里兰]、[ANSWER:弗吉尼亚]、[ANSWER:北卡罗来纳]、[ANSWER:南卡罗来纳]和[ANSWER:佐治亚] (Q.81)。1787年，一份重要的开国文献被起草。那就是[ANSWER:美国宪法] (Q.82)。,"Ch6 Sec2 | Questions: [78, 79, 80, 81, 82]"
32,6,3,section,"The Federalist Papers supported the passage of the U.S. Constitution. Its authors were known by the pseudonym [ANSWER:Publius], either [ANSWER:James Madison], [ANSWER:Alexander Hamilton], or [ANSWER:John Jay] (Q.83). The Federalist Papers are important because they [ANSWER:helped people understand the U.S. Constitution] and [ANSWER:supported the passage of the U.S. Constitution] (Q.84). Benjamin Franklin is famous for many reasons, including [ANSWER:founding the first free public libraries], [ANSWER:being the first Postmaster General of the U.S.], [ANSWER:helping to write the Declaration of Independence], [ANSWER:being an inventor], and [ANSWER:being a U.S. diplomat] (Q.85). George Washington is famous as [ANSWER:the Father of Our Country], [ANSWER:the first President of the United States], [ANSWER:the General of the Continental Army], and [ANSWER:the President of the Constitutional Convention] (Q.86).",《联邦党人文集》支持美国宪法的通过。其作者以笔名[ANSWER:普布利乌斯]而闻名，包括[ANSWER:詹姆斯·麦迪逊]、[ANSWER:亚历山大·汉密尔顿]或[ANSWER:约翰·杰伊]（Q.83）。《联邦党人文集》之所以重要，是因为它们[ANSWER:帮助人们理解美国宪法]并[ANSWER:支持美国宪法的通过]（Q.84）。本杰明·富兰克林因诸多原因而闻名，包括[ANSWER:创立了第一批免费公共图书馆]、[ANSWER:担任美国第一任邮政总局局长]、[ANSWER:协助起草《独立宣言》]、[ANSWER:身为发明家]以及[ANSWER:身为美国外交官]（Q.85）。乔治·华盛顿作为[ANSWER:美国国父]、[ANSWER:美国第一任总统]、[ANSWER:大陆军总司令]和[ANSWER:制宪会议主席]而闻名（Q.86）。,"Ch6 Sec3 | Questions: [83, 84, 85, 86]"
33,6,4,section,"Thomas Jefferson is famous for various reasons. These include being the [ANSWER:Author of the Declaration of Independence], [ANSWER:Third President of the United States], [ANSWER:Doubled the size of the U.S. territory with the Louisiana Purchase], [ANSWER:First Secretary of State], and [ANSWER:Founder of the University of Virginia] (Q.87). James Madison is known as the [ANSWER:Father of the Constitution], [ANSWER:Fourth President of the United States], [ANSWER:President during the War of 1812], and [ANSWER:One of the writers of the Federalist Papers] (Q.88). Alexander Hamilton is famous as the [ANSWER:First Secretary of the Treasury], [ANSWER:One of the writers of the Federalist Papers], [ANSWER:Helped establish the first bank of the United States], and [ANSWER:Aide to General George Washington] (Q.89). Lastly, the territory the United States bought from France in 1803 was the [ANSWER:Louisiana Territory], or [ANSWER:Louisiana] (Q.90).",托马斯·杰斐逊因各种原因而闻名。其中包括成为[ANSWER:《独立宣言》的作者]、[ANSWER:美国第三任总统]、[ANSWER:通过路易斯安那购地使美国领土扩大一倍]、[ANSWER:第一任国务卿]和[ANSWER:弗吉尼亚大学的创始人]（Q.87）。詹姆斯·麦迪逊被称为[ANSWER:宪法之父]、[ANSWER:美国第四任总统]、[ANSWER:1812年战争期间的总统]和[ANSWER:《联邦党人文集》的作者之一]（Q.88）。亚历山大·汉密尔顿因成为[ANSWER:第一任财政部长]、[ANSWER:《联邦党人文集》的作者之一]、[ANSWER:帮助建立了美国第一家银行]和[ANSWER:乔治·华盛顿将军的助手]而闻名（Q.89）。最后，美国于1803年从法国购买的领土是[ANSWER:路易斯安那领地]，或[ANSWER:路易斯安那]（Q.90）。,"Ch6 Sec4 | Questions: [87, 88, 89, 90]"
34,7,0,title,Trials and Growth: America in the 1800s,考验与成长：19世纪的美国,Chapter 7 Title
35,7,0,introduction,"The 1800s were a time of great trials for America. There were wars and conflicts, but within them were also great steps toward freedom and equality.",19世纪是美国经历巨大考验的时期。有战争和冲突，但在其中也取得了迈向自由和平等的巨大进步。,Chapter 7 Introduction
