ID,DataName,es,
6,Wrong_Answer_3,"el derecho a viajar entre estados, el derecho a casarse, el derecho a trabajar, el derecho a la educación, el derecho a la atención médica",
6,Wrong_Rationale_3,"Viajar entre estados está implícito en la Constitución pero no en la Primera Enmienda. Los derechos matrimoniales se derivan de varias interpretaciones judiciales. Los derechos al trabajo, la educación y la atención médica no están explícitamente garantizados por la Constitución y ciertamente no por la Primera Enmienda.",
7,Question,¿Cuántas enmiendas tiene la Constitución?,
7,Correct_Answer_1,Veintisiete (27),
7,Correct_Rationale_1,"Después de la Carta de Derechos en 1791, se han añadido 17 más, para un total de 27.",
7,Wrong_Answer_1,Diez (10),
7,Wrong_Rationale_1,Diez es el número de enmiendas en la Carta de Derechos.,
7,Wrong_Answer_2,Cincuenta (50),
7,Wrong_Rationale_2,Cincuenta es el número de estados en los EE. UU.,
7,Wrong_Answer_3,Trece (13),
7,Wrong_Rationale_3,Trece es el número de las colonias originales (estados) cuando se fundó EE. UU.,
8,Question,¿Qué hizo la Declaración de Independencia?,
8,Correct_Answer_1,anunció nuestra independencia (de Gran Bretaña),
8,Correct_Rationale_1,Anunció al mundo que las colonias ya no estaban bajo el dominio británico.,
8,Correct_Answer_2,declaró nuestra independencia (de Gran Bretaña),
8,Correct_Rationale_2,La Declaración declaró formalmente la independencia de las colonias del dominio británico.,
8,Correct_Answer_3,dijo que los Estados Unidos son libres (de Gran Bretaña),
8,Correct_Rationale_3,La Declaración afirmó que los Estados Unidos eran una nación libre e independiente.,
8,Wrong_Answer_1,dio a las mujeres el derecho al voto,
8,Wrong_Rationale_1,"El derecho de las mujeres a votar fue otorgado por la Enmienda 19, ratificada en 1920.",
8,Wrong_Answer_2,liberó a los esclavos,
8,Wrong_Rationale_2,Los esclavos fueron liberados por la Proclamación de Emancipación de Lincoln en 1863 y más tarde por la Enmienda 13.,
8,Wrong_Answer_3,creó la Constitución,
8,Wrong_Rationale_3,"La Constitución fue creada más tarde, en la Convención Constitucional de 1787.",
9,Question,¿Cuáles son dos derechos en la Declaración de Independencia?,
9,Correct_Answer_1,la vida,
9,Correct_Rationale_1,La vida es uno de los tres derechos inalienables mencionados en la Declaración de Independencia.,
9,Correct_Answer_2,la libertad,
9,Correct_Rationale_2,La libertad es uno de los tres derechos inalienables mencionados en la Declaración de Independencia.,
9,Correct_Answer_3,la búsqueda de la felicidad,
9,Correct_Rationale_3,La búsqueda de la felicidad es uno de los tres derechos inalienables mencionados en la Declaración de Independencia.,
9,Wrong_Answer_1,la libertad de expresión y de religión,
9,Wrong_Rationale_1,La libertad de expresión y de religión son derechos mencionados en la Carta de Derechos (la Primera Enmienda).,
9,Wrong_Answer_2,el derecho a votar y postularse para un cargo,
9,Wrong_Rationale_2,"Estos son derechos importantes para los ciudadanos estadounidenses, pero están definidos por la Constitución, no por la Declaración de Independencia.",
9,Wrong_Answer_3,el derecho a poseer propiedades y a la educación,
9,Wrong_Rationale_3,"Estos son derechos importantes, pero no son los tres derechos inalienables fundamentales mencionados en la Declaración.",
10,Question,¿Qué es la libertad de religión?,
10,Correct_Answer_1,Puedes practicar cualquier religión o no practicar ninguna religión,
10,Correct_Rationale_1,Estados Unidos no tiene una religión oficial y el gobierno no puede interferir en la elección de una persona.,
10,Wrong_Answer_1,Solo puedes practicar el cristianismo,
10,Wrong_Rationale_1,Estados Unidos no tiene una religión oficial y garantiza la libertad para todas las religiones o ninguna.,
10,Wrong_Answer_2,Debes practicar una religión aprobada por el gobierno,
10,Wrong_Rationale_2,Esto es incorrecto; la aprobación del gobierno no es necesaria y violaría el principio de libertad religiosa.,
10,Wrong_Answer_3,Debes pagar un impuesto por tus actividades religiosas,
10,Wrong_Rationale_3,"Las actividades religiosas generalmente están exentas de impuestos, ya que gravarlas podría suprimir la libertad religiosa.",
11,Question,¿Cuál es el sistema económico en los Estados Unidos?,
11,Correct_Answer_1,economía capitalista,
11,Correct_Rationale_1,"EE. UU. funciona bajo una economía capitalista, basada en la propiedad privada y los mercados libres.",
11,Correct_Answer_2,economía de mercado,
11,Correct_Rationale_2,"Una economía de mercado, donde los precios se determinan por la oferta y la demanda, también describe el sistema económico de EE. UU.",
11,Wrong_Answer_1,"economía socialista, economía comunista",
11,Wrong_Rationale_1,"Una economía socialista implica la propiedad estatal o comunitaria de los medios de producción, lo que difiere del modelo estadounidense de propiedad privada. Una economía comunista presenta propiedad compartida y control estatal completo sobre la producción y distribución, lo cual es opuesto al sistema de libre mercado de EE. UU.",
11,Wrong_Answer_2,"economía mercantilista, economía feudal",
11,Wrong_Rationale_2,"El mercantilismo fue una política europea de los siglos XVI-XVIII donde el estado controlaba el comercio para acumular riqueza, a diferencia del enfoque de libre comercio de EE. UU. Una economía feudal se basaba en la propiedad de la tierra y las obligaciones de trabajo agrícola, lo cual es fundamentalmente diferente de los sistemas capitalistas modernos.",
11,Wrong_Answer_3,"economía dirigida, economía planificada",
11,Wrong_Rationale_3,"Una economía dirigida está controlada completamente por el gobierno, que decide qué producir y distribuir, a diferencia del sistema impulsado por el mercado de EE. UU. Una economía planificada implica la planificación central de toda la actividad económica por parte del gobierno, lo que contrasta con el sistema estadounidense, donde las fuerzas del mercado determinan las decisiones económicas.",
12,Question,"¿Qué es el ""estado de derecho""?",
12,Correct_Answer_1,Todos deben obedecer la ley,
12,Correct_Rationale_1,"El estado de derecho es el principio de que todas las personas están sujetas y son responsables ante la ley, sin importar su estatus.",
12,Correct_Answer_2,Los líderes deben obedecer la ley,
12,Correct_Rationale_2,"Los líderes del gobierno, incluido el presidente, también están sujetos al estado de derecho.",
12,Correct_Answer_3,Nadie está por encima de la ley,
12,Correct_Rationale_3,Esta frase resume mejor el principio central del estado de derecho.,
12,Correct_Answer_4,El gobierno debe obedecer la ley,
12,Correct_Rationale_4,El propio gobierno también está sujeto a la ley y no puede actuar fuera de su autoridad legal.,
12,Wrong_Answer_1,"Las leyes siempre cambian, el presidente hace la ley, todas las leyes son justas",
12,Wrong_Rationale_1,"Aunque las leyes pueden cambiar, esta no es la definición del estado de derecho. El Congreso hace la ley y el presidente la ejecuta. Este es el principio de separación de poderes. El estado de derecho busca la equidad, pero no garantiza que todas las leyes sean perfectamente justas.",
12,Wrong_Answer_2,"Solo los ciudadanos siguen las leyes, las leyes se aplican de manera diferente a los ricos, los funcionarios del gobierno están exentos de las leyes",
12,Wrong_Rationale_2,"Estas afirmaciones contradicen el estado de derecho, que exige que todas las personas, independientemente de su estatus o riqueza, estén sujetas a las mismas leyes.",
12,Wrong_Answer_3,"Las leyes son sugerencias, las personas pueden elegir qué leyes seguir, las leyes solo se aplican durante emergencias",
12,Wrong_Rationale_3,"Estas afirmaciones malinterpretan la naturaleza vinculante de las leyes bajo el principio del estado de derecho, donde las leyes son obligatorias y se aplican a todos en todo momento.",
13,Question,Nombra una rama o parte del gobierno.,
13,Correct_Answer_1,Congreso (legislativo),
13,Correct_Rationale_1,"El Congreso es la rama legislativa, que hace las leyes.",
13,Correct_Answer_2,Presidente (ejecutivo),
13,Correct_Rationale_2,"El Presidente es el jefe de la rama ejecutiva, que ejecuta las leyes.",
13,Correct_Answer_3,los tribunales (judicial),
13,Correct_Rationale_3,"Los tribunales son la rama judicial, que interpreta y aplica las leyes.",
13,Wrong_Answer_1,"los estados, el ejército, la policía",
13,Wrong_Rationale_1,"Los estados son una parte crucial del sistema federal, pero no una de las tres ramas del gobierno federal. El ejército es una institución vital controlada por la rama ejecutiva, pero no es una rama separada del gobierno. La policía son agencias de aplicación de la ley, normalmente bajo el gobierno estatal o local.",
13,Wrong_Answer_2,"el gabinete, el Senado, la Cámara",
13,Wrong_Rationale_2,"El Gabinete es parte de la rama ejecutiva, mientras que el Senado y la Cámara son partes de la rama legislativa, no ramas separadas en sí mismas.",
13,Wrong_Answer_3,"el FBI, la CIA, la Corte Suprema",
13,Wrong_Rationale_3,"El FBI y la CIA son agencias dentro de la rama ejecutiva, mientras que la Corte Suprema es parte de la rama judicial, no ramas separadas del gobierno.",
14,Question,¿Qué impide que una rama del gobierno se vuelva demasiado poderosa?,
14,Correct_Answer_1,frenos y contrapesos,
14,Correct_Rationale_1,Este es el sistema en el que cada rama puede revisar y limitar los poderes de las demás.,
14,Correct_Answer_2,separación de poderes,
14,Correct_Rationale_2,"Este es el principio de dividir el poder gubernamental entre las ramas legislativa, ejecutiva y judicial.",
14,Wrong_Answer_1,"el estado de derecho, el federalismo",
14,Wrong_Rationale_1,"El estado de derecho ayuda a prevenir el abuso de poder, pero no es el sistema específico que impide que una rama se vuelva demasiado poderosa. El federalismo es el principio de compartir el poder entre los gobiernos federal y estatal, no entre las tres ramas del gobierno. Ninguno aborda directamente el mecanismo constitucional para evitar que una sola rama domine a las demás.",
14,Wrong_Answer_2,"límites de mandato, elecciones",
14,Wrong_Rationale_2,"Los límites de mandato y las elecciones son mecanismos democráticos que pueden limitar el poder del gobierno y proporcionar responsabilidad, pero no son el sistema constitucional diseñado específicamente para evitar que una rama del gobierno se vuelva demasiado poderosa mediante supervisión y control mutuos.",
14,Wrong_Answer_3,"la Carta de Derechos, juicio político",
14,Wrong_Rationale_3,"La Carta de Derechos protege las libertades individuales contra el abuso del gobierno, pero no aborda directamente el equilibrio de poder entre las ramas. El juicio político es un mecanismo específico para destituir a los funcionarios por mala conducta, pero no es el sistema más amplio que evita la dominación de una rama mediante controles mutuos continuos.",
15,Question,¿Quién está a cargo del poder ejecutivo?,
15,Correct_Answer_1,el Presidente,
15,Correct_Rationale_1,El Presidente es el jefe del poder ejecutivo.,
15,Wrong_Answer_1,el Presidente de la Cámara de Representantes,
15,Wrong_Rationale_1,"El Presidente de la Cámara de Representantes es el líder de la Cámara de Representantes, que pertenece al poder legislativo.",
15,Wrong_Answer_2,el Presidente del Tribunal Supremo,
15,Wrong_Rationale_2,"El Presidente del Tribunal Supremo es el jefe de la Corte Suprema, que pertenece al poder judicial.",
15,Wrong_Answer_3,el Secretario de Estado,
15,Wrong_Rationale_3,"El Secretario de Estado es un miembro de alto rango del gabinete en el poder ejecutivo, pero no el jefe de toda la rama.",
16,Question,¿Quién hace las leyes federales?,
16,Correct_Answer_1,el Congreso,
16,Correct_Rationale_1,Las leyes federales las hace el Congreso (el Senado y la Cámara).,
16,Correct_Answer_2,Senado y Cámara (de Representantes),
16,Correct_Rationale_2,"El Congreso está compuesto por el Senado y la Cámara de Representantes, que juntos hacen las leyes federales.",
16,Correct_Answer_3,legislatura (estadounidense o nacional),
16,Correct_Rationale_3,"La legislatura de EE. UU., que es el Congreso, tiene la autoridad constitucional para hacer leyes federales.",
16,Wrong_Answer_1,el Presidente,
16,Wrong_Rationale_1,"El Presidente firma los proyectos de ley aprobados por el Congreso para convertirlos en ley, pero no crea las leyes.",
16,Wrong_Answer_2,la Corte Suprema,
16,Wrong_Rationale_2,"La Corte Suprema interpreta las leyes y decide si son constitucionales, pero no las crea.",
16,Wrong_Answer_3,la legislatura estatal,
16,Wrong_Rationale_3,"Las legislaturas estatales hacen leyes estatales, no leyes federales.",
17,Question,¿Cuáles son las dos partes del Congreso de los Estados Unidos?,
17,Correct_Answer_1,el Senado y la Cámara (de Representantes),
17,Correct_Rationale_1,"El Congreso de los Estados Unidos es una legislatura bicameral, compuesta por el Senado y la Cámara.",
17,Wrong_Answer_1,el Presidente y el Gabinete,
17,Wrong_Rationale_1,Esto describe la rama ejecutiva.,
17,Wrong_Answer_2,los tribunales federales y estatales,
17,Wrong_Rationale_2,Esto describe la estructura del poder judicial.,
17,Wrong_Answer_3,los partidos Demócrata y Republicano,
17,Wrong_Rationale_3,Estos son los principales partidos políticos en los Estados Unidos.,
18,Question,¿Cuántos senadores hay en los Estados Unidos?,
18,Correct_Answer_1,Cien (100),
18,Correct_Rationale_1,"Hay dos senadores de cada uno de los 50 estados, para un total de 100.",
18,Wrong_Answer_1,Cuatrocientos treinta y cinco (435),
18,Wrong_Rationale_1,435 es el número de miembros en la Cámara de Representantes.,
18,Wrong_Answer_2,Cincuenta (50),
18,Wrong_Rationale_2,50 es el número de estados en los Estados Unidos.,
18,Wrong_Answer_3,Nueve (9),
18,Wrong_Rationale_3,Nueve es el número de jueces en la Corte Suprema.,
19,Question,¿Elegimos a un senador de los EE. UU. por cuántos años?,
19,Correct_Answer_1,Seis (6),
19,Correct_Rationale_1,El mandato de un senador de los EE. UU. es de seis años.,
19,Wrong_Answer_1,Dos (2),
19,Wrong_Rationale_1,Dos años es el mandato de un miembro de la Cámara de Representantes.,
19,Wrong_Answer_2,Cuatro (4),
19,Wrong_Rationale_2,Cuatro años es el mandato del presidente.,
19,Wrong_Answer_3,Ocho (8),
19,Wrong_Rationale_3,"Un presidente puede servir un máximo de dos mandatos, o ocho años, pero esto es diferente al mandato de un senador.",
20,Question,¿Quién es actualmente uno de los senadores de EE. UU. de su estado?,
20,Correct_Answer_1,Las respuestas pueden variar,
20,Correct_Rationale_1,La respuesta a esta pregunta depende del estado en el que viva. Debe consultar senate.gov.,
20,Wrong_Answer_1,El nombre del gobernador,
20,Wrong_Rationale_1,"El gobernador es el jefe del poder ejecutivo estatal, no un senador federal.",
20,Wrong_Answer_2,El nombre del representante,
20,Wrong_Rationale_2,"Un representante es miembro de la Cámara de Representantes, que es diferente de un senador.",
20,Wrong_Answer_3,El nombre del presidente,
20,Wrong_Rationale_3,El presidente es el jefe del poder ejecutivo federal.,
21,Question,¿La Cámara de Representantes tiene cuántos miembros con derecho a voto?,
21,Correct_Answer_1,Cuatrocientos treinta y cinco (435),
21,Correct_Rationale_1,El número de representantes se basa en la población de cada estado.,
21,Wrong_Answer_1,Cien (100),
21,Wrong_Rationale_1,100 es el número de senadores.,
21,Wrong_Answer_2,Cincuenta (50),
21,Wrong_Rationale_2,50 es el número de estados.,
21,Wrong_Answer_3,Quinientos treinta y ocho (538),
21,Wrong_Rationale_3,538 es el número total de electores en el Colegio Electoral.,
22,Question,¿Elegimos a un Representante de los Estados Unidos por cuántos años?,
22,Correct_Answer_1,Dos (2),
22,Correct_Rationale_1,El mandato de un Representante de los Estados Unidos es de dos años.,
22,Wrong_Answer_1,Cuatro (4),
22,Wrong_Rationale_1,Cuatro años es el mandato del Presidente.,
22,Wrong_Answer_2,Seis (6),
22,Wrong_Rationale_2,Seis años es el mandato de un senador.,
22,Wrong_Answer_3,De por vida,
22,Wrong_Rationale_3,"Los jueces de la Corte Suprema sirven de por vida, pero los Representantes son funcionarios electos.",
23,Question,Nombre a su Representante en el Congreso de los Estados Unidos.,
23,Correct_Answer_1,Las respuestas variarán,
23,Correct_Rationale_1,La respuesta a esta pregunta depende de su distrito congresional. Debe consultar house.gov.,
23,Wrong_Answer_1,El nombre del Senador,
23,Wrong_Rationale_1,Un senador representa a todo el estado y es diferente de un representante de un distrito específico.,
23,Wrong_Answer_2,El nombre del Gobernador,
23,Wrong_Rationale_2,El gobernador es el jefe de la rama ejecutiva del estado.,
23,Wrong_Answer_3,El nombre del Alcalde,
23,Wrong_Rationale_3,El alcalde es el jefe del gobierno de una ciudad.,
24,Question,¿A quién representa un senador de los Estados Unidos?,
24,Correct_Answer_1,a todas las personas del estado,
24,Correct_Rationale_1,"Los senadores representan los intereses de todo su estado, no solo de un distrito específico.",
24,Wrong_Answer_1,solo a su partido político,
24,Wrong_Rationale_1,"Aunque pertenezcan a un partido político, los senadores tienen la obligación legal de representar a todas las personas de su estado.",
24,Wrong_Answer_2,solo la ciudad en la que viven,
24,Wrong_Rationale_2,"Los senadores representan a todo el estado, no solo a una ciudad.",
24,Wrong_Answer_3,el Presidente,
24,Wrong_Rationale_3,"Como parte del poder legislativo, los senadores supervisan al Presidente, quien encabeza el poder ejecutivo.",
25,Question,¿Por qué algunos estados tienen más representantes que otros estados?,
25,Correct_Answer_1,(debido a) la población del estado,
25,Correct_Rationale_1,"El número de representantes se asigna según la población de cada estado, según lo determinado por el censo cada 10 años.",
25,Correct_Answer_2,(porque) tienen más gente,
25,Correct_Rationale_2,Los estados con poblaciones más grandes obtienen más representantes en la Cámara.,
25,Correct_Answer_3,(porque) algunos estados tienen más gente,
25,Correct_Rationale_3,El número de representantes está directamente relacionado con cuántas personas viven en cada estado.,
25,Wrong_Answer_1,(debido a) el área terrestre del estado,
25,Wrong_Rationale_1,"El número de representantes se basa en la población, no en el tamaño físico del estado.",
25,Wrong_Answer_2,(debido a) la riqueza del estado,
25,Wrong_Rationale_2,"La población, no el poder económico del estado, es el estándar.",
25,Wrong_Answer_3,debido a cuándo se fundó el estado,
25,Wrong_Rationale_3,El orden en que un estado se unió a la Unión no afecta su número de representantes.,
26,Question,¿Elegimos a un presidente por cuántos años?,
26,Correct_Answer_1,Cuatro (4),
26,Correct_Rationale_1,El mandato del presidente es de cuatro años.,
26,Wrong_Answer_1,Dos (2),
26,Wrong_Rationale_1,Dos años es el mandato de un miembro de la Cámara de Representantes.,
26,Wrong_Answer_2,Seis (6),
26,Wrong_Rationale_2,Seis años es el mandato de un senador.,
26,Wrong_Answer_3,Cinco (5),
26,Wrong_Rationale_3,No hay cargos federales en EE. UU. con un mandato de cinco años.,
27,Question,¿En qué mes votamos por el Presidente?,
27,Correct_Answer_1,noviembre,
27,Correct_Rationale_1,"Las elecciones presidenciales de EE. UU. se celebran cada cuatro años, el martes después del primer lunes de noviembre.",
27,Wrong_Answer_1,enero,
27,Wrong_Rationale_1,El nuevo presidente toma posesión en enero.,
27,Wrong_Answer_2,julio,
27,Wrong_Rationale_2,El 4 de julio es el Día de la Independencia.,
27,Wrong_Answer_3,octubre,
27,Wrong_Rationale_3,Octubre suele ser un período de intensa campaña final antes de las elecciones.,
28,Question,¿Cuál es el nombre del presidente de los Estados Unidos actualmente?,
28,Correct_Answer_1,Donald J. Trump,
28,Correct_Rationale_1,(A partir de julio de 2025),
28,Wrong_Answer_1,JD Vance,
28,Wrong_Rationale_1,JD Vance es el actual vicepresidente.,
28,Wrong_Answer_2,Mike Johnson,
28,Wrong_Rationale_2,Mike Johnson es el actual presidente de la Cámara de Representantes.,
28,Wrong_Answer_3,Joe Biden,
28,Wrong_Rationale_3,Joe Biden fue el presidente anterior.,
29,Question,¿Cuál es el nombre del vicepresidente de los Estados Unidos actualmente?,
29,Correct_Answer_1,JD Vance,
29,Correct_Rationale_1,(A partir de julio de 2025),
29,Wrong_Answer_1,Donald J. Trump,
29,Wrong_Rationale_1,Donald J. Trump es el actual presidente.,
29,Wrong_Answer_2,Kamala Harris,
29,Wrong_Rationale_2,Kamala Harris fue la vicepresidenta anterior.,
29,Wrong_Answer_3,John Roberts,
29,Wrong_Rationale_3,John Roberts es el actual presidente del Tribunal Supremo.,
30,Question,"Si el presidente ya no puede servir, ¿quién se convierte en presidente?",
30,Correct_Answer_1,el vicepresidente,
30,Correct_Rationale_1,El vicepresidente asume la presidencia si el presidente ya no puede servir.,
30,Wrong_Answer_1,el presidente de la Cámara de Representantes,
30,Wrong_Rationale_1,El presidente de la Cámara de Representantes asume la presidencia solo si tanto el presidente como el vicepresidente ya no pueden servir.,
30,Wrong_Answer_2,el presidente del Tribunal Supremo,
30,Wrong_Rationale_2,El presidente del Tribunal Supremo no está en la línea de sucesión presidencial.,
30,Wrong_Answer_3,el secretario de Estado,
30,Wrong_Rationale_3,El secretario de Estado es el cuarto en la línea de sucesión presidencial.,
31,Question,"Si tanto el Presidente como el Vicepresidente ya no pueden servir, ¿quién se convierte en Presidente?",
31,Correct_Answer_1,el Presidente de la Cámara de Representantes,
31,Correct_Rationale_1,El Presidente de la Cámara de Representantes es el tercero en la línea de sucesión presidencial.,
31,Wrong_Answer_1,el Secretario de Estado,
31,Wrong_Rationale_1,"El Secretario de Estado es el cuarto en la línea de sucesión, después del Presidente de la Cámara de Representantes.",
31,Wrong_Answer_2,el Presidente del Tribunal Supremo,
31,Wrong_Rationale_2,El Presidente del Tribunal Supremo no está en la línea de sucesión presidencial.,
31,Wrong_Answer_3,el Presidente pro tempore del Senado,
31,Wrong_Rationale_3,"El Presidente pro tempore del Senado es el cuarto en la línea, después del Presidente de la Cámara de Representantes.",
32,Question,¿Quién es el Comandante en Jefe de las fuerzas armadas?,
32,Correct_Answer_1,el Presidente,
32,Correct_Rationale_1,El Presidente tiene la máxima autoridad sobre las fuerzas armadas de EE. UU. como Comandante en Jefe.,
32,Wrong_Answer_1,el Secretario de Defensa,
32,Wrong_Rationale_1,El Secretario de Defensa es el jefe civil del Departamento de Defensa y actúa bajo las órdenes del Presidente.,
32,Wrong_Answer_2,el Presidente del Estado Mayor Conjunto,
32,Wrong_Rationale_2,El Presidente del Estado Mayor Conjunto es el oficial militar de mayor rango y el principal asesor militar del Presidente.,
32,Wrong_Answer_3,el Vicepresidente,
32,Wrong_Rationale_3,El Vicepresidente no tiene autoridad de mando directo sobre las fuerzas armadas.,
33,Question,¿Quién firma los proyectos de ley para que se conviertan en leyes?,
33,Correct_Answer_1,el Presidente,
33,Correct_Rationale_1,Un proyecto de ley aprobado por el Congreso debe ser firmado por el Presidente para convertirse en ley.,
33,Wrong_Answer_1,el Presidente de la Cámara de Representantes,
33,Wrong_Rationale_1,"El Presidente de la Cámara lidera el proceso para que un proyecto de ley pase en la Cámara, pero no tiene la autoridad final para firmarlo como ley.",
33,Wrong_Answer_2,el Vicepresidente,
33,Wrong_Rationale_2,"El Vicepresidente puede emitir un voto de desempate en el Senado, pero no firma los proyectos de ley para convertirlos en ley.",
33,Wrong_Answer_3,el Presidente del Tribunal Supremo,
33,Wrong_Rationale_3,El Presidente del Tribunal Supremo interpreta las leyes y no participa en el proceso legislativo.,
34,Question,¿Quién veta las leyes?,
34,Correct_Answer_1,el Presidente,
34,Correct_Rationale_1,El Presidente tiene el poder de vetar las leyes aprobadas por el Congreso.,
34,Wrong_Answer_1,el Congreso,
34,Wrong_Rationale_1,El Congreso aprueba las leyes; también puede anular un veto presidencial.,
34,Wrong_Answer_2,la Corte Suprema,
34,Wrong_Rationale_2,"La Corte Suprema puede declarar inconstitucional una ley después de que se promulgue, pero no puede vetar un proyecto de ley.",
34,Wrong_Answer_3,el Gobernador,
