ID,ChapterID,SectionID,Type,English_Full,Arabic_Full,Notes
11,3,0,title,Leading the Nation: The President and Cabinet,قيادة الأمة: الرئيس ومجلس الوزراء,Chapter 3 Title
12,3,0,introduction,The Constitution created three branches of government. Now let's learn about the executive branch—the President and the team that helps lead our nation.,أنشأ الدستور ثلاثة فروع للحكومة. دعنا الآن نتعرف على الفرع التنفيذي - الرئيس والفريق الذي يساعد في قيادة أمتنا.,Chapter 3 Introduction
13,3,1,section,"Finishing our story about Congress, one important question remains. Why do some states have more Representatives than others? The reason is [ANSWER:because of the state's population]. It's [ANSWER:because more people live there], and [ANSWER:because some states have more people] (Q.35). Now, let's move on to the Executive Branch. The President of the United States is elected every [ANSWER:four years] (Q.36). And there's one important rule. A President can only serve two terms, and this is because of the [ANSWER:22nd Amendment to the U.S. Constitution], and [ANSWER:to prevent a president from becoming too powerful] (Q.37).",لإنهاء قصتنا عن الكونغرس، يبقى سؤال مهم. لماذا تمتلك بعض الولايات عددًا أكبر من الممثلين من غيرها؟ السبب هو [ANSWER:بسبب عدد سكان الولاية]. إنه [ANSWER:لأن المزيد من الناس يعيشون هناك]، و [ANSWER:لأن بعض الولايات بها عدد أكبر من السكان] (س.35). الآن، دعنا ننتقل إلى الفرع التنفيذي. يتم انتخاب رئيس الولايات المتحدة كل [ANSWER:أربع سنوات] (س.36). وهناك قاعدة مهمة واحدة. لا يمكن للرئيس أن يخدم إلا لفترتين، وهذا بسبب [ANSWER:التعديل الثاني والعشرين لدستور الولايات المتحدة]، و [ANSWER:لمنع الرئيس من أن يصبح قويًا جدًا] (س.37).,"Ch3 Sec1 | Questions: [35, 36, 37]"
14,3,2,section,"There are leaders currently leading the United States. Since the names of the current U.S. President and Vice President change with time, you should check for the latest information (Q.38, Q.39).",هناك قادة يقودون الولايات المتحدة حاليًا. نظرًا لأن أسماء الرئيس ونائب الرئيس الأمريكيين الحاليين تتغير بمرور الوقت، يجب عليك التحقق من أحدث المعلومات (س38، س39).,"Ch3 Sec2 | Questions: [38, 39]"
15,3,3,section,"What if the President can no longer perform his duties? Then the [ANSWER:Vice President] becomes President (Q.40). The President has powerful authority. He can [ANSWER:sign bills into law], [ANSWER:veto bills], and is in charge of [ANSWER:enforcing laws]. He is also the [ANSWER:Commander-in-Chief of the military] and the [ANSWER:chief diplomat], and [ANSWER:appoints federal judges] (Q.41). In particular, the Commander-in-Chief of the military is the [ANSWER:President] (Q.42). The person who signs bills into law is also the [ANSWER:President] (Q.43), and the person who vetoes bills is also the [ANSWER:President] (Q.44). And the person who appoints federal judges is also the [ANSWER:President of the United States] (Q.45).",ماذا لو لم يعد الرئيس قادراً على أداء واجباته؟ حينها يصبح [الإجابة: نائب الرئيس] رئيساً (س 40). يتمتع الرئيس بسلطة قوية. يمكنه [الإجابة: توقيع مشاريع القوانين لتصبح قوانين]، و [الإجابة: الاعتراض على مشاريع القوانين]، وهو مسؤول عن [الإجابة: تنفيذ القوانين]. وهو أيضاً [الإجابة: القائد العام للقوات المسلحة] و [الإجابة: كبير الدبلوماسيين]، و [الإجابة: يعين القضاة الفيدراليين] (س 41). على وجه الخصوص، القائد العام للقوات المسلحة هو [الإجابة: الرئيس] (س 42). الشخص الذي يوقع مشاريع القوانين لتصبح قوانين هو أيضاً [الإجابة: الرئيس] (س 43)، والشخص الذي يعترض على مشاريع القوانين هو أيضاً [الإجابة: الرئيس] (س 44). والشخص الذي يعين القضاة الفيدراليين هو أيضاً [الإجابة: رئيس الولايات المتحدة] (س 45).,"Ch3 Sec3 | Questions: [40, 41, 42, 43, 44, 45]"
16,3,4,section,"The President alone cannot do everything. The Executive Branch has many departments. These include [ANSWER:the U.S. President], [ANSWER:the Cabinet], and [ANSWER:federal departments and agencies] (Q.46). What do the President's cabinet members do? They [ANSWER:advise and assist the President] (Q.47).",الرئيس وحده لا يستطيع فعل كل شيء. لدى الفرع التنفيذي العديد من الإدارات. وتشمل هذه [ANSWER:رئيس الولايات المتحدة]، [ANSWER:مجلس الوزراء]، و [ANSWER:الوزارات والوكالات الفيدرالية] (س 46). ماذا يفعل أعضاء مجلس وزراء الرئيس؟ إنهم [ANSWER:يقدمون المشورة ويساعدون الرئيس] (س 47).,"Ch3 Sec4 | Questions: [46, 47]"
17,3,5,section,I'm still learning and can't help with that. Do you need help with anything else?,ما زلت أتعلم ولا يمكنني المساعدة في ذلك. هل تحتاج إلى أي مساعدة أخرى؟,"Ch3 Sec5 | Questions: [48, 49]"
18,4,0,title,Guardians of Justice: The Supreme Court and Judiciary,حراس العدالة: المحكمة العليا والقضاء,Chapter 4 Title
19,4,0,introduction,"Making and enforcing laws is important, but we also need someone to judge whether those laws are applied fairly. This is the role of the judicial branch.",صنع القوانين وتطبيقها مهم، ولكننا نحتاج أيضًا إلى شخص للحكم على ما إذا كانت هذه القوانين مطبقة بشكل عادل. هذا هو دور السلطة القضائية.,Chapter 4 Introduction
20,4,1,section,"Let's look at the Judicial branch, the last institution of the separation of powers. One department of the Judicial branch includes the [ANSWER:Supreme Court] and the [ANSWER:Federal Courts] (Q.50). What does the Judicial branch do? They [ANSWER:review laws], [ANSWER:interpret laws], [ANSWER:resolve disputes or disagreements about laws], and [ANSWER:determine if laws violate the Constitution] (Q.51). And the highest court in the United States is the [ANSWER:Supreme Court] (Q.52).",دعونا ننظر إلى السلطة القضائية، وهي المؤسسة الأخيرة في فصل السلطات. أحد أقسام السلطة القضائية يشمل [ANSWER:المحكمة العليا] و [ANSWER:المحاكم الفيدرالية] (Q.50). ماذا تفعل السلطة القضائية؟ إنهم [ANSWER:يراجعون القوانين]، [ANSWER:يفسرون القوانين]، [ANSWER:يحلون النزاعات أو الخلافات حول القوانين]، و [ANSWER:يحددون ما إذا كانت القوانين تنتهك الدستور] (Q.51). وأعلى محكمة في الولايات المتحدة هي [ANSWER:المحكمة العليا] (Q.52).,"Ch4 Sec1 | Questions: [50, 51, 52]"
21,4,2,section,"The Supreme Court has a total of [ANSWER:9] Supreme Court justices (Q.53). Usually, [ANSWER:5] justices are needed to make a ruling (Q.54). Supreme Court justices have a very special tenure. They work for [ANSWER:life], that is, they are [ANSWER:appointed for life] and serve [ANSWER:until retirement] (Q.55). Why do Supreme Court justices hold their positions for life? The reasons are to be [ANSWER:independent from politics] and to [ANSWER:limit the influence of external politics] (Q.56).",تضم المحكمة العليا ما مجموعه [ANSWER:9] قضاة (Q.53). وعادةً، يلزم [ANSWER:5] قضاة لإصدار حكم (Q.54). يتمتع قضاة المحكمة العليا بفترة ولاية خاصة جدًا. فهم يعملون [ANSWER:مدى الحياة]، أي أنهم [ANSWER:يعينون مدى الحياة] ويخدمون [ANSWER:حتى التقاعد] (Q.55). لماذا يشغل قضاة المحكمة العليا مناصبهم مدى الحياة؟ الأسباب هي أن يكونوا [ANSWER:مستقلين عن السياسة] و[ANSWER:للحد من تأثير السياسة الخارجية] (Q.56).,"Ch4 Sec2 | Questions: [53, 54, 55, 56]"
22,4,3,section,"The Chief Justice of the U.S. Supreme Court changes over time, so you must check the latest information (Q.57). Now, let's look at the powers of the federal government and state governments. Powers exclusively for the federal government include [ANSWER:printing money], [ANSWER:coining money], [ANSWER:declaring war], [ANSWER:creating an army], [ANSWER:making treaties], and [ANSWER:setting foreign policy] (Q.58). On the other hand, powers exclusively for the states include [ANSWER:providing schooling and education], [ANSWER:providing protection] (police), [ANSWER:providing safety] (fire departments), [ANSWER:issuing a driver's license], and [ANSWER:approving zoning and land use] (Q.59). What is the purpose of the 10th Amendment? It states that [ANSWER:the powers not given to the federal government belong to the states or to the people] (Q.60). Your state also has a governor (Q.61) and a state capital (Q.62).",يتغير رئيس قضاة المحكمة العليا الأمريكية بمرور الوقت، لذلك يجب عليك التحقق من أحدث المعلومات (Q.57). الآن، دعنا نلقي نظرة على صلاحيات الحكومة الفيدرالية وحكومات الولايات. تشمل الصلاحيات المخصصة حصريًا للحكومة الفيدرالية [ANSWER:طباعة النقود]، [ANSWER:سك النقود]، [ANSWER:إعلان الحرب]، [ANSWER:إنشاء جيش]، [ANSWER:إبرام المعاهدات]، و [ANSWER:وضع السياسة الخارجية] (Q.58). من ناحية أخرى، تشمل الصلاحيات المخصصة حصريًا للولايات [ANSWER:توفير التعليم والمدارس]، [ANSWER:توفير الحماية] (الشرطة)، [ANSWER:توفير السلامة] (إدارات الإطفاء)، [ANSWER:إصدار رخصة القيادة]، و [ANSWER:الموافقة على تقسيم المناطق واستخدام الأراضي] (Q.59). ما هو الغرض من التعديل العاشر؟ ينص على أن [ANSWER:الصلاحيات غير الممنوحة للحكومة الفيدرالية تعود للولايات أو للشعب] (Q.60). لولايتك أيضًا حاكم (Q.61) وعاصمة ولاية (Q.62).,"Ch4 Sec3 | Questions: [57, 58, 59, 60, 61, 62]"
23,5,0,title,Rights and Responsibilities: Freedom and Duty,الحقوق والمسؤوليات: الحرية والواجب,Chapter 5 Title
24,5,0,introduction,"Now that we understand the government's structure, it's time to learn about our rights and responsibilities as citizens. To live in a free country, responsibilities are just as important as rights.",الآن بعد أن فهمنا هيكل الحكومة، حان الوقت للتعرف على حقوقنا ومسؤولياتنا كمواطنين. للعيش في بلد حر، المسؤوليات لا تقل أهمية عن الحقوق.,Chapter 5 Introduction
25,5,1,section,"The Constitution has four amendments about who can vote. [ANSWER:Citizens 18 years and older can vote], [ANSWER:you don't have to pay a poll tax to vote], and [ANSWER:any citizen can vote] (women or men). Also, [ANSWER:male citizens of any race can vote] (Q.63). So who can vote in federal elections, run for federal office, and serve as a juror in the United States? It's the [ANSWER:citizens], that is, [ANSWER:citizens of the United States], [ANSWER:U.S. citizens] (Q.64). But there are also rights that everyone living in the United States has. These are [ANSWER:freedom of expression], [ANSWER:freedom of speech], [ANSWER:freedom of assembly], [ANSWER:freedom to petition the government], [ANSWER:freedom of religion], and [ANSWER:the right to bear arms] (Q.65).",يحتوي الدستور على أربعة تعديلات حول من يمكنه التصويت. [الإجابة: يمكن للمواطنين الذين يبلغون 18 عامًا فما فوق التصويت]، [الإجابة: لا يتوجب عليك دفع ضريبة اقتراع للتصويت]، و [الإجابة: يمكن لأي مواطن التصويت] (نساء أو رجال). أيضًا، [الإجابة: يمكن للمواطنين الذكور من أي عرق التصويت] (س63). فمن يمكنه التصويت في الانتخابات الفيدرالية، والترشح للمناصب الفيدرالية، والعمل كعضو هيئة محلفين في الولايات المتحدة؟ إنهم [الإجابة: المواطنون]، أي [الإجابة: مواطنو الولايات المتحدة]، [الإجابة: مواطنو الولايات المتحدة الأمريكية] (س64). ولكن هناك أيضًا حقوق يتمتع بها كل من يعيش في الولايات المتحدة. هذه هي [الإجابة: حرية التعبير]، [الإجابة: حرية الكلام]، [الإجابة: حرية التجمع]، [الإجابة: حرية تقديم الالتماسات للحكومة]، [الإجابة: حرية الدين]، و [الإجابة: الحق في حمل السلاح] (س65).,"Ch5 Sec1 | Questions: [63, 64, 65]"
26,5,2,section,"When we say the Pledge of Allegiance, to what do we pledge our loyalty? We pledge loyalty to the [ANSWER:United States] and to the [ANSWER:flag] (Q.66). In the Oath of Allegiance for new citizens, two important promises are made: to [ANSWER:give up loyalty to other countries], to [ANSWER:defend the United States], to [ANSWER:obey the Constitution], to [ANSWER:obey the laws of the United States], to [ANSWER:serve in the U.S. military] if needed, to [ANSWER:perform important work for the nation] if needed, and to [ANSWER:be loyal to the United States] (Q.67). So, how do people become U.S. citizens? People become citizens by [ANSWER:being born in the United States under the conditions specified in the 14th Amendment to the U.S. Constitution], through [ANSWER:naturalization], or by [ANSWER:obtaining citizenship] (according to conditions set by Congress) (Q.68).",عندما نقول قسم الولاء، لمن نعهد بولائنا؟ نعهد بالولاء لـ [ANSWER:الولايات المتحدة] و [ANSWER:العلم] (س.66). في قسم الولاء للمواطنين الجدد، يتم تقديم وعدين مهمين: [ANSWER:التخلي عن الولاء للبلدان الأخرى]، و [ANSWER:الدفاع عن الولايات المتحدة]، و [ANSWER:طاعة الدستور]، و [ANSWER:طاعة قوانين الولايات المتحدة]، و [ANSWER:الخدمة في الجيش الأمريكي] إذا لزم الأمر، و [ANSWER:أداء عمل مهم للأمة] إذا لزم الأمر، و [ANSWER:أن تكون مخلصًا للولايات المتحدة] (س.67). إذن، كيف يصبح الناس مواطنين أمريكيين؟ يصبح الناس مواطنين عن طريق [ANSWER:الولادة في الولايات المتحدة بموجب الشروط المحددة في التعديل الرابع عشر لدستور الولايات المتحدة]، أو من خلال [ANSWER:التجنس]، أو عن طريق [ANSWER:الحصول على الجنسية] (وفقًا للشروط التي يحددها الكونجرس) (س.68).,"Ch5 Sec2 | Questions: [66, 67, 68]"
27,5,3,section,"There are many ways for citizens to participate in America. These include [ANSWER:voting], [ANSWER:running for office], [ANSWER:joining a political party], [ANSWER:helping with a campaign], [ANSWER:joining a civic group], [ANSWER:joining a local group], [ANSWER:giving an elected official your opinion on an issue], [ANSWER:calling Senators and Representatives], [ANSWER:publicly supporting or opposing an issue or policy], and [ANSWER:writing to a newspaper] (Q.69). There are also various ways for Americans to serve their country. These include [ANSWER:voting], [ANSWER:paying taxes], [ANSWER:obeying the law], [ANSWER:serving in the military], [ANSWER:running for office], and [ANSWER:serving in local, state, or federal government] (Q.70). Why is it important to pay federal taxes? It is [ANSWER:required by law], and [ANSWER:everyone pays taxes to support the federal government]. It is [ANSWER:what America requires], and it is a [ANSWER:civic duty] specified in the [ANSWER:16th Amendment to the Constitution] (Q.71). Finally, all men aged 18 to 25 must register with Selective Service because it is [ANSWER:required by law], it is a [ANSWER:civic duty], and it is to [ANSWER:make the draft fair, if needed] (Q.72).",هناك العديد من الطرق للمواطنين للمشاركة في أمريكا. وتشمل هذه [ANSWER:التصويت]، [ANSWER:الترشح للمناصب]، [ANSWER:الانضمام إلى حزب سياسي]، [ANSWER:المساعدة في حملة انتخابية]، [ANSWER:الانضمام إلى مجموعة مدنية]، [ANSWER:الانضمام إلى مجموعة محلية]، [ANSWER:إعطاء رأيك في قضية لمسؤول منتخب]، [ANSWER:الاتصال بأعضاء مجلس الشيوخ والنواب]، [ANSWER:الدعم العلني أو معارضة قضية أو سياسة]، و [ANSWER:الكتابة إلى صحيفة] (س.69). هناك أيضًا طرق مختلفة للأمريكيين لخدمة بلدهم. وتشمل هذه [ANSWER:التصويت]، [ANSWER:دفع الضرائب]، [ANSWER:الامتثال للقانون]، [ANSWER:الخدمة في الجيش]، [ANSWER:الترشح للمناصب]، و [ANSWER:الخدمة في الحكومة المحلية أو الولائية أو الفيدرالية] (س.70). لماذا من المهم دفع الضرائب الفيدرالية؟ إنها [ANSWER:مطلوبة بموجب القانون]، و [ANSWER:يدفع الجميع الضرائب لدعم الحكومة الفيدرالية]. إنها [ANSWER:ما تتطلبه أمريكا]، وهي [ANSWER:واجب مدني] محدد في [ANSWER:التعديل السادس عشر للدستور] (س.71). أخيرًا، يجب على جميع الرجال الذين تتراوح أعمارهم بين 18 و 25 عامًا التسجيل في الخدمة الانتقائية لأنها [ANSWER:مطلوبة بموجب القانون]، وهي [ANSWER:واجب مدني]، ول [ANSWER:جعل التجنيد عادلاً، إذا لزم الأمر] (س.72).,"Ch5 Sec3 | Questions: [69, 70, 71, 72]"
28,6,0,title,Journey to Freedom: From Colonies to Independence,رحلة إلى الحرية: من المستعمرات إلى الاستقلال,Chapter 6 Title
29,6,0,introduction,"It's time to learn how America was born. Long ago, people dreaming of a new life crossed the Atlantic Ocean to this land, and their descendants fought for freedom.",حان الوقت لنتعلم كيف وُلدت أمريكا. منذ زمن بعيد، عبر أناس يحلمون بحياة جديدة المحيط الأطلسي إلى هذه الأرض، وقاتل أحفادهم من أجل الحرية.,Chapter 6 Introduction
