ID,DataName,Value,Key,English,es,ar,fr,hi,ko,tl,vi,zh
92,Correct_Rationale_2,Alaska borders Canada’s Yukon and British Columbia.,Correct_Rationale_2,Alaska borders Canada’s Yukon and British Columbia.,Alaska limita con Yukon y Columbia Británica en Canadá.,ألاسكا تحد يوكون وكولومبيا البريطانية في كندا.,L’Alaska borde le Yukon et la Colombie-Britannique au Canada.,अलास्का की सीमा कनाडा के युकोन और ब्रिटिश कोलंबिया से लगती है।,알래스카는 캐나다의 유콘 준주와 브리티시컬럼비아주와 접해 있습니다.,Ang Alaska ay may hangganan sa Yukon at British Columbia ng Canada.,Alaska giáp Yukon và British Columbia của Canada.,阿拉斯加州与加拿大的育空地区和不列颠哥伦比亚省接壤。
92,Correct_Answer_3,New York,Correct_Answer_3,New York,Nueva York,نيويورك,New York,न्यूयॉर्क,뉴욕,New York,New York,纽约州
92,Correct_Rationale_3,New York borders the Canadian provinces of Ontario and Quebec.,Correct_Rationale_3,New York borders the Canadian provinces of Ontario and Quebec.,Nueva York limita con las provincias canadienses de Ontario y Quebec.,نيويورك تحد مقاطعتي أونتاريو وكيبيك الكنديتين.,New York partage une frontière avec l’Ontario et le Québec au Canada.,न्यूयॉर्क की सीमा कनाडा के ओंटारियो और क्यूबेक से लगती है।,뉴욕주는 캐나다 온타리오주와 퀘벡주와 국경을 맞대고 있습니다.,Ang New York ay may hangganan sa mga lalawigan ng Ontario at Quebec sa Canada.,New York giáp các tỉnh Ontario và Quebec của Canada.,纽约州与加拿大的安大略省和魁北克省接壤。
92,Correct_Answer_4,Montana,Correct_Answer_4,Montana,Montana,مونتانا,Montana,मोंटाना,몬태나,Montana,Montana,蒙大拿州
92,Correct_Rationale_4,"Montana shares a long border with the Canadian provinces of British Columbia, Alberta, and Saskatchewan.",Correct_Rationale_4,"Montana shares a long border with the Canadian provinces of British Columbia, Alberta, and Saskatchewan.","Montana comparte una larga frontera con las provincias canadienses de Columbia Británica, Alberta y Saskatchewan.","مونتانا تحد مقاطعات كولومبيا البريطانية، وألبرتا، وساسكاتشوان الكندية.","Le Montana partage une longue frontière avec la Colombie-Britannique, l’Alberta et la Saskatchewan.","मोंटाना की सीमा कनाडा के ब्रिटिश कोलंबिया, अलबर्टा और सस्केचेवान प्रांतों से लगती है।","몬태나는 캐나다의 브리티시컬럼비아, 앨버타, 서스캐처원과 국경을 접하고 있습니다.","Ang Montana ay may mahabang hangganan sa mga lalawigan ng British Columbia, Alberta, at Saskatchewan sa Canada.","Montana giáp các tỉnh British Columbia, Alberta và Saskatchewan của Canada.",蒙大拿州与加拿大的不列颠哥伦比亚省、阿尔伯塔省和萨斯喀彻温省接壤。
93,Correct_Answer_1,California,Correct_Answer_1,California,California,كاليفورنيا,Californie,कैलिफ़ोर्निया,캘리포니아,California,California,加利福尼亚州
93,Correct_Rationale_1,California borders Mexico along its southern boundary.,Correct_Rationale_1,California borders Mexico along its southern boundary.,California limita con México en su frontera sur.,كاليفورنيا تحد المكسيك على حدودها الجنوبية.,La Californie partage une frontière sud avec le Mexique.,कैलिफ़ोर्निया की दक्षिणी सीमा मैक्सिको से लगती है।,캘리포니아는 남쪽으로 멕시코와 국경을 접하고 있습니다.,Ang California ay may hangganan sa Mexico sa timog na bahagi nito.,California giáp biên giới phía nam với Mexico.,加利福尼亚州南部与墨西哥接壤。
93,Correct_Answer_2,Arizona,Correct_Answer_2,Arizona,Arizona,أريزونا,Arizona,एरिज़ोना,애리조나,Arizona,Arizona,亚利桑那州
93,Correct_Rationale_2,Arizona shares a significant portion of its southern border with Mexico.,Correct_Rationale_2,Arizona shares a significant portion of its southern border with Mexico.,Arizona comparte una gran parte de su frontera sur con México.,أريزونا تشترك في جزء كبير من حدودها الجنوبية مع المكسيك.,L’Arizona partage une grande partie de sa frontière sud avec le Mexique.,एरिज़ोना अपनी दक्षिणी सीमा का एक बड़ा हिस्सा मैक्सिको के साथ साझा करता है।,애리조나는 남부 국경의 큰 부분을 멕시코와 접하고 있습니다.,Ang Arizona ay may malaking bahagi ng hangganan nito sa timog na tumatawid sa Mexico.,Arizona có một phần lớn biên giới phía nam giáp với Mexico.,亚利桑那州的南部有很长一段与墨西哥接壤。
93,Correct_Answer_3,New Mexico,Correct_Answer_3,New Mexico,Nuevo México,نيو مكسيكو,Nouveau-Mexique,न्यू मैक्सिको,뉴멕시코,New Mexico,New Mexico,新墨西哥州
93,Correct_Rationale_3,New Mexico borders Mexico to the south.,Correct_Rationale_3,New Mexico borders Mexico to the south.,Nuevo México limita con México al sur.,نيو مكسيكو تحد المكسيك من الجنوب.,Le Nouveau-Mexique borde le Mexique au sud.,न्यू मैक्सिको दक्षिण में मैक्सिको से सटा हुआ है।,뉴멕시코는 남쪽으로 멕시코와 접해 있습니다.,Ang New Mexico ay may hangganan sa Mexico sa timog.,New Mexico giáp Mexico ở phía nam.,新墨西哥州南部与墨西哥接壤。
93,Correct_Answer_4,Texas,Correct_Answer_4,Texas,Texas,تكساس,Texas,टेक्सास,텍사스,Texas,Texas,德克萨斯州
93,Correct_Rationale_4,Texas shares the longest border with Mexico among U.S. states.,Correct_Rationale_4,Texas shares the longest border with Mexico among U.S. states.,Texas tiene la frontera más larga con México entre los estados de EE. UU.,تكساس لها أطول حدود مع المكسيك بين الولايات الأمريكية.,Le Texas partage la plus longue frontière avec le Mexique parmi les États américains.,टेक्सास की मैक्सिको के साथ सबसे लंबी सीमा है।,텍사스는 미국 주 중에서 멕시코와 가장 긴 국경을 공유합니다.,Ang Texas ang may pinakamahabang hangganan sa Mexico sa lahat ng estado ng U.S.,Texas là bang có đường biên giới dài nhất với Mexico trong số các bang của Mỹ.,德克萨斯州是美国与墨西哥接壤最长的州。
100,Correct_Answer_1,New Year’s Day,Correct_Answer_1,New Year’s Day,Día de Año Nuevo,يوم رأس السنة,Jour de l’An,नववर्ष दिवस,새해 첫날,Bagong Taon,Ngày đầu năm mới,元旦
100,Correct_Rationale_1,Celebrates the beginning of the new calendar year on January 1st.,Correct_Rationale_1,Celebrates the beginning of the new calendar year on January 1st.,Celebra el comienzo del nuevo año el 1 de enero.,يحتفل ببداية السنة الجديدة في الأول من يناير.,Célèbre le début de la nouvelle année le 1er janvier.,1 जनवरी को नए वर्ष की शुरुआत का उत्सव होता है।,"1월 1일, 새해의 시작을 기념합니다.",Ipinagdiriwang ang simula ng bagong taon tuwing Enero 1.,Ăn mừng năm mới bắt đầu vào ngày 1 tháng 1.,1月1日庆祝新年的开始。
100,Correct_Answer_2,"Martin Luther King, Jr. Day",Correct_Answer_2,"Martin Luther King, Jr. Day","Día de Martin Luther King, Jr.",يوم مارتن لوثر كينغ جونيور,"Jour de Martin Luther King, Jr.",मार्टिन लूथर किंग जूनियर दिवस,마틴 루터 킹 주니어 데이,"Araw ni Martin Luther King, Jr.","Ngày Martin Luther King, Jr.",马丁·路德·金纪念日
100,Correct_Rationale_2,"Honors the civil rights leader Martin Luther King, Jr.",Correct_Rationale_2,"Honors the civil rights leader Martin Luther King, Jr.","Honra al líder de derechos civiles Martin Luther King, Jr.",يكرم زعيم الحقوق المدنية مارتن لوثر كينغ جونيور.,"Rend hommage au leader des droits civiques Martin Luther King, Jr.",नागरिक अधिकार नेता मार्टिन लूथर किंग जूनियर को सम्मानित करता है।,민권 운동가 마틴 루터 킹 주니어를 기리는 날입니다.,"Ginugunita ang pinuno ng karapatang sibil na si Martin Luther King, Jr.","Tưởng nhớ lãnh đạo dân quyền Martin Luther King, Jr.",向民权领袖马丁·路德·金致敬。
100,Correct_Answer_3,Presidents’ Day,Correct_Answer_3,Presidents’ Day,Día de los Presidentes,يوم الرؤساء,Jour des Présidents,राष्ट्रपतियों का दिवस,대통령의 날,Araw ng mga Pangulo,Ngày Tổng thống,总统日
100,Correct_Rationale_3,Celebrates the birthdays of George Washington and Abraham Lincoln.,Correct_Rationale_3,Celebrates the birthdays of George Washington and Abraham Lincoln.,Celebra los cumpleaños de George Washington y Abraham Lincoln.,يحتفل بعيد ميلاد جورج واشنطن وأبراهام لنكولن.,Célèbre les anniversaires de George Washington et Abraham Lincoln.,यह जॉर्ज वॉशिंगटन और अब्राहम लिंकन के जन्मदिन का उत्सव है।,조지 워싱턴과 에이브러햄 링컨의 생일을 기념합니다.,Ipinagdiriwang ang kaarawan nina George Washington at Abraham Lincoln.,Kỷ niệm sinh nhật của George Washington và Abraham Lincoln.,庆祝乔治·华盛顿和亚伯拉罕·林肯的生日。
100,Correct_Answer_4,Memorial Day,Correct_Answer_4,Memorial Day,Día de los Caídos,يوم الذكرى,Jour du Souvenir,स्मृति दिवस,메모리얼 데이,Araw ng mga Bayani,Ngày Tưởng niệm,阵亡将士纪念日
100,Correct_Rationale_4,Honors those who died while serving in the U.S. military.,Correct_Rationale_4,Honors those who died while serving in the U.S. military.,Honra a los que murieron en servicio militar.,يكرم من ماتوا أثناء خدمتهم في الجيش الأمريكي.,Rend hommage aux soldats morts au service.,यह उन लोगों को सम्मानित करता है जिन्होंने अमेरिकी सेना में सेवा करते हुए प्राण दिए।,미군 복무 중 사망한 이들을 기리는 날입니다.,Parangal sa mga namatay habang naglilingkod sa militar ng U.S.,Tưởng niệm những người hy sinh khi phục vụ trong quân đội Hoa Kỳ.,缅怀在美国军队服役中牺牲的人。
100,Correct_Answer_5,Independence Day,Correct_Answer_5,Independence Day,Día de la Independencia,يوم الاستقلال,Jour de l’Indépendance,स्वतंत्रता दिवस,독립기념일,Araw ng Kalayaan,Ngày Độc lập,独立日
100,Correct_Rationale_5,Celebrates the adoption of the Declaration of Independence in 1776.,Correct_Rationale_5,Celebrates the adoption of the Declaration of Independence in 1776.,Celebra la adopción de la Declaración de Independencia en 1776.,يحتفل باعتماد إعلان الاستقلال عام 1776.,Célèbre l’adoption de la Déclaration d’indépendance en 1776.,1776 में स्वतंत्रता की घोषणा को अपनाने का उत्सव।,1776년 독립 선언서를 채택한 것을 기념합니다.,Ipinagdiriwang ang paglagda ng Deklarasyon ng Kalayaan noong 1776.,Kỷ niệm việc thông qua Tuyên ngôn Độc lập năm 1776.,庆祝1776年通过《独立宣言》。
100,Correct_Answer_6,Labor Day,Correct_Answer_6,Labor Day,Día del Trabajo,عيد العمال,Fête du Travail,श्रमिक दिवस,노동절,Araw ng Paggawa,Ngày Lao động,劳动节
100,Correct_Rationale_6,Honors American workers and the labor movement.,Correct_Rationale_6,Honors American workers and the labor movement.,Honra a los trabajadores estadounidenses y el movimiento laboral.,يكرم العمال الأمريكيين وحركة العمل.,Rend hommage aux travailleurs américains et au mouvement ouvrier.,अमेरिकी श्रमिकों और श्रमिक आंदोलन को सम्मानित करता है।,미국 노동자들과 노동 운동을 기리는 날입니다.,Ginugunita ang mga manggagawang Amerikano at kilusang paggawa.,Tôn vinh người lao động Mỹ và phong trào lao động.,向美国工人和劳工运动致敬。
100,Correct_Answer_7,Columbus Day,Correct_Answer_7,Columbus Day,Día de la Raza,يوم كولومبوس,Jour de Christophe Colomb,कोलंबस दिवस,콜럼버스 데이,Araw ni Columbus,Ngày Columbus,哥伦布日
100,Correct_Rationale_7,Commemorates Christopher Columbus’s arrival in the Americas.,Correct_Rationale_7,Commemorates Christopher Columbus’s arrival in the Americas.,Conmemora la llegada de Cristóbal Colón a América.,يخلد ذكرى وصول كريستوفر كولومبوس إلى الأمريكتين.,Commémore l’arrivée de Christophe Colomb en Amérique.,यह क्रिस्टोफर कोलंबस के अमेरिका आगमन की याद में है।,크리스토퍼 콜럼버스의 아메리카 도착을 기립니다.,Ginugunita ang pagdating ni Christopher Columbus sa Amerika.,Kỷ niệm Christopher Columbus đến Châu Mỹ.,纪念哥伦布到达美洲。
100,Correct_Answer_8,Veterans Day,Correct_Answer_8,Veterans Day,Día de los Veteranos,يوم المحاربين القدامى,Jour des anciens combattants,पूर्व सैनिक दिवस,재향군인의 날,Araw ng mga Beterano,Ngày Cựu chiến binh,老兵节
100,Correct_Rationale_8,Honors all U.S. military veterans.,Correct_Rationale_8,Honors all U.S. military veterans.,Honra a todos los veteranos militares de EE. UU.,يكرم جميع المحاربين القدامى في الجيش الأمريكي.,Rend hommage à tous les anciens combattants américains.,यह सभी अमेरिकी सैन्य दिग्गजों को सम्मानित करता है।,모든 미군 참전용사를 기리는 날입니다.,Pagkilala sa lahat ng mga beteranong militar ng U.S.,Tôn vinh tất cả các cựu chiến binh Hoa Kỳ.,向所有美国退伍军人致敬。
100,Correct_Answer_9,Thanksgiving,Correct_Answer_9,Thanksgiving,Día de Acción de Gracias,عيد الشكر,Action de grâce,धन्यवाद दिवस,추수감사절,Araw ng Pasasalamat,Lễ Tạ ơn,感恩节
100,Correct_Rationale_9,A day to give thanks for the harvest and blessings of the past year.,Correct_Rationale_9,A day to give thanks for the harvest and blessings of the past year.,Día para dar gracias por la cosecha y bendiciones del año.,يوم لشكر الحصاد والبركات خلال السنة الماضية.,Jour pour rendre grâce pour les récoltes et bénédictions.,पिछले वर्ष की फसल और आशीर्वादों के लिए धन्यवाद देने का दिन।,지난 한 해의 수확과 축복에 감사하는 날입니다.,Araw ng pasasalamat para sa ani at mga biyaya ng nakaraang taon.,Ngày tạ ơn cho mùa màng và phúc lành năm qua.,感谢过去一年的收成与祝福。
100,Correct_Answer_10,Christmas,Correct_Answer_10,Christmas,Navidad,عيد الميلاد,Noël,क्रिसमस,크리스마스,Pasko,Giáng Sinh,圣诞节
100,Correct_Rationale_10,Celebrates the birth of Jesus Christ and is widely observed in the U.S.,Correct_Rationale_10,Celebrates the birth of Jesus Christ and is widely observed in the U.S.,Celebra el nacimiento de Jesucristo y es ampliamente celebrado en EE. UU.,يحتفل بميلاد يسوع المسيح ويحتفل به على نطاق واسع في الولايات المتحدة.,Célèbre la naissance de Jésus-Christ et est largement observé aux États-Unis.,यीशु मसीह के जन्म का उत्सव और अमेरिका में व्यापक रूप से मनाया जाता है।,예수 그리스도의 탄생을 기념하며 미국에서 널리 기념됩니다.,Ipinagdiriwang ang kapanganakan ni Hesus at malawakang ipinagdiriwang sa U.S.,Kỷ niệm ngày sinh của Chúa Giê-su và được tổ chức rộng rãi ở Mỹ.,庆祝耶稣基督的诞生，美国普遍庆祝此节日。
