ID,DataName,vi,
6,Correct_Rationale_2,Tu chính án thứ nhất cấm chính phủ đàn áp bất công sự biểu đạt cá nhân.,
6,Correct_Answer_3,tự do hội họp,
6,Correct_Rationale_3,Mọi người có quyền tụ tập một cách hòa bình và chia sẻ ý kiến của mình.,
6,Correct_Answer_4,tự do báo chí,
6,Correct_Rationale_4,Đây là quyền in ấn và phân phối thông tin mà không bị kiểm duyệt trước bởi chính phủ.,
6,Correct_Answer_5,quyền kiến nghị chính phủ,
6,Correct_Rationale_5,Công dân có quyền yêu cầu thay đổi chính sách của chính phủ.,
6,Wrong_Answer_1,"quyền bầu cử, quyền mang vũ khí, quyền được xét xử đúng thủ tục, quyền được bảo vệ bình đẳng, quyền riêng tư",
6,Wrong_Rationale_1,"Quyền bầu cử được bảo vệ bởi các tu chính án khác (15, 19, 26), không phải bởi Tu chính án thứ nhất. Quyền mang vũ khí được bảo vệ bởi Tu chính án thứ hai. Quyền được xét xử đúng thủ tục được đảm bảo bởi Tu chính án thứ 5 và 14. Quyền được bảo vệ bình đẳng được cung cấp bởi Tu chính án thứ 14. Quyền riêng tư bắt nguồn từ nhiều tu chính án nhưng không được nêu rõ trong Tu chính án thứ nhất.",
6,Wrong_Answer_2,"quyền được xét xử bởi bồi thẩm đoàn, quyền chống tự buộc tội, quyền có luật sư, quyền được xét xử nhanh chóng, quyền đối chất nhân chứng",
6,Wrong_Rationale_2,"Đây đều là các quyền được đảm bảo bởi Tu chính án thứ 6, 7 và 8 liên quan đến công lý hình sự và các thủ tục pháp lý, không phải bởi Tu chính án thứ nhất tập trung vào các quyền tự do cơ bản về ngôn luận và tín ngưỡng.",
6,Wrong_Answer_3,"quyền đi lại giữa các bang, quyền kết hôn, quyền làm việc, quyền được giáo dục, quyền được chăm sóc sức khỏe",
6,Wrong_Rationale_3,,
7,Question,Hiến pháp có bao nhiêu tu chính án?,
7,Correct_Answer_1,Hai mươi bảy (27),
7,Correct_Rationale_1,"Sau Tuyên ngôn Nhân quyền năm 1791, đã thêm 17 điều nữa, tổng cộng là 27.",
7,Wrong_Answer_1,Mười (10),
7,Wrong_Rationale_1,Mười là số tu chính án trong Tuyên ngôn Nhân quyền.,
7,Wrong_Answer_2,Năm mươi (50),
7,Wrong_Rationale_2,Năm mươi là số bang ở Hoa Kỳ.,
7,Wrong_Answer_3,Mười ba (13),
7,Wrong_Rationale_3,Mười ba là số thuộc địa ban đầu (bang) khi Hoa Kỳ được thành lập.,
8,Question,Tuyên ngôn Độc lập đã làm gì?,
8,Correct_Answer_1,tuyên bố độc lập của chúng ta (khỏi Vương quốc Anh),
8,Correct_Rationale_1,Tuyên bố với thế giới rằng các thuộc địa không còn dưới sự cai trị của Anh nữa.,
8,Correct_Answer_2,tuyên bố độc lập của chúng ta (khỏi Vương quốc Anh),
8,Correct_Rationale_2,Tuyên ngôn chính thức tuyên bố các thuộc địa độc lập khỏi sự cai trị của Anh.,
8,Correct_Answer_3,nói rằng Hoa Kỳ tự do (khỏi Vương quốc Anh),
8,Correct_Rationale_3,Tuyên bố rằng Hoa Kỳ là một quốc gia tự do và độc lập.,
8,Wrong_Answer_1,trao cho phụ nữ quyền bầu cử,
8,Wrong_Rationale_1,"Quyền bầu cử của phụ nữ được trao bởi Tu chính án thứ 19, được phê chuẩn năm 1920.",
8,Wrong_Answer_2,giải phóng nô lệ,
8,Wrong_Rationale_2,Nô lệ được giải phóng bởi Tuyên ngôn Giải phóng Nô lệ của Lincoln năm 1863 và sau đó là Tu chính án thứ 13.,
8,Wrong_Answer_3,tạo ra Hiến pháp,
8,Wrong_Rationale_3,"Hiến pháp được tạo ra sau đó, tại Hội nghị Lập hiến năm 1787.",
9,Question,Hai quyền nào được nêu trong Tuyên ngôn Độc lập?,
9,Correct_Answer_1,quyền sống,
9,Correct_Rationale_1,Quyền sống là một trong ba quyền bất khả xâm phạm được nêu trong Tuyên ngôn Độc lập.,
9,Correct_Answer_2,tự do,
9,Correct_Rationale_2,Tự do là một trong ba quyền bất khả xâm phạm được nêu trong Tuyên ngôn Độc lập.,
9,Correct_Answer_3,quyền mưu cầu hạnh phúc,
9,Correct_Rationale_3,Quyền mưu cầu hạnh phúc là một trong ba quyền bất khả xâm phạm được nêu trong Tuyên ngôn Độc lập.,
9,Wrong_Answer_1,tự do ngôn luận và tôn giáo,
9,Wrong_Rationale_1,Tự do ngôn luận và tôn giáo là những quyền được liệt kê trong Tuyên ngôn Nhân quyền (Tu chính án thứ nhất).,
9,Wrong_Answer_2,quyền bầu cử và ứng cử,
9,Wrong_Rationale_2,"Đây là những quyền quan trọng đối với công dân Hoa Kỳ, nhưng được quy định trong Hiến pháp, không phải Tuyên ngôn Độc lập.",
9,Wrong_Answer_3,quyền sở hữu tài sản và được giáo dục,
9,Wrong_Rationale_3,"Đây là những quyền quan trọng, nhưng không phải là ba quyền bất khả xâm phạm cốt lõi được nêu trong Tuyên ngôn.",
10,Question,Tự do tôn giáo là gì?,
10,Correct_Answer_1,Bạn có thể theo bất kỳ tôn giáo nào hoặc không theo tôn giáo nào,
10,Correct_Rationale_1,Hoa Kỳ không có quốc giáo và chính phủ không thể can thiệp vào lựa chọn của cá nhân.,
10,Wrong_Answer_1,Bạn chỉ có thể theo đạo Cơ Đốc,
10,Wrong_Rationale_1,Hoa Kỳ không có quốc giáo và bảo đảm quyền tự do cho mọi tôn giáo hoặc không theo tôn giáo nào.,
10,Wrong_Answer_2,Bạn phải theo một tôn giáo được chính phủ phê duyệt,
10,Wrong_Rationale_2,Điều này không đúng; không cần sự chấp thuận của chính phủ và điều đó sẽ vi phạm nguyên tắc tự do tôn giáo.,
10,Wrong_Answer_3,Bạn phải nộp thuế cho các hoạt động tôn giáo của mình,
10,Wrong_Rationale_3,Các hoạt động tôn giáo thường được miễn thuế vì đánh thuế có thể hạn chế tự do tôn giáo.,
11,Question,Hệ thống kinh tế ở Hoa Kỳ là gì?,
11,Correct_Answer_1,nền kinh tế tư bản,
11,Correct_Rationale_1,"Hoa Kỳ hoạt động theo nền kinh tế tư bản, dựa trên quyền sở hữu tư nhân và thị trường tự do.",
11,Correct_Answer_2,nền kinh tế thị trường,
11,Correct_Rationale_2,"Nền kinh tế thị trường, nơi giá cả được quyết định bởi cung và cầu, cũng mô tả hệ thống kinh tế Hoa Kỳ.",
11,Wrong_Answer_1,"nền kinh tế xã hội chủ nghĩa, nền kinh tế cộng sản",
11,Wrong_Rationale_1,"Nền kinh tế xã hội chủ nghĩa liên quan đến quyền sở hữu nhà nước hoặc cộng đồng đối với các phương tiện sản xuất, khác với mô hình sở hữu tư nhân của Hoa Kỳ. Nền kinh tế cộng sản có đặc điểm là sở hữu chung và nhà nước kiểm soát hoàn toàn việc sản xuất và phân phối, điều này trái ngược với hệ thống thị trường tự do của Hoa Kỳ.",
11,Wrong_Answer_2,"nền kinh tế trọng thương, nền kinh tế phong kiến",
11,Wrong_Rationale_2,"Chủ nghĩa trọng thương là chính sách châu Âu thế kỷ 16–18, nơi nhà nước kiểm soát thương mại để tích lũy của cải, khác với cách tiếp cận thương mại tự do của Hoa Kỳ. Nền kinh tế phong kiến dựa trên quyền sở hữu đất và nghĩa vụ lao động nông nghiệp, điều này hoàn toàn khác với các hệ thống tư bản hiện đại.",
11,Wrong_Answer_3,"nền kinh tế chỉ huy, nền kinh tế kế hoạch",
11,Wrong_Rationale_3,"Nền kinh tế chỉ huy hoàn toàn do chính phủ kiểm soát, quyết định sản xuất và phân phối gì, khác với hệ thống do thị trường dẫn dắt của Hoa Kỳ. Nền kinh tế kế hoạch bao gồm việc chính phủ trung ương lập kế hoạch cho toàn bộ hoạt động kinh tế, trái ngược với hệ thống Hoa Kỳ, nơi các lực lượng thị trường quyết định các quyết định kinh tế.",
12,Question,"""Nguyên tắc pháp quyền"" là gì?",
12,Correct_Answer_1,Mọi người phải tuân theo pháp luật,
12,Correct_Rationale_1,"Nguyên tắc pháp quyền là nguyên tắc mọi người đều chịu sự quản lý và trách nhiệm trước pháp luật, bất kể địa vị.",
12,Correct_Answer_2,Các nhà lãnh đạo phải tuân thủ pháp luật,
12,Correct_Rationale_2,"Các nhà lãnh đạo chính phủ, bao gồm Tổng thống, cũng phải tuân theo pháp quyền.",
12,Correct_Answer_3,Không ai đứng trên pháp luật,
12,Correct_Rationale_3,Câu nói này tóm tắt rõ nhất nguyên tắc cốt lõi của pháp quyền.,
12,Correct_Answer_4,Chính phủ phải tuân thủ pháp luật,
12,Correct_Rationale_4,Chính phủ cũng bị ràng buộc bởi pháp luật và không thể hành động ngoài thẩm quyền hợp pháp.,
12,Wrong_Answer_1,"Luật luôn thay đổi, Tổng thống làm luật, mọi luật đều công bằng",
12,Wrong_Rationale_1,"Mặc dù luật có thể thay đổi, nhưng đó không phải là định nghĩa của pháp quyền. Quốc hội ban hành luật, và Tổng thống thực thi nó. Đây là nguyên tắc phân chia quyền lực. Pháp quyền hướng đến sự công bằng, nhưng không đảm bảo mọi luật đều hoàn toàn công bằng.",
12,Wrong_Answer_2,"Chỉ công dân tuân theo luật, luật áp dụng khác nhau đối với người giàu, quan chức chính phủ được miễn luật",
12,Wrong_Rationale_2,"Những phát biểu này mâu thuẫn với nguyên tắc pháp quyền, yêu cầu mọi người đều phải chịu cùng một hệ thống pháp luật, bất kể địa vị hay tài sản.",
12,Wrong_Answer_3,"Luật chỉ là gợi ý, mọi người có thể chọn luật nào để tuân theo, luật chỉ áp dụng trong trường hợp khẩn cấp",
12,Wrong_Rationale_3,"Những phát biểu này hiểu sai bản chất ràng buộc của pháp luật theo nguyên tắc pháp quyền, trong đó luật bắt buộc và áp dụng cho mọi người mọi lúc.",
13,Question,Nêu tên một nhánh hoặc bộ phận của chính phủ.,
13,Correct_Answer_1,Quốc hội (lập pháp),
13,Correct_Rationale_1,"Quốc hội là nhánh lập pháp, cơ quan làm luật.",
13,Correct_Answer_2,Tổng thống (hành pháp),
13,Correct_Rationale_2,"Tổng thống là người đứng đầu nhánh hành pháp, thực thi pháp luật.",
13,Correct_Answer_3,tòa án (tư pháp),
13,Correct_Rationale_3,"Tòa án là nhánh tư pháp, giải thích và áp dụng luật pháp.",
13,Wrong_Answer_1,"các bang, quân đội, cảnh sát",
13,Wrong_Rationale_1,"Các bang là một phần quan trọng của hệ thống liên bang, nhưng không phải là một trong ba nhánh của chính phủ liên bang. Quân đội là một tổ chức quan trọng do nhánh hành pháp kiểm soát, nhưng không phải là một nhánh riêng biệt của chính phủ. Cảnh sát là các cơ quan thực thi pháp luật, thường thuộc chính quyền bang hoặc địa phương.",
13,Wrong_Answer_2,"nội các, thượng viện, hạ viện",
13,Wrong_Rationale_2,"Nội các là một phần của nhánh hành pháp, trong khi Thượng viện và Hạ viện đều là một phần của nhánh lập pháp, không phải là các nhánh riêng biệt.",
13,Wrong_Answer_3,"FBI, CIA, Tòa án Tối cao",
13,Wrong_Rationale_3,"FBI và CIA là các cơ quan thuộc nhánh hành pháp, trong khi Tòa án Tối cao là một phần của nhánh tư pháp, không phải các nhánh riêng biệt của chính phủ.",
14,Question,Điều gì ngăn một nhánh của chính phủ trở nên quá quyền lực?,
14,Correct_Answer_1,kiểm soát và cân bằng,
14,Correct_Rationale_1,Đây là hệ thống trong đó mỗi nhánh có thể xem xét và hạn chế quyền lực của các nhánh khác.,
14,Correct_Answer_2,phân quyền,
14,Correct_Rationale_2,"Đây là nguyên tắc phân chia quyền lực nhà nước giữa lập pháp, hành pháp và tư pháp.",
14,Wrong_Answer_1,"pháp quyền, chế độ liên bang",
14,Wrong_Rationale_1,"Nguyên tắc pháp quyền giúp ngăn chặn lạm dụng quyền lực nhưng không phải là hệ thống cụ thể để ngăn một nhánh trở nên quá quyền lực. Chủ nghĩa liên bang là nguyên tắc chia sẻ quyền lực giữa chính phủ liên bang và tiểu bang, không phải giữa ba nhánh chính phủ. Cả hai đều không trực tiếp đề cập đến cơ chế hiến pháp ngăn chặn bất kỳ nhánh nào thống trị các nhánh khác.",
14,Wrong_Answer_2,"giới hạn nhiệm kỳ, bầu cử",
14,Wrong_Rationale_2,"Giới hạn nhiệm kỳ và bầu cử là các cơ chế dân chủ có thể hạn chế quyền lực của chính phủ và đảm bảo trách nhiệm giải trình, nhưng chúng không phải là hệ thống hiến pháp được thiết kế đặc biệt để ngăn một nhánh của chính phủ trở nên quá quyền lực thông qua sự giám sát và kiềm chế lẫn nhau.",
14,Wrong_Answer_3,"Tuyên ngôn Nhân quyền, luận tội",
14,Wrong_Rationale_3,"Tuyên ngôn Nhân quyền bảo vệ quyền tự do cá nhân khỏi sự lạm quyền của chính phủ nhưng không trực tiếp giải quyết sự cân bằng quyền lực giữa các nhánh. Luận tội là một cơ chế cụ thể để bãi nhiệm quan chức vì hành vi sai trái, nhưng không phải là hệ thống rộng hơn ngăn chặn sự thống trị của một nhánh thông qua việc kiểm tra lẫn nhau liên tục.",
15,Question,Ai chịu trách nhiệm về nhánh hành pháp?,
15,Correct_Answer_1,Tổng thống,
15,Correct_Rationale_1,Tổng thống là người đứng đầu nhánh hành pháp.,
15,Wrong_Answer_1,Chủ tịch Hạ viện,
15,Wrong_Rationale_1,"Chủ tịch Hạ viện là lãnh đạo của Hạ viện, thuộc nhánh lập pháp.",
15,Wrong_Answer_2,Chánh án Tòa án Tối cao,
15,Wrong_Rationale_2,"Chánh án Tòa án Tối cao là người đứng đầu Tòa án Tối cao, thuộc nhánh tư pháp.",
15,Wrong_Answer_3,Ngoại trưởng,
15,Wrong_Rationale_3,"Ngoại trưởng là thành viên cấp cao của nội các trong nhánh hành pháp, nhưng không phải là người đứng đầu toàn bộ nhánh.",
16,Question,Ai làm luật liên bang?,
16,Correct_Answer_1,Quốc hội,
16,Correct_Rationale_1,Luật liên bang được Quốc hội (Thượng viện và Hạ viện) thông qua.,
16,Correct_Answer_2,Thượng viện và Hạ viện,
16,Correct_Rationale_2,"Quốc hội bao gồm Thượng viện và Hạ viện, cùng nhau làm luật liên bang.",
16,Correct_Answer_3,cơ quan lập pháp (Hoa Kỳ hoặc quốc gia),
16,Correct_Rationale_3,"Cơ quan lập pháp của Hoa Kỳ, tức là Quốc hội, có quyền lập hiến để ban hành luật liên bang.",
16,Wrong_Answer_1,Tổng thống,
16,Wrong_Rationale_1,"Tổng thống ký các dự luật được Quốc hội thông qua thành luật, nhưng không tạo ra luật.",
16,Wrong_Answer_2,Tòa án Tối cao,
16,Wrong_Rationale_2,"Tòa án Tối cao giải thích luật và quyết định xem chúng có hợp hiến hay không, nhưng không làm luật.",
16,Wrong_Answer_3,cơ quan lập pháp tiểu bang,
16,Wrong_Rationale_3,"Các cơ quan lập pháp tiểu bang ban hành luật tiểu bang, không phải luật liên bang.",
17,Question,Hai bộ phận của Quốc hội Hoa Kỳ là gì?,
17,Correct_Answer_1,Thượng viện và Hạ viện (Hạ nghị viện),
17,Correct_Rationale_1,Quốc hội Hoa Kỳ là cơ quan lập pháp lưỡng viện gồm Thượng viện và Hạ viện.,
17,Wrong_Answer_1,Tổng thống và Nội các,
17,Wrong_Rationale_1,Điều này mô tả nhánh hành pháp.,
17,Wrong_Answer_2,các tòa án liên bang và tiểu bang,
17,Wrong_Rationale_2,Điều này mô tả cấu trúc của ngành tư pháp.,
17,Wrong_Answer_3,Đảng Dân chủ và Đảng Cộng hòa,
17,Wrong_Rationale_3,Đây là các đảng chính trị lớn ở Hoa Kỳ.,
18,Question,Có bao nhiêu thượng nghị sĩ ở Hoa Kỳ?,
18,Correct_Answer_1,Một trăm (100),
18,Correct_Rationale_1,"Mỗi trong 50 bang có hai thượng nghị sĩ, tổng cộng 100.",
18,Wrong_Answer_1,Bốn trăm ba mươi lăm (435),
18,Wrong_Rationale_1,435 là số thành viên của Hạ viện.,
18,Wrong_Answer_2,Năm mươi (50),
18,Wrong_Rationale_2,50 là số tiểu bang ở Hoa Kỳ.,
18,Wrong_Answer_3,Chín (9),
18,Wrong_Rationale_3,Chín là số thẩm phán của Tòa án Tối cao.,
19,Question,Chúng ta bầu một Thượng nghị sĩ Hoa Kỳ với nhiệm kỳ bao nhiêu năm?,
19,Correct_Answer_1,Sáu (6),
19,Correct_Rationale_1,Nhiệm kỳ của một Thượng nghị sĩ Hoa Kỳ là sáu năm.,
19,Wrong_Answer_1,Hai (2),
19,Wrong_Rationale_1,Hai năm là nhiệm kỳ của một thành viên Hạ viện.,
19,Wrong_Answer_2,Bốn (4),
19,Wrong_Rationale_2,Bốn năm là nhiệm kỳ của Tổng thống.,
19,Wrong_Answer_3,Tám (8),
19,Wrong_Rationale_3,"Tổng thống có thể phục vụ tối đa hai nhiệm kỳ, tức tám năm, nhưng điều này khác với nhiệm kỳ của Thượng nghị sĩ.",
20,Question,Ai là một trong những Thượng nghị sĩ Hoa Kỳ hiện tại của bang bạn?,
20,Correct_Answer_1,Câu trả lời có thể khác nhau,
20,Correct_Rationale_1,Câu trả lời cho câu hỏi này phụ thuộc vào bang bạn đang sống. Bạn nên kiểm tra senate.gov.,
20,Wrong_Answer_1,Tên của Thống đốc,
20,Wrong_Rationale_1,"Thống đốc là người đứng đầu nhánh hành pháp của tiểu bang, không phải là Thượng nghị sĩ liên bang.",
20,Wrong_Answer_2,Tên của Dân biểu,
20,Wrong_Rationale_2,"Dân biểu là thành viên của Hạ viện, khác với Thượng nghị sĩ.",
20,Wrong_Answer_3,Tên của Tổng thống,
20,Wrong_Rationale_3,Tổng thống là người đứng đầu nhánh hành pháp liên bang.,
21,Question,Hạ viện có bao nhiêu thành viên có quyền bỏ phiếu?,
21,Correct_Answer_1,Bốn trăm ba mươi lăm (435),
21,Correct_Rationale_1,Số lượng đại biểu dựa trên dân số của mỗi bang.,
21,Wrong_Answer_1,Một trăm (100),
21,Wrong_Rationale_1,100 là số lượng thượng nghị sĩ.,
21,Wrong_Answer_2,Năm mươi (50),
21,Wrong_Rationale_2,50 là số lượng tiểu bang.,
21,Wrong_Answer_3,Năm trăm ba mươi tám (538),
21,Wrong_Rationale_3,538 là tổng số đại cử tri trong Cử tri đoàn.,
22,Question,Chúng ta bầu một Hạ nghị sĩ Hoa Kỳ cho bao nhiêu năm?,
22,Correct_Answer_1,Hai (2),
22,Correct_Rationale_1,Nhiệm kỳ của một Hạ nghị sĩ Hoa Kỳ là hai năm.,
22,Wrong_Answer_1,Bốn (4),
22,Wrong_Rationale_1,Nhiệm kỳ của Tổng thống là bốn năm.,
22,Wrong_Answer_2,Sáu (6),
22,Wrong_Rationale_2,Nhiệm kỳ của một Thượng nghị sĩ là sáu năm.,
22,Wrong_Answer_3,Suốt đời,
22,Wrong_Rationale_3,"Các thẩm phán Tòa án Tối cao phục vụ suốt đời, nhưng các Hạ nghị sĩ là quan chức được bầu.",
23,Question,Nêu tên Hạ nghị sĩ Hoa Kỳ của bạn.,
23,Correct_Answer_1,Câu trả lời sẽ khác nhau,
23,Correct_Rationale_1,Câu trả lời cho câu hỏi này phụ thuộc vào khu vực bầu cử quốc hội của bạn. Bạn nên kiểm tra house.gov.,
23,Wrong_Answer_1,Tên của Thượng nghị sĩ,
23,Wrong_Rationale_1,Thượng nghị sĩ đại diện cho toàn bộ tiểu bang và khác với Hạ nghị sĩ đại diện cho một khu vực cụ thể.,
23,Wrong_Answer_2,Tên của Thống đốc,
23,Wrong_Rationale_2,Thống đốc là người đứng đầu nhánh hành pháp của tiểu bang.,
23,Wrong_Answer_3,Tên của Thị trưởng,
23,Wrong_Rationale_3,Thị trưởng là người đứng đầu chính quyền thành phố.,
24,Question,Thượng nghị sĩ Hoa Kỳ đại diện cho ai?,
24,Correct_Answer_1,tất cả người dân của bang,
24,Correct_Rationale_1,"Các Thượng nghị sĩ đại diện cho lợi ích của toàn bộ tiểu bang của họ, không chỉ một khu vực cụ thể.",
24,Wrong_Answer_1,chỉ đảng chính trị của họ,
24,Wrong_Rationale_1,"Mặc dù họ thuộc về một đảng chính trị, các Thượng nghị sĩ có nghĩa vụ pháp lý đại diện cho tất cả người dân trong bang.",
24,Wrong_Answer_2,chỉ thành phố nơi họ sống,
24,Wrong_Rationale_2,"Các Thượng nghị sĩ đại diện cho toàn bộ tiểu bang, không chỉ một thành phố.",
24,Wrong_Answer_3,Tổng thống,
24,Wrong_Rationale_3,"Là một phần của cơ quan lập pháp, các Thượng nghị sĩ giám sát Tổng thống, người đứng đầu cơ quan hành pháp.",
25,Question,Tại sao một số bang có nhiều đại biểu hơn các bang khác?,
25,Correct_Answer_1,(vì) dân số của bang,
25,Correct_Rationale_1,"Số lượng đại biểu được phân bổ dựa trên dân số của từng bang, được xác định qua cuộc điều tra dân số mỗi 10 năm.",
25,Correct_Answer_2,(vì) họ có nhiều người hơn,
25,Correct_Rationale_2,Các bang có dân số lớn hơn có nhiều đại biểu hơn tại Hạ viện.,
25,Correct_Answer_3,(vì) một số bang có nhiều người hơn,
25,Correct_Rationale_3,Số lượng đại biểu có liên quan trực tiếp đến số người sống ở mỗi bang.,
25,Wrong_Answer_1,(vì) diện tích đất của bang,
25,Wrong_Rationale_1,Số lượng đại biểu dựa trên dân số chứ không phải diện tích vật lý của bang.,
25,Wrong_Answer_2,(vì) sự giàu có của bang,
25,Wrong_Rationale_2,Tiêu chuẩn là dân số chứ không phải sức mạnh kinh tế của bang.,
25,Wrong_Answer_3,vì thời điểm bang được thành lập,
25,Wrong_Rationale_3,Thứ tự một bang gia nhập Liên bang không ảnh hưởng đến số đại biểu của bang đó.,
26,Question,Chúng ta bầu tổng thống cho bao nhiêu năm?,
26,Correct_Answer_1,Bốn (4),
26,Correct_Rationale_1,Nhiệm kỳ của tổng thống là bốn năm.,
26,Wrong_Answer_1,Hai (2),
26,Wrong_Rationale_1,Hai năm là nhiệm kỳ của một thành viên Hạ viện.,
26,Wrong_Answer_2,Sáu (6),
26,Wrong_Rationale_2,Sáu năm là nhiệm kỳ của một thượng nghị sĩ.,
26,Wrong_Answer_3,Năm (5),
26,Wrong_Rationale_3,Không có chức vụ liên bang nào ở Hoa Kỳ có nhiệm kỳ năm năm.,
27,Question,Vào tháng mấy chúng ta bầu Tổng thống?,
27,Correct_Answer_1,Tháng Mười Một,
27,Correct_Rationale_1,Cuộc bầu cử tổng thống Hoa Kỳ được tổ chức bốn năm một lần vào thứ Ba sau ngày thứ Hai đầu tiên của tháng Mười Một.,
27,Wrong_Answer_1,Tháng Một,
27,Wrong_Rationale_1,Tổng thống mới nhậm chức vào tháng Một.,
27,Wrong_Answer_2,Tháng Bảy,
27,Wrong_Rationale_2,Ngày 4 tháng 7 là Ngày Độc lập.,
27,Wrong_Answer_3,Tháng Mười,
