ID,DataName,tl,
3,Question,Ang ideya ng sariling pamahalaan ay nasa unang tatlong salita ng Konstitusyon. Ano ang mga salitang ito?,
3,Correct_Answer_1,"Kami, ang mga Tao",
3,Correct_Rationale_1,Ang mga salitang ito ay sumasagisag na ang kapangyarihan ng pamahalaan ay nagmumula sa mga tao.,
3,Wrong_Answer_1,Apat na pu at,
3,Wrong_Rationale_1,Ito ang simula ng Gettysburg Address ni Lincoln.,
3,Wrong_Answer_2,Gagawa ang Kongreso,
3,Wrong_Rationale_2,Ito ay isang parirala mula sa Artikulo I ng Konstitusyon.,
3,Wrong_Answer_3,Ako'y nanunumpa ng katapatan,
3,Wrong_Rationale_3,Ito ang simula ng Panatang Makabayan.,
4,Question,Ano ang isang susog?,
4,Correct_Answer_1,isang pagbabago,
4,Correct_Rationale_1,Ang susog ay isang pagbabago sa Konstitusyon.,
4,Correct_Answer_2,isang karagdagan,
4,Correct_Rationale_2,Ang susog ay isang karagdagan sa Konstitusyon.,
4,Wrong_Answer_1,"isang bagong batas, isang desisyon ng Korte Suprema",
4,Wrong_Rationale_1,"Ang bagong batas ay nililikha ng Kongreso at iba ito sa isang susog, na binabago mismo ang Konstitusyon. Ang desisyon ng Korte Suprema ay nagpapaliwanag ng batas, ngunit hindi nito direktang binabago ang teksto ng Konstitusyon.",
4,Wrong_Answer_2,"isang tratado, isang kasunduang ehekutibo",
4,Wrong_Rationale_2,Ang tratado ay isang internasyonal na kasunduan na nangangailangan ng pag-apruba ng Senado ngunit hindi binabago ang Konstitusyon. Ang kasunduang ehekutibo ay ginagawa ng Pangulo sa mga banyagang bansa nang walang pag-apruba ng Senado.,
4,Wrong_Answer_3,"isang batas ng estado, isang regulasyon ng pederal",
4,Wrong_Rationale_3,"Ang batas ng estado ay nalalapat lamang sa loob ng estadong iyon at hindi maaaring baguhin ang pederal na Konstitusyon. Ang regulasyon ng pederal ay isang patakaran na ginawa ng mga ahensya ng pederal upang ipatupad ang mga batas, ngunit hindi nito maaaring amyendahan ang Konstitusyon.",
5,Question,Ano ang tawag natin sa unang sampung susog sa Konstitusyon?,
5,Correct_Answer_1,ang Bill of Rights,
5,Correct_Rationale_1,Ang sampung susog na ito ay ginagarantiyahan ang pangunahing mga karapatan at kalayaan ng indibidwal.,
5,Wrong_Answer_1,ang Deklarasyon ng Kalayaan,
5,Wrong_Rationale_1,"Ang Deklarasyon ng Kalayaan, mula 1776, ay nagdeklara ng kalayaan at hindi isang hanay ng mga susog sa konstitusyon.",
5,Wrong_Answer_2,ang mga Papel ng Federalista,
5,Wrong_Rationale_2,Ang mga Papel ng Federalista ay isang serye ng mga sanaysay na isinulat upang hikayatin ang mga tao na ratipikahan ang Konstitusyon.,
5,Wrong_Answer_3,ang Proklamasyon ng Emansipasyon,
5,Wrong_Rationale_3,Ang Proklamasyon ng Emansipasyon ay isang kautusang ehekutibo ni Lincoln na nagpalaya sa mga alipin sa Konpederasyon.,
6,Question,Ano ang isang karapatan o kalayaan mula sa Unang Susog?,
6,Correct_Answer_1,kalayaan sa relihiyon,
6,Correct_Rationale_1,Ipinagbabawal ng Unang Susog ang gobyerno na makialam sa pagpili ng relihiyon ng isang tao.,
6,Correct_Answer_2,kalayaan sa pagsasalita,
6,Correct_Rationale_2,Ipinagbabawal ng Unang Susog na pigilan ng gobyerno nang hindi makatarungan ang pagpapahayag ng indibidwal.,
6,Correct_Answer_3,kalayaan sa pagtitipon,
6,Correct_Rationale_3,May karapatan ang mga tao na magtipon nang mapayapa at ibahagi ang kanilang mga opinyon.,
6,Correct_Answer_4,kalayaan ng pamamahayag,
6,Correct_Rationale_4,Ito ang karapatang mag-print at magpamudmod ng impormasyon nang walang naunang sensura mula sa gobyerno.,
6,Correct_Answer_5,kalayaan na magpetisyon sa gobyerno,
6,Correct_Rationale_5,May karapatan ang mga mamamayan na humiling ng mga pagbabago sa patakaran ng gobyerno.,
6,Wrong_Answer_1,"ang karapatan bumoto, ang karapatan magdala ng armas, ang karapatan sa tamang proseso, ang karapatan sa pantay na proteksyon, ang karapatan sa pribasiya",
6,Wrong_Rationale_1,"Ang karapatang bumoto ay protektado ng iba pang mga susog (15, 19, 26), hindi ng Una. Ang karapatan sa pagdadala ng armas ay protektado ng Ikalawang Susog. Ang tamang proseso ay ginagarantiyahan ng ika-5 at ika-14 na Susog. Ang pantay na proteksyon ay ibinibigay ng ika-14 na Susog. Ang mga karapatan sa pribasiya ay nagmula sa iba't ibang mga susog ngunit hindi tahasang nakasaad sa Una.",
6,Wrong_Answer_2,"ang karapatan sa paglilitis ng hurado, ang karapatan laban sa sariling pag-akusa, ang karapatan sa abogado, ang karapatan sa mabilis na paglilitis, ang karapatan na harapin ang mga saksi",
6,Wrong_Rationale_2,"Ang lahat ng ito ay mga karapatang ginagarantiyahan ng ika-6, ika-7, at ika-8 na Susog na may kaugnayan sa katarungang pangkriminal at mga legal na proseso, hindi ng Unang Susog na nakatuon sa mga pangunahing kalayaan ng pagpapahayag at paniniwala.",
6,Wrong_Answer_3,"ang karapatang maglakbay sa pagitan ng mga estado, ang karapatang magpakasal, ang karapatang magtrabaho, ang karapatang sa edukasyon, ang karapatang sa pangangalagang pangkalusugan",
6,Wrong_Rationale_3,Ang paglalakbay sa pagitan ng mga estado ay ipinahiwatig sa Kon,
7,Question,Ilang susog mayroon ang Konstitusyon?,
7,Correct_Answer_1,Dalawampu't pito (27),
7,Correct_Rationale_1,"Pagkatapos ng Bill of Rights noong 1791, may idinagdag pang 17, kaya kabuuan ay 27.",
7,Wrong_Answer_1,Sampu (10),
7,Wrong_Rationale_1,Sampu ang bilang ng mga susog sa Bill of Rights.,
7,Wrong_Answer_2,Limampu (50),
7,Wrong_Rationale_2,Limampu ang bilang ng mga estado sa U.S.,
7,Wrong_Answer_3,Labintatlo (13),
7,Wrong_Rationale_3,Labintatlo ang bilang ng mga orihinal na kolonya (estado) noong itinatag ang U.S.,
8,Question,Ano ang ginawa ng Deklarasyon ng Kalayaan?,
8,Correct_Answer_1,inihayag ang ating kalayaan (mula sa Gran Britanya),
8,Correct_Rationale_1,Inihayag nito sa mundo na ang mga kolonya ay wala na sa ilalim ng pamamahala ng Britanya.,
8,Correct_Answer_2,idineklara ang ating kalayaan (mula sa Gran Britanya),
8,Correct_Rationale_2,Pormal na idineklara ng Deklarasyon ang kalayaan ng mga kolonya mula sa pamamahala ng Britanya.,
8,Correct_Answer_3,sinabi na ang Estados Unidos ay malaya (mula sa Gran Britanya),
8,Correct_Rationale_3,Ang Deklarasyon ay nagsabi na ang Estados Unidos ay isang malaya at independiyenteng bansa.,
8,Wrong_Answer_1,binigyan ang mga kababaihan ng karapatang bumoto,
8,Wrong_Rationale_1,"Ang karapatan ng kababaihan na bumoto ay ipinagkaloob ng Ika-19 na Susog, na naratipikahan noong 1920.",
8,Wrong_Answer_2,pinalaya ang mga alipin,
8,Wrong_Rationale_2,Ang mga alipin ay pinalaya ng Proklamasyon ng Emansipasyon ni Lincoln noong 1863 at kalaunan ng Ika-13 na Susog.,
8,Wrong_Answer_3,nilikha ang Konstitusyon,
8,Wrong_Rationale_3,"Ang Konstitusyon ay nilikha kalaunan, sa Kumbensiyong Konstitusyonal noong 1787.",
9,Question,Ano ang dalawang karapatan sa Deklarasyon ng Kalayaan?,
9,Correct_Answer_1,buhay,
9,Correct_Rationale_1,Ang buhay ay isa sa tatlong hindi maaalis na karapatan na nakasaad sa Deklarasyon ng Kalayaan.,
9,Correct_Answer_2,kalayaan,
9,Correct_Rationale_2,Ang kalayaan ay isa sa tatlong hindi maaalis na karapatan na nakasaad sa Deklarasyon ng Kalayaan.,
9,Correct_Answer_3,paghahangad ng kaligayahan,
9,Correct_Rationale_3,Ang paghahangad ng kaligayahan ay isa sa tatlong hindi maaalis na karapatan na nakasaad sa Deklarasyon ng Kalayaan.,
9,Wrong_Answer_1,kalayaan sa pananalita at relihiyon,
9,Wrong_Rationale_1,Ang kalayaan sa pananalita at relihiyon ay mga karapatang nakasaad sa Bill of Rights (Unang Susog).,
9,Wrong_Answer_2,ang karapatang bumoto at tumakbo sa halalan,
9,Wrong_Rationale_2,"Ito ay mahahalagang karapatan para sa mga mamamayan ng U.S., ngunit tinutukoy ang mga ito ng Konstitusyon, hindi ng Deklarasyon ng Kalayaan.",
9,Wrong_Answer_3,ang karapatan sa pagmamay-ari ng ari-arian at edukasyon,
9,Wrong_Rationale_3,"Ito ay mahahalagang karapatan, ngunit hindi ito ang tatlong pangunahing hindi maaalis na karapatan na binanggit sa Deklarasyon.",
10,Question,Ano ang kalayaan sa relihiyon?,
10,Correct_Answer_1,Maaari kang magpraktis ng anumang relihiyon o hindi magpraktis ng relihiyon,
10,Correct_Rationale_1,"Walang opisyal na relihiyon ang U.S., at hindi maaaring manghimasok ang gobyerno sa pagpili ng isang tao.",
10,Wrong_Answer_1,Maaari ka lamang magpraktis ng Kristiyanismo,
10,Wrong_Rationale_1,Walang opisyal na relihiyon ang U.S. at ginagarantiyahan ang kalayaan para sa lahat ng relihiyon o wala.,
10,Wrong_Answer_2,Dapat kang magpraktis ng relihiyon na aprubado ng gobyerno,
10,Wrong_Rationale_2,Mali ito; hindi kailangan ang aprubal ng gobyerno at lalabag ito sa prinsipyo ng kalayaan sa relihiyon.,
10,Wrong_Answer_3,Dapat kang magbayad ng buwis sa iyong mga gawaing panrelihiyon,
10,Wrong_Rationale_3,"Karaniwang hindi pinapatawan ng buwis ang mga gawaing panrelihiyon, dahil ang pagbubuwis nito ay maaaring pumigil sa kalayaan sa relihiyon.",
11,Question,Ano ang sistemang pang-ekonomiya sa Estados Unidos?,
11,Correct_Answer_1,kapitalistang ekonomiya,
11,Correct_Rationale_1,Gumagana ang U.S. sa ilalim ng isang kapitalistang ekonomiya na nakabatay sa pribadong pag-aari at malayang pamilihan.,
11,Correct_Answer_2,pamilihang ekonomiya,
11,Correct_Rationale_2,"Ang ekonomiyang pamilihan, kung saan ang mga presyo ay tinutukoy ng suplay at demand, ay inilalarawan din ang sistemang pang-ekonomiya ng U.S.",
11,Wrong_Answer_1,"sosyalistang ekonomiya, komunistang ekonomiya",
11,Wrong_Rationale_1,"Ang sosyalistang ekonomiya ay may kasamang pagmamay-ari ng estado o komunidad ng mga paraan ng produksyon, na naiiba sa modelong pribadong pag-aari ng U.S. Ang komunistang ekonomiya ay may pinagsasaluhang pag-aari at ganap na kontrol ng estado sa produksyon at distribusyon, na kabaligtaran ng sistemang malayang pamilihan ng U.S.",
11,Wrong_Answer_2,"merkantilistang ekonomiya, pyudal na ekonomiya",
11,Wrong_Rationale_2,"Ang merkantilismo ay isang patakarang Europeo noong ika-16 hanggang ika-18 siglo kung saan kontrolado ng estado ang kalakalan upang mag-ipon ng yaman, na iba sa malayang kalakalan ng U.S. Ang pyudal na ekonomiya ay nakabatay sa pagmamay-ari ng lupa at obligasyong paggawa sa agrikultura, na lubhang naiiba sa modernong sistemang kapitalista.",
11,Wrong_Answer_3,"kontroladong ekonomiya, planadong ekonomiya",
11,Wrong_Rationale_3,"Ang kontroladong ekonomiya ay ganap na pinamamahalaan ng gobyerno, na nagpapasya kung ano ang ipoprodyus at ipapamahagi, na iba sa sistemang pinapagana ng merkado ng U.S. Ang planadong ekonomiya ay kinabibilangan ng sentralisadong pagpaplano ng gobyerno sa lahat ng gawaing pang-ekonomiya, na salungat sa sistemang U.S. kung saan ang pwersa ng merkado ang nagtatakda ng mga desisyong pang-ekonomiya.",
12,Question,"Ano ang ""rule of law""?",
12,Correct_Answer_1,Lahat ay dapat sumunod sa batas,
12,Correct_Rationale_1,"Ang rule of law ay ang prinsipyo na lahat ng tao ay nasasaklaw at may pananagutan sa ilalim ng batas, anuman ang kanilang katayuan.",
12,Correct_Answer_2,Ang mga pinuno ay dapat sumunod sa batas,
12,Correct_Rationale_2,"Ang mga pinuno ng gobyerno, kabilang ang Pangulo, ay nasasaklaw din ng rule of law.",
12,Correct_Answer_3,Walang sinuman ang nasa itaas ng batas,
12,Correct_Rationale_3,Ang pariralang ito ang pinakamahusay na nagbubuod sa pangunahing prinsipyo ng rule of law.,
12,Correct_Answer_4,Dapat sumunod ang gobyerno sa batas,
12,Correct_Rationale_4,Ang gobyerno mismo ay nasasaklaw ng batas at hindi maaaring kumilos lampas sa legal nitong awtoridad.,
12,Wrong_Answer_1,"Laging nagbabago ang mga batas, ang Pangulo ang gumagawa ng batas, lahat ng batas ay patas",
12,Wrong_Rationale_1,"Bagama't maaaring magbago ang mga batas, hindi ito ang kahulugan ng rule of law. Ang Kongreso ang gumagawa ng batas at ang Pangulo ang nagpapatupad nito. Ito ay ang prinsipyo ng paghihiwalay ng kapangyarihan. Nilalayon ng rule of law ang katarungan, ngunit hindi nito ginagarantiya na lahat ng batas ay ganap na patas.",
12,Wrong_Answer_2,"Tanging mga mamamayan lamang ang sumusunod sa batas, iba ang aplikasyon ng batas sa mayayaman, exempted ang mga opisyal ng gobyerno sa batas",
12,Wrong_Rationale_2,"Ang mga pahayag na ito ay salungat sa rule of law, na nangangailangan na lahat ng tao, anuman ang katayuan o yaman, ay sakop ng parehong batas.",
12,Wrong_Answer_3,"Ang mga batas ay mungkahi lamang, maaaring pumili ang mga tao kung alin ang susundin, ang mga batas ay naaangkop lamang sa panahon ng emerhensiya",
12,Wrong_Rationale_3,"Ang mga pahayag na ito ay hindi nauunawaan ang obligadong katangian ng mga batas sa ilalim ng rule of law, kung saan ang mga batas ay sapilitan at naaangkop sa lahat sa lahat ng oras.",
13,Question,Magbanggit ng isang sangay o bahagi ng pamahalaan.,
13,Correct_Answer_1,Kongreso (lehislatura),
13,Correct_Rationale_1,Ang Kongreso ay ang sangay ng lehislatura na gumagawa ng mga batas.,
13,Correct_Answer_2,Pangulo (ehekutibo),
13,Correct_Rationale_2,Ang Pangulo ang pinuno ng sangay na ehekutibo na nagpapatupad ng mga batas.,
13,Correct_Answer_3,mga hukuman (hudisyal),
13,Correct_Rationale_3,Ang mga hukuman ay ang sangay hudisyal na nagpapaliwanag at nagpapatupad ng mga batas.,
13,Wrong_Answer_1,"ang mga estado, militar, pulis",
13,Wrong_Rationale_1,"Ang mga estado ay mahalagang bahagi ng sistemang pederal, ngunit hindi kabilang sa tatlong sangay ng pamahalaang pederal. Ang militar ay isang mahalagang institusyon na kontrolado ng sangay na ehekutibo, ngunit hindi ito isang hiwalay na sangay ng pamahalaan. Ang pulis ay mga ahensya ng pagpapatupad ng batas na karaniwang nasa ilalim ng pamahalaang estado o lokal.",
13,Wrong_Answer_2,"ang Gabinete, Senado, Kapulungan",
13,Wrong_Rationale_2,"Ang Gabinete ay bahagi ng sangay ehekutibo, habang ang Senado at Kapulungan ay parehong bahagi ng sangay lehislatibo, at hindi hiwalay na mga sangay.",
13,Wrong_Answer_3,"ang FBI, CIA, Korte Suprema",
13,Wrong_Rationale_3,"Ang FBI at CIA ay mga ahensya sa loob ng sangay ehekutibo, habang ang Korte Suprema ay bahagi ng sangay hudisyal, at hindi mga hiwalay na sangay ng pamahalaan.",
14,Question,Ano ang pumipigil sa isang sangay ng gobyerno na maging masyadong makapangyarihan?,
14,Correct_Answer_1,checks and balances,
14,Correct_Rationale_1,Ito ang sistemang kung saan maaaring suriin at limitahan ng bawat sangay ang kapangyarihan ng iba.,
14,Correct_Answer_2,paghihiwalay ng kapangyarihan,
14,Correct_Rationale_2,"Ito ang prinsipyo ng paghahati ng kapangyarihan ng pamahalaan sa lehislatibo, ehekutibo, at hudikatura.",
14,Wrong_Answer_1,"ang batas ng batas, pederalismo",
14,Wrong_Rationale_1,"Ang batas ng batas ay tumutulong na pigilan ang pang-aabuso ng kapangyarihan ngunit hindi ito ang partikular na sistemang pumipigil sa isang sangay na maging masyadong makapangyarihan. Ang pederalismo ay ang prinsipyo ng paghahati ng kapangyarihan sa pagitan ng pederal at ng mga pamahalaang estado, hindi sa pagitan ng tatlong sangay ng gobyerno. Wala sa mga ito ang direktang tumutukoy sa mekanismong konstitusyonal upang pigilan ang isang sangay na mangibabaw sa iba.",
14,Wrong_Answer_2,"limitasyon sa termino, halalan",
14,Wrong_Rationale_2,"Ang limitasyon sa termino at halalan ay mga mekanismong demokratiko na maaaring maglimita sa kapangyarihan ng gobyerno at magbigay ng pananagutan, ngunit hindi ito ang sistemang konstitusyonal na partikular na idinisenyo upang pigilan ang anumang sangay ng gobyerno na maging masyadong makapangyarihan sa pamamagitan ng kapwa pagsubaybay at pagpipigil.",
14,Wrong_Answer_3,"ang Bill of Rights, impeachment",
14,Wrong_Rationale_3,"Ang Bill of Rights ay nagpoprotekta ng mga kalayaang indibidwal mula sa pang-aabuso ng gobyerno ngunit hindi nito direktang tinutugunan ang balanse ng kapangyarihan sa pagitan ng mga sangay. Ang impeachment ay isang partikular na mekanismo para tanggalin ang mga opisyal dahil sa maling asal, ngunit hindi ito ang mas malawak na sistema na pumipigil sa dominasyon ng isang sangay sa pamamagitan ng patuloy na kapwa pagsusuri.",
15,Question,Sino ang namumuno sa sangay na ehekutibo?,
15,Correct_Answer_1,ang Pangulo,
15,Correct_Rationale_1,Ang Pangulo ang pinuno ng sangay na ehekutibo.,
15,Wrong_Answer_1,ang Tagapagsalita ng Kapulungan,
15,Wrong_Rationale_1,Ang Tagapagsalita ng Kapulungan ay pinuno ng Kapulungan ng mga Kinatawan na nasa sangay na lehislatibo.,
15,Wrong_Answer_2,ang Punong Mahistrado,
15,Wrong_Rationale_2,Ang Punong Mahistrado ay pinuno ng Korte Suprema na nasa sangay na hudisyal.,
15,Wrong_Answer_3,ang Kalihim ng Estado,
15,Wrong_Rationale_3,"Ang Kalihim ng Estado ay isang mataas na opisyal ng gabinete sa sangay na ehekutibo, ngunit hindi ang pinuno ng buong sangay.",
16,Question,Sino ang gumagawa ng mga pederal na batas?,
16,Correct_Answer_1,ang Kongreso,
16,Correct_Rationale_1,Ang mga batas pederal ay ginagawa ng Kongreso (ang Senado at Kapulungan ng mga Kinatawan).,
16,Correct_Answer_2,Senado at Kapulungan (ng mga Kinatawan),
16,Correct_Rationale_2,"Binubuo ang Kongreso ng Senado at Kapulungan ng mga Kinatawan, na magkasamang gumagawa ng mga batas pederal.",
16,Correct_Answer_3,lehislatura (U.S. o pambansa),
16,Correct_Rationale_3,"Ang lehislatura ng U.S., na siyang Kongreso, ay may konstitusyonal na kapangyarihang gumawa ng mga batas pederal.",
16,Wrong_Answer_1,ang Pangulo,
16,Wrong_Rationale_1,"Nilalagdaan ng Pangulo ang mga panukalang batas na ipinasa ng Kongreso upang maging batas, ngunit hindi siya ang lumilikha ng mga batas.",
16,Wrong_Answer_2,ang Korte Suprema,
16,Wrong_Rationale_2,"Ang Korte Suprema ay nagpapaliwanag ng mga batas at nagpapasya kung ito ay naaayon sa konstitusyon, ngunit hindi ito ang gumagawa ng mga batas.",
16,Wrong_Answer_3,ang lehislatura ng estado,
16,Wrong_Rationale_3,"Ang mga lehislatura ng estado ay gumagawa ng mga batas pang-estado, hindi ng mga batas pederal.",
17,Question,Ano ang dalawang bahagi ng Kongreso ng U.S.?,
17,Correct_Answer_1,ang Senado at Kapulungan (ng mga Kinatawan),
17,Correct_Rationale_1,Ang Kongreso ng U.S. ay isang bikameral na lehislatura na binubuo ng Senado at Kapulungan.,
17,Wrong_Answer_1,ang Pangulo at Gabinete,
17,Wrong_Rationale_1,Ito ay naglalarawan sa sangay ehekutibo.,
17,Wrong_Answer_2,ang pederal at panlalawigang korte,
17,Wrong_Rationale_2,Ito ay naglalarawan ng estruktura ng hudikatura.,
17,Wrong_Answer_3,ang Partidong Demokratiko at Republikano,
17,Wrong_Rationale_3,Ito ang mga pangunahing partidong pampulitika sa U.S.,
18,Question,Ilang senador ang mayroon sa U.S.?,
18,Correct_Answer_1,Isang daan (100),
18,Correct_Rationale_1,"May dalawang senador mula sa bawat isa sa 50 estado, kabuuang 100.",
18,Wrong_Answer_1,Apat na raan tatlumpu’t lima (435),
18,Wrong_Rationale_1,435 ang bilang ng mga kasapi sa Kapulungan ng mga Kinatawan.,
18,Wrong_Answer_2,Limampu (50),
18,Wrong_Rationale_2,50 ang bilang ng mga estado sa U.S.,
18,Wrong_Answer_3,Siyam (9),
18,Wrong_Rationale_3,Siyam ang bilang ng mga mahistrado sa Kataas-taasang Hukuman.,
19,Question,Ilang taon natin inihahalal ang isang senador ng U.S.?,
19,Correct_Answer_1,Anim (6),
19,Correct_Rationale_1,Ang termino para sa isang senador ng U.S. ay anim na taon.,
19,Wrong_Answer_1,Dalawa (2),
19,Wrong_Rationale_1,Dalawang taon ang termino para sa isang miyembro ng Kapulungan ng mga Kinatawan.,
19,Wrong_Answer_2,Apat (4),
19,Wrong_Rationale_2,Apat na taon ang termino ng Pangulo.,
19,Wrong_Answer_3,Walo (8),
19,Wrong_Rationale_3,"Maaaring magsilbi ang isang Pangulo nang maximum na dalawang termino, o walong taon, ngunit iba ito sa termino ng isang senador.",
20,Question,Sino ang isa sa mga kasalukuyang U.S. Senator ng iyong estado?,
20,Correct_Answer_1,Maaaring mag-iba ang mga sagot,
20,Correct_Rationale_1,Ang sagot sa tanong na ito ay nakadepende sa estado kung saan ka nakatira. Dapat mong tingnan ang senate.gov.,
20,Wrong_Answer_1,Ang pangalan ng Gobernador,
20,Wrong_Rationale_1,"Ang Gobernador ang pinuno ng sangay ehekutibo ng estado, hindi isang pederal na Senador.",
20,Wrong_Answer_2,Ang pangalan ng Kinatawan,
20,Wrong_Rationale_2,"Ang Kinatawan ay miyembro ng Kapulungan ng mga Kinatawan, na iba sa Senador.",
20,Wrong_Answer_3,Ang pangalan ng Pangulo,
20,Wrong_Rationale_3,Ang Pangulo ang pinuno ng sangay ehekutibo ng pederal na pamahalaan.,
21,Question,Ilang miyembro ng Kapulungan ng mga Kinatawan ang may karapatang bumoto?,
21,Correct_Answer_1,Apat na raan tatlumpu't lima (435),
21,Correct_Rationale_1,Ang bilang ng mga kinatawan ay nakabatay sa populasyon ng bawat estado.,
21,Wrong_Answer_1,Isang daan (100),
21,Wrong_Rationale_1,100 ang bilang ng mga senador.,
21,Wrong_Answer_2,Limampu (50),
21,Wrong_Rationale_2,50 ang bilang ng mga estado.,
21,Wrong_Answer_3,Limang daan tatlumpu't walo (538),
21,Wrong_Rationale_3,538 ang kabuuang bilang ng mga elektor sa Electoral College.,
22,Question,Ilang taon nating inihahalal ang isang Kinatawan ng U.S.?,
22,Correct_Answer_1,Dalawa (2),
22,Correct_Rationale_1,Ang termino para sa isang Kinatawan ng U.S. ay dalawang taon.,
22,Wrong_Answer_1,Apat (4),
22,Wrong_Rationale_1,Apat na taon ang termino ng Pangulo.,
22,Wrong_Answer_2,Anim (6),
22,Wrong_Rationale_2,Anim na taon ang termino ng isang Senador.,
22,Wrong_Answer_3,Habambuhay,
22,Wrong_Rationale_3,"Ang mga mahistrado ng Korte Suprema ay nagsisilbi habambuhay, ngunit ang mga Kinatawan ay halal na opisyal.",
23,Question,Sabihin ang pangalan ng iyong Kinatawan sa U.S.,
23,Correct_Answer_1,Magkakaiba ang mga sagot,
23,Correct_Rationale_1,Ang sagot sa tanong na ito ay nakadepende sa iyong distrito sa kongreso. Dapat mong tingnan ang house.gov.,
23,Wrong_Answer_1,Ang pangalan ng Senador,
23,Wrong_Rationale_1,Ang isang Senador ay kumakatawan sa buong estado at naiiba sa isang Kinatawan para sa isang partikular na distrito.,
23,Wrong_Answer_2,Ang pangalan ng Gobernador,
23,Wrong_Rationale_2,Ang Gobernador ang pinuno ng sangay ehekutibo ng estado.,
23,Wrong_Answer_3,Ang pangalan ng Alkalde,
23,Wrong_Rationale_3,Ang Alkalde ang pinuno ng pamahalaan ng lungsod.,
24,Question,Sino ang kinakatawan ng isang Senador ng U.S.?,
24,Correct_Answer_1,lahat ng tao sa estado,
24,Correct_Rationale_1,"Ang mga Senador ay kumakatawan sa mga interes ng buong estado nila, hindi lang isang partikular na distrito.",
24,Wrong_Answer_1,tanging kanilang partidong pampulitika,
24,Wrong_Rationale_1,"Kahit na kabilang sila sa isang partidong pampulitika, legal na obligasyon ng mga Senador na katawanin ang lahat ng tao sa kanilang estado.",
24,Wrong_Answer_2,tanging lungsod na tinitirhan nila,
24,Wrong_Rationale_2,"Ang mga Senador ay kumakatawan sa buong estado, hindi lamang sa isang lungsod.",
24,Wrong_Answer_3,ang Pangulo,
24,Wrong_Rationale_3,"Bilang bahagi ng sangay na pambatas, tinitiyak ng mga Senador ang pagsusuri sa Pangulo, na namumuno sa sangay na ehekutibo.",
25,Question,Bakit may mas maraming kinatawan ang ilang estado kaysa sa iba?,
25,Correct_Answer_1,(dahil sa) populasyon ng estado,
25,Correct_Rationale_1,"Ang bilang ng mga kinatawan ay itinatakda batay sa populasyon ng bawat estado, ayon sa census tuwing 10 taon.",
25,Correct_Answer_2,(dahil) mas marami silang tao,
25,Correct_Rationale_2,Ang mga estadong may mas malaking populasyon ay may mas maraming kinatawan sa Kapulungan.,
25,Correct_Answer_3,(dahil) mas maraming tao sa ilang estado,
25,Correct_Rationale_3,Ang bilang ng mga kinatawan ay direktang nauugnay sa dami ng taong nakatira sa bawat estado.,
25,Wrong_Answer_1,(dahil sa) lawak ng lupa ng estado,
25,Wrong_Rationale_1,"Ang bilang ng mga kinatawan ay batay sa populasyon, hindi sa pisikal na laki ng estado.",
