ID,DataName,fr,
6,Wrong_Answer_2,"le droit à un procès devant un jury, le droit de ne pas s'auto-incriminer, le droit à un avocat, le droit à un procès rapide, le droit de confronter les témoins",
6,Wrong_Rationale_2,"Tous ces droits sont garantis par les 6e, 7e et 8e Amendements liés à la justice pénale et aux procédures judiciaires, et non par le Premier Amendement qui se concentre sur les libertés fondamentales d'expression et de croyance.",
6,Wrong_Answer_3,"le droit de voyager entre les États, le droit de se marier, le droit au travail, le droit à l'éducation, le droit aux soins de santé",
6,Wrong_Rationale_3,"Le voyage interétatique est implicite dans la Constitution mais pas dans le Premier Amendement. Les droits au mariage sont dérivés de diverses interprétations judiciaires. Les droits au travail, à l'éducation et aux soins de santé ne sont pas explicitement garantis par la Constitution et certainement pas par le Premier Amendement.",
7,Question,Combien d'amendements la Constitution comporte-t-elle ?,
7,Correct_Answer_1,Vingt-sept (27),
7,Correct_Rationale_1,"Après la Déclaration des droits en 1791, 17 autres ont été ajoutés, pour un total de 27.",
7,Wrong_Answer_1,Dix (10),
7,Wrong_Rationale_1,Dix est le nombre d'amendements dans la Déclaration des droits.,
7,Wrong_Answer_2,Cinquante (50),
7,Wrong_Rationale_2,Cinquante est le nombre d'États aux États-Unis.,
7,Wrong_Answer_3,Treize (13),
7,Wrong_Rationale_3,Treize est le nombre de colonies originales (États) lors de la fondation des États-Unis.,
8,Question,Qu'a fait la Déclaration d'indépendance ?,
8,Correct_Answer_1,a annoncé notre indépendance (de la Grande-Bretagne),
8,Correct_Rationale_1,Elle a annoncé au monde que les colonies n'étaient plus sous domination britannique.,
8,Correct_Answer_2,a déclaré notre indépendance (de la Grande-Bretagne),
8,Correct_Rationale_2,La Déclaration a formellement déclaré l'indépendance des colonies de la domination britannique.,
8,Correct_Answer_3,a dit que les États-Unis sont libres (de la Grande-Bretagne),
8,Correct_Rationale_3,La Déclaration a déclaré que les États-Unis étaient une nation libre et indépendante.,
8,Wrong_Answer_1,a donné aux femmes le droit de vote,
8,Wrong_Rationale_1,"Le droit de vote des femmes a été accordé par le 19e amendement, ratifié en 1920.",
8,Wrong_Answer_2,a libéré les esclaves,
8,Wrong_Rationale_2,Les esclaves ont été libérés par la Proclamation d'émancipation de Lincoln en 1863 et plus tard par le 13e amendement.,
8,Wrong_Answer_3,a créé la Constitution,
8,Wrong_Rationale_3,"La Constitution a été créée plus tard, lors de la Convention constitutionnelle de 1787.",
9,Question,Quels sont deux droits dans la Déclaration d'indépendance ?,
9,Correct_Answer_1,la vie,
9,Correct_Rationale_1,La vie est l'un des trois droits inaliénables énoncés dans la Déclaration d'indépendance.,
9,Correct_Answer_2,la liberté,
9,Correct_Rationale_2,La liberté est l'un des trois droits inaliénables énoncés dans la Déclaration d'indépendance.,
9,Correct_Answer_3,la poursuite du bonheur,
9,Correct_Rationale_3,La poursuite du bonheur est l'un des trois droits inaliénables énoncés dans la Déclaration d'indépendance.,
9,Wrong_Answer_1,la liberté d'expression et de religion,
9,Wrong_Rationale_1,La liberté d'expression et de religion sont des droits énoncés dans la Déclaration des droits (le Premier Amendement).,
9,Wrong_Answer_2,le droit de voter et de se présenter à une élection,
9,Wrong_Rationale_2,"Ce sont des droits importants pour les citoyens américains, mais ils sont définis par la Constitution, pas par la Déclaration d'indépendance.",
9,Wrong_Answer_3,le droit de posséder des biens et à l'éducation,
9,Wrong_Rationale_3,"Ce sont des droits importants, mais ce ne sont pas les trois droits inaliénables fondamentaux mentionnés dans la Déclaration.",
10,Question,Qu'est-ce que la liberté de religion ?,
10,Correct_Answer_1,Vous pouvez pratiquer n'importe quelle religion ou ne pratiquer aucune religion,
10,Correct_Rationale_1,"Les États-Unis n'ont pas de religion d'État, et le gouvernement ne peut pas interférer avec le choix d'un individu.",
10,Wrong_Answer_1,Vous ne pouvez pratiquer que le christianisme,
10,Wrong_Rationale_1,Les États-Unis n'ont pas de religion officielle et garantissent la liberté pour toutes les religions ou aucune.,
10,Wrong_Answer_2,Vous devez pratiquer une religion approuvée par le gouvernement,
10,Wrong_Rationale_2,C'est incorrect ; l'approbation du gouvernement n'est pas nécessaire et violerait le principe de la liberté religieuse.,
10,Wrong_Answer_3,Vous devez payer une taxe sur vos activités religieuses,
10,Wrong_Rationale_3,"Les activités religieuses sont généralement exonérées d'impôt, car les taxer pourrait restreindre la liberté religieuse.",
11,Question,Quel est le système économique aux États-Unis ?,
11,Correct_Answer_1,économie capitaliste,
11,Correct_Rationale_1,"Les États-Unis fonctionnent sous une économie capitaliste, fondée sur la propriété privée et les marchés libres.",
11,Correct_Answer_2,économie de marché,
11,Correct_Rationale_2,"Une économie de marché, où les prix sont déterminés par l'offre et la demande, décrit également le système économique des États-Unis.",
11,Wrong_Answer_1,"économie socialiste, économie communiste",
11,Wrong_Rationale_1,"Une économie socialiste implique la propriété étatique ou communautaire des moyens de production, ce qui diffère du modèle américain de propriété privée. Une économie communiste se caractérise par la propriété partagée et le contrôle total de l'État sur la production et la distribution, ce qui est l'opposé du système de libre marché américain.",
11,Wrong_Answer_2,"économie mercantiliste, économie féodale",
11,Wrong_Rationale_2,"Le mercantilisme était une politique européenne des XVIe-XVIIIe siècles où l'État contrôlait le commerce pour accumuler des richesses, contrairement à l'approche américaine de libre-échange. Une économie féodale reposait sur la propriété foncière et les obligations de travail agricole, ce qui est fondamentalement différent des systèmes capitalistes modernes.",
11,Wrong_Answer_3,"économie dirigée, économie planifiée",
11,Wrong_Rationale_3,"Une économie dirigée est entièrement contrôlée par le gouvernement, qui décide quoi produire et distribuer, contrairement au système américain axé sur le marché. Une économie planifiée implique une planification centrale de toute l'activité économique par le gouvernement, ce qui contraste avec le système américain où les forces du marché déterminent les décisions économiques.",
12,Question,"Qu'est-ce que ""l'État de droit"" ?",
12,Correct_Answer_1,Tout le monde doit obéir à la loi,
12,Correct_Rationale_1,"L'État de droit est le principe selon lequel toutes les personnes sont soumises à la loi et responsables en vertu de celle-ci, quel que soit leur statut.",
12,Correct_Answer_2,Les dirigeants doivent obéir à la loi,
12,Correct_Rationale_2,"Les dirigeants du gouvernement, y compris le président, sont également soumis à l'État de droit.",
12,Correct_Answer_3,Nul n'est au-dessus de la loi,
12,Correct_Rationale_3,Cette phrase résume le mieux le principe fondamental de l'État de droit.,
12,Correct_Answer_4,Le gouvernement doit obéir à la loi,
12,Correct_Rationale_4,Le gouvernement lui-même est également lié par la loi et ne peut pas agir en dehors de son autorité légale.,
12,Wrong_Answer_1,"Les lois changent toujours, le président fait la loi, toutes les lois sont justes",
12,Wrong_Rationale_1,"Bien que les lois puissent changer, ce n'est pas la définition de l'État de droit. Le Congrès fait la loi et le président l'exécute. C'est le principe de séparation des pouvoirs. L'État de droit vise l'équité, mais ne garantit pas que chaque loi soit parfaitement juste.",
12,Wrong_Answer_2,"Seuls les citoyens respectent les lois, les lois s'appliquent différemment aux riches, les fonctionnaires sont exemptés des lois",
12,Wrong_Rationale_2,"Ces affirmations contredisent l'État de droit, qui exige que toutes les personnes, quel que soit leur statut ou leur richesse, soient soumises aux mêmes lois.",
12,Wrong_Answer_3,"Les lois sont des suggestions, les gens peuvent choisir quelles lois suivre, les lois ne s'appliquent qu'en cas d'urgence",
12,Wrong_Rationale_3,"Ces affirmations méconnaissent la nature contraignante des lois dans le cadre du principe de l'État de droit, où les lois sont obligatoires et s'appliquent à tous en tout temps.",
13,Question,Nommez une branche ou une partie du gouvernement.,
13,Correct_Answer_1,Congrès (législatif),
13,Correct_Rationale_1,"Le Congrès est la branche législative, qui fait les lois.",
13,Correct_Answer_2,Président (exécutif),
13,Correct_Rationale_2,"Le Président est le chef de la branche exécutive, qui applique les lois.",
13,Correct_Answer_3,les tribunaux (judiciaire),
13,Correct_Rationale_3,"Les tribunaux sont la branche judiciaire, qui interprète et applique les lois.",
13,Wrong_Answer_1,"les États, l’armée, la police",
13,Wrong_Rationale_1,"Les États sont une partie essentielle du système fédéral, mais pas l’une des trois branches du gouvernement fédéral. L’armée est une institution vitale contrôlée par la branche exécutive, mais elle n’est pas une branche distincte du gouvernement. La police est composée d’agences d’application de la loi, généralement sous l’autorité des gouvernements des États ou locaux.",
13,Wrong_Answer_2,"le Cabinet, le Sénat, la Chambre",
13,Wrong_Rationale_2,"Le Cabinet fait partie de la branche exécutive, tandis que le Sénat et la Chambre font partie de la branche législative, et ne sont pas des branches séparées.",
13,Wrong_Answer_3,"le FBI, la CIA, la Cour suprême",
13,Wrong_Rationale_3,"Le FBI et la CIA sont des agences au sein de la branche exécutive, tandis que la Cour suprême fait partie de la branche judiciaire, et non des branches distinctes du gouvernement.",
14,Question,Qu'est-ce qui empêche un pouvoir du gouvernement de devenir trop puissant ?,
14,Correct_Answer_1,freins et contrepoids,
14,Correct_Rationale_1,C'est le système dans lequel chaque pouvoir peut examiner et limiter les pouvoirs des autres.,
14,Correct_Answer_2,séparation des pouvoirs,
14,Correct_Rationale_2,"C'est le principe de la répartition du pouvoir gouvernemental entre les pouvoirs législatif, exécutif et judiciaire.",
14,Wrong_Answer_1,"l'État de droit, le fédéralisme",
14,Wrong_Rationale_1,"L'État de droit aide à prévenir les abus de pouvoir mais n'est pas le système spécifique qui empêche un pouvoir de devenir trop puissant. Le fédéralisme est le principe de partage du pouvoir entre le gouvernement fédéral et les États, et non entre les trois pouvoirs du gouvernement. Aucun ne traite directement du mécanisme constitutionnel pour empêcher un seul pouvoir de dominer les autres.",
14,Wrong_Answer_2,"limitation de mandat, élections",
14,Wrong_Rationale_2,"Les limitations de mandat et les élections sont des mécanismes démocratiques qui peuvent limiter le pouvoir du gouvernement et assurer la responsabilité, mais ce ne sont pas le système constitutionnel spécifiquement conçu pour empêcher un pouvoir de devenir trop puissant grâce à une surveillance et un contrôle mutuels.",
14,Wrong_Answer_3,"la Déclaration des droits, destitution",
14,Wrong_Rationale_3,"La Déclaration des droits protège les libertés individuelles contre les abus du gouvernement mais n'aborde pas directement l'équilibre des pouvoirs entre les branches. La destitution est un mécanisme spécifique pour révoquer des responsables pour faute, mais ce n'est pas le système plus large qui empêche la domination d'une branche grâce à des contrôles mutuels continus.",
15,Question,Qui est responsable de la branche exécutive ?,
15,Correct_Answer_1,le Président,
15,Correct_Rationale_1,Le Président est le chef de la branche exécutive.,
15,Wrong_Answer_1,le Président de la Chambre des représentants,
15,Wrong_Rationale_1,"Le Président de la Chambre des représentants est le chef de la Chambre des représentants, qui fait partie du pouvoir législatif.",
15,Wrong_Answer_2,le Juge en chef,
15,Wrong_Rationale_2,"Le Juge en chef est le chef de la Cour suprême, qui fait partie du pouvoir judiciaire.",
15,Wrong_Answer_3,le Secrétaire d'État,
15,Wrong_Rationale_3,"Le Secrétaire d'État est un membre de haut rang du cabinet dans la branche exécutive, mais pas le chef de toute la branche.",
16,Question,Qui fait les lois fédérales ?,
16,Correct_Answer_1,le Congrès,
16,Correct_Rationale_1,Les lois fédérales sont faites par le Congrès (le Sénat et la Chambre).,
16,Correct_Answer_2,le Sénat et la Chambre (des représentants),
16,Correct_Rationale_2,"Le Congrès se compose du Sénat et de la Chambre des représentants, qui ensemble font les lois fédérales.",
16,Correct_Answer_3,le pouvoir législatif (américain ou national),
16,Correct_Rationale_3,"Le pouvoir législatif des États-Unis, qui est le Congrès, a l'autorité constitutionnelle de faire des lois fédérales.",
16,Wrong_Answer_1,le Président,
16,Wrong_Rationale_1,"Le Président signe les projets de loi adoptés par le Congrès pour qu'ils deviennent des lois, mais il ne les crée pas.",
16,Wrong_Answer_2,la Cour suprême,
16,Wrong_Rationale_2,"La Cour suprême interprète les lois et décide si elles sont constitutionnelles, mais elle ne les crée pas.",
16,Wrong_Answer_3,la législature d'État,
16,Wrong_Rationale_3,"Les législatures des États font des lois des États, pas des lois fédérales.",
17,Question,Quelles sont les deux parties du Congrès des États-Unis ?,
17,Correct_Answer_1,le Sénat et la Chambre (des représentants),
17,Correct_Rationale_1,Le Congrès des États-Unis est une législature bicamérale composée du Sénat et de la Chambre.,
17,Wrong_Answer_1,le Président et le Cabinet,
17,Wrong_Rationale_1,Cela décrit le pouvoir exécutif.,
17,Wrong_Answer_2,les tribunaux fédéraux et d'État,
17,Wrong_Rationale_2,Cela décrit la structure du pouvoir judiciaire.,
17,Wrong_Answer_3,les partis démocrate et républicain,
17,Wrong_Rationale_3,Ce sont les principaux partis politiques aux États-Unis.,
18,Question,Combien y a-t-il de sénateurs aux États-Unis ?,
18,Correct_Answer_1,Cent (100),
18,Correct_Rationale_1,"Il y a deux sénateurs pour chacun des 50 États, soit un total de 100.",
18,Wrong_Answer_1,Quatre cent trente-cinq (435),
18,Wrong_Rationale_1,435 est le nombre de membres à la Chambre des représentants.,
18,Wrong_Answer_2,Cinquante (50),
18,Wrong_Rationale_2,50 est le nombre d'États aux États-Unis.,
18,Wrong_Answer_3,Neuf (9),
18,Wrong_Rationale_3,Neuf est le nombre de juges à la Cour suprême.,
19,Question,Pour combien d'années élisons-nous un sénateur des États-Unis ?,
19,Correct_Answer_1,Six (6),
19,Correct_Rationale_1,Le mandat d’un sénateur des États-Unis est de six ans.,
19,Wrong_Answer_1,Deux (2),
19,Wrong_Rationale_1,Deux ans est la durée du mandat d’un membre de la Chambre des représentants.,
19,Wrong_Answer_2,Quatre (4),
19,Wrong_Rationale_2,Quatre ans est la durée du mandat présidentiel.,
19,Wrong_Answer_3,Huit (8),
19,Wrong_Rationale_3,"Un président peut servir un maximum de deux mandats, soit huit ans, mais cela est différent du mandat d’un sénateur.",
20,Question,Qui est actuellement l’un des sénateurs américains de votre État ?,
20,Correct_Answer_1,Les réponses peuvent varier,
20,Correct_Rationale_1,La réponse à cette question dépend de l’État dans lequel vous vivez. Vous devriez vérifier sur senate.gov.,
20,Wrong_Answer_1,Le nom du gouverneur,
20,Wrong_Rationale_1,"Le gouverneur est le chef du pouvoir exécutif de l’État, pas un sénateur fédéral.",
20,Wrong_Answer_2,Le nom du représentant,
20,Wrong_Rationale_2,"Un représentant est un membre de la Chambre des représentants, ce qui est différent d’un sénateur.",
20,Wrong_Answer_3,Le nom du président,
20,Wrong_Rationale_3,Le président est le chef du pouvoir exécutif fédéral.,
21,Question,Combien de membres votants y a-t-il à la Chambre des représentants ?,
21,Correct_Answer_1,Quatre cent trente-cinq (435),
21,Correct_Rationale_1,Le nombre de représentants est basé sur la population de chaque État.,
21,Wrong_Answer_1,Cent (100),
21,Wrong_Rationale_1,100 est le nombre de sénateurs.,
21,Wrong_Answer_2,Cinquante (50),
21,Wrong_Rationale_2,50 est le nombre d'États.,
21,Wrong_Answer_3,Cinq cent trente-huit (538),
21,Wrong_Rationale_3,538 est le nombre total de grands électeurs dans le Collège électoral.,
22,Question,Pour combien d'années élisons-nous un représentant des États-Unis ?,
22,Correct_Answer_1,Deux (2),
22,Correct_Rationale_1,Le mandat d’un représentant des États-Unis est de deux ans.,
22,Wrong_Answer_1,Quatre (4),
22,Wrong_Rationale_1,Quatre ans est le mandat du président.,
22,Wrong_Answer_2,Six (6),
22,Wrong_Rationale_2,Six ans est le mandat d’un sénateur.,
22,Wrong_Answer_3,À vie,
22,Wrong_Rationale_3,"Les juges de la Cour suprême servent à vie, mais les représentants sont des fonctionnaires élus.",
23,Question,Indiquez le nom de votre représentant au Congrès des États-Unis.,
23,Correct_Answer_1,Les réponses varieront,
23,Correct_Rationale_1,La réponse à cette question dépend de votre district du Congrès. Vous devriez consulter house.gov.,
23,Wrong_Answer_1,Le nom du sénateur,
23,Wrong_Rationale_1,Un sénateur représente l’ensemble de l’État et est différent d’un représentant d’un district spécifique.,
23,Wrong_Answer_2,Le nom du gouverneur,
23,Wrong_Rationale_2,Le gouverneur est le chef du pouvoir exécutif de l’État.,
23,Wrong_Answer_3,Le nom du maire,
23,Wrong_Rationale_3,Le maire est le chef du gouvernement d’une ville.,
24,Question,Qui représente un sénateur des États-Unis ?,
24,Correct_Answer_1,toutes les personnes de l'État,
24,Correct_Rationale_1,"Les sénateurs représentent les intérêts de l’ensemble de leur État, pas seulement d’un district spécifique.",
24,Wrong_Answer_1,uniquement leur parti politique,
24,Wrong_Rationale_1,"Bien qu’ils appartiennent à un parti politique, les sénateurs sont légalement tenus de représenter tous les habitants de leur État.",
24,Wrong_Answer_2,uniquement la ville où ils vivent,
24,Wrong_Rationale_2,"Les sénateurs représentent tout l'État, pas seulement une ville.",
24,Wrong_Answer_3,le Président,
24,Wrong_Rationale_3,"En tant que membres du pouvoir législatif, les sénateurs contrôlent le Président, qui dirige le pouvoir exécutif.",
25,Question,Pourquoi certains États ont-ils plus de représentants que d'autres États ?,
25,Correct_Answer_1,(en raison de) la population de l'État,
25,Correct_Rationale_1,"Le nombre de représentants est réparti en fonction de la population de chaque État, déterminée par le recensement tous les 10 ans.",
25,Correct_Answer_2,(parce qu') ils ont plus de population,
25,Correct_Rationale_2,Les États avec des populations plus importantes obtiennent plus de représentants à la Chambre.,
25,Correct_Answer_3,(parce que) certains États ont plus de population,
25,Correct_Rationale_3,Le nombre de représentants est directement lié au nombre de personnes vivant dans chaque État.,
25,Wrong_Answer_1,(en raison de) la superficie terrestre de l'État,
25,Wrong_Rationale_1,"Le nombre de représentants est basé sur la population, pas sur la taille physique de l'État.",
25,Wrong_Answer_2,(en raison de) la richesse de l'État,
25,Wrong_Rationale_2,"La population, et non la puissance économique de l'État, est la norme.",
25,Wrong_Answer_3,en raison de la date de fondation de l'État,
25,Wrong_Rationale_3,L'ordre dans lequel un État a rejoint l'Union n'affecte pas son nombre de représentants.,
26,Question,Nous élisons un président pour combien d'années ?,
26,Correct_Answer_1,Quatre (4),
26,Correct_Rationale_1,Le mandat du président est de quatre ans.,
26,Wrong_Answer_1,Deux (2),
26,Wrong_Rationale_1,Deux ans est le mandat d'un membre de la Chambre des représentants.,
26,Wrong_Answer_2,Six (6),
26,Wrong_Rationale_2,Six ans est le mandat d'un sénateur.,
26,Wrong_Answer_3,Cinq (5),
26,Wrong_Rationale_3,Il n’existe pas de fonctions fédérales aux États-Unis avec un mandat de cinq ans.,
27,Question,Au cours de quel mois votons-nous pour le président ?,
27,Correct_Answer_1,novembre,
27,Correct_Rationale_1,"L'élection présidentielle américaine a lieu tous les quatre ans, le mardi suivant le premier lundi de novembre.",
27,Wrong_Answer_1,janvier,
27,Wrong_Rationale_1,Le nouveau président est investi en janvier.,
27,Wrong_Answer_2,juillet,
27,Wrong_Rationale_2,Le 4 juillet est la fête de l'Indépendance.,
27,Wrong_Answer_3,octobre,
27,Wrong_Rationale_3,Octobre est généralement une période de campagne intense et finale avant l'élection.,
28,Question,Quel est le nom du président des États-Unis actuellement ?,
28,Correct_Answer_1,Donald J. Trump,
28,Correct_Rationale_1,(En juillet 2025),
28,Wrong_Answer_1,JD Vance,
28,Wrong_Rationale_1,JD Vance est l’actuel vice-président.,
28,Wrong_Answer_2,Mike Johnson,
28,Wrong_Rationale_2,Mike Johnson est l’actuel président de la Chambre des représentants.,
28,Wrong_Answer_3,Joe Biden,
28,Wrong_Rationale_3,Joe Biden est l’ancien président.,
29,Question,Quel est le nom du vice-président des États-Unis actuellement ?,
29,Correct_Answer_1,JD Vance,
29,Correct_Rationale_1,(En juillet 2025),
29,Wrong_Answer_1,Donald J. Trump,
29,Wrong_Rationale_1,Donald J. Trump est l’actuel président.,
29,Wrong_Answer_2,Kamala Harris,
29,Wrong_Rationale_2,Kamala Harris est l’ancienne vice-présidente.,
29,Wrong_Answer_3,John Roberts,
29,Wrong_Rationale_3,John Roberts est l’actuel président de la Cour suprême.,
30,Question,"Si le président ne peut plus exercer ses fonctions, qui devient président ?",
30,Correct_Answer_1,le vice-président,
30,Correct_Rationale_1,Le vice-président accède à la présidence si le président ne peut plus exercer ses fonctions.,
30,Wrong_Answer_1,le président de la Chambre des représentants,
30,Wrong_Rationale_1,Le président de la Chambre des représentants accède à la présidence seulement si le président et le vice-président ne peuvent plus exercer leurs fonctions.,
30,Wrong_Answer_2,le juge en chef,
30,Wrong_Rationale_2,Le juge en chef n'est pas dans la ligne de succession présidentielle.,
30,Wrong_Answer_3,le secrétaire d'État,
30,Wrong_Rationale_3,Le secrétaire d'État est le quatrième dans la ligne de succession présidentielle.,
31,Question,"Si le Président et le Vice-Président ne peuvent plus servir, qui devient Président ?",
31,Correct_Answer_1,le Président de la Chambre des représentants,
31,Correct_Rationale_1,Le Président de la Chambre des représentants est troisième dans la ligne de succession présidentielle.,
31,Wrong_Answer_1,le Secrétaire d'État,
31,Wrong_Rationale_1,"Le Secrétaire d'État est quatrième dans la ligne de succession, après le Président de la Chambre des représentants.",
31,Wrong_Answer_2,le Président de la Cour suprême,
31,Wrong_Rationale_2,Le Président de la Cour suprême ne fait pas partie de la ligne de succession présidentielle.,
31,Wrong_Answer_3,le Président pro tempore du Sénat,
31,Wrong_Rationale_3,"Le Président pro tempore du Sénat est quatrième dans l'ordre, après le Président de la Chambre des représentants.",
32,Question,Qui est le commandant en chef de l'armée ?,
32,Correct_Answer_1,le Président,
32,Correct_Rationale_1,Le Président détient l'autorité suprême sur les forces armées des États-Unis en tant que commandant en chef.,
32,Wrong_Answer_1,le Secrétaire à la Défense,
32,Wrong_Rationale_1,"Le Secrétaire à la Défense est le chef civil du département de la Défense, agissant sous l'autorité du Président.",
32,Wrong_Answer_2,le Président des chefs d'état-major interarmées,
32,Wrong_Rationale_2,Le Président des chefs d'état-major interarmées est l'officier militaire le plus haut gradé et le principal conseiller militaire du Président.,
32,Wrong_Answer_3,le Vice-Président,
32,Wrong_Rationale_3,Le Vice-Président n'a pas d'autorité de commandement directe sur l'armée.,
33,Question,Qui signe les projets de loi pour qu'ils deviennent des lois ?,
33,Correct_Answer_1,le Président,
33,Correct_Rationale_1,Un projet de loi adopté par le Congrès doit être signé par le Président pour devenir loi.,
33,Wrong_Answer_1,le Président de la Chambre des représentants,
33,Wrong_Rationale_1,"Le Président de la Chambre dirige le processus pour qu’un projet de loi soit adopté par la Chambre, mais n’a pas l’autorité finale pour le signer en loi.",
33,Wrong_Answer_2,le Vice-président,
33,Wrong_Rationale_2,Le Vice-président peut voter pour départager au Sénat mais ne signe pas les projets de loi pour les transformer en lois.,
33,Wrong_Answer_3,le Juge en chef,
33,Wrong_Rationale_3,Le Juge en chef interprète les lois et ne participe pas au processus législatif.,
34,Question,Qui oppose son veto aux projets de loi ?,
34,Correct_Answer_1,le Président,
