ID,DataName,ar
15,Wrong_Rationale_1,"رئيس مجلس النواب هو قائد مجلس النواب، الذي ينتمي إلى الفرع التشريعي."
15,Wrong_Answer_2,رئيس المحكمة العليا
15,Wrong_Rationale_2,"رئيس المحكمة العليا هو رئيس المحكمة العليا، التي تنتمي إلى الفرع القضائي."
15,Wrong_Answer_3,وزير الخارجية
15,Wrong_Rationale_3,"وزير الخارجية هو عضو رفيع المستوى في مجلس الوزراء في الفرع التنفيذي، لكنه ليس رئيس الفرع بأكمله."
16,Question,من الذي يسن القوانين الفيدرالية؟
16,Correct_Answer_1,الكونغرس
16,Correct_Rationale_1,القوانين الفيدرالية يسنها الكونغرس (مجلس الشيوخ ومجلس النواب).
16,Correct_Answer_2,مجلس الشيوخ ومجلس النواب
16,Correct_Rationale_2,"يتكون الكونغرس من مجلس الشيوخ ومجلس النواب، اللذين يسنّان معًا القوانين الفيدرالية."
16,Correct_Answer_3,السلطة التشريعية (الأمريكية أو الوطنية)
16,Correct_Rationale_3,"السلطة التشريعية الأمريكية، وهي الكونغرس، لديها السلطة الدستورية لسن القوانين الفيدرالية."
16,Wrong_Answer_1,الرئيس
16,Wrong_Rationale_1,"الرئيس يوقع على مشاريع القوانين التي يقرها الكونغرس لتصبح قانونًا، لكنه لا يسن القوانين."
16,Wrong_Answer_2,المحكمة العليا
16,Wrong_Rationale_2,"المحكمة العليا تفسر القوانين وتقرر ما إذا كانت دستورية، لكنها لا تضعها."
16,Wrong_Answer_3,السلطة التشريعية للولاية
16,Wrong_Rationale_3,"الهيئات التشريعية للولايات تضع قوانين خاصة بالولايات، وليست قوانين فيدرالية."
17,Question,ما هما الجزآن في كونغرس الولايات المتحدة؟
17,Correct_Answer_1,مجلس الشيوخ ومجلس النواب
17,Correct_Rationale_1,"الكونغرس الأمريكي هو هيئة تشريعية ذات مجلسين، تتكون من مجلس الشيوخ ومجلس النواب."
17,Wrong_Answer_1,الرئيس ومجلس الوزراء
17,Wrong_Rationale_1,هذا يصف الفرع التنفيذي.
17,Wrong_Answer_2,المحاكم الفيدرالية ومحاكم الولايات
17,Wrong_Rationale_2,هذا يصف هيكل السلطة القضائية.
17,Wrong_Answer_3,الحزبان الديمقراطي والجمهوري
17,Wrong_Rationale_3,هذه هي الأحزاب السياسية الرئيسية في الولايات المتحدة.
18,Question,كم عدد أعضاء مجلس الشيوخ الأمريكي؟
18,Correct_Answer_1,مائة (100)
18,Correct_Rationale_1,"يوجد عضوان من مجلس الشيوخ من كل ولاية من الولايات الخمسين، ليصبح المجموع 100."
18,Wrong_Answer_1,أربعمائة وخمسة وثلاثون (435)
18,Wrong_Rationale_1,435 هو عدد الأعضاء في مجلس النواب.
18,Wrong_Answer_2,خمسون (50)
18,Wrong_Rationale_2,50 هو عدد الولايات في الولايات المتحدة.
18,Wrong_Answer_3,تسعة (9)
18,Wrong_Rationale_3,تسعة هو عدد القضاة في المحكمة العليا.
19,Question,ننتخب عضو مجلس الشيوخ الأمريكي لمدة كم سنة؟
19,Correct_Answer_1,ست (6)
19,Correct_Rationale_1,مدة ولاية عضو مجلس الشيوخ الأمريكي هي ست سنوات.
19,Wrong_Answer_1,سنتان (2)
19,Wrong_Rationale_1,مدة عضوية مجلس النواب هي سنتان.
19,Wrong_Answer_2,أربع (4)
19,Wrong_Rationale_2,مدة ولاية الرئيس هي أربع سنوات.
19,Wrong_Answer_3,ثمان (8)
19,Wrong_Rationale_3,"يمكن للرئيس أن يخدم فترتين كحد أقصى، أي ثماني سنوات، لكن هذا يختلف عن مدة ولاية عضو مجلس الشيوخ."
20,Question,من هو أحد أعضاء مجلس الشيوخ الأمريكي الحاليين في ولايتك؟
20,Correct_Answer_1,تختلف الإجابات
20,Correct_Rationale_1,تعتمد الإجابة على هذه السؤال على الولاية التي تعيش فيها. يجب عليك التحقق من senate.gov.
20,Wrong_Answer_1,اسم الحاكم
20,Wrong_Rationale_1,"الحاكم هو رئيس السلطة التنفيذية في الولاية، وليس سناتورًا فيدراليًا."
20,Wrong_Answer_2,اسم الممثل
20,Wrong_Rationale_2,"الممثل هو عضو في مجلس النواب، وهو يختلف عن السناتور."
20,Wrong_Answer_3,اسم الرئيس
20,Wrong_Rationale_3,الرئيس هو رئيس السلطة التنفيذية الفيدرالية.
21,Question,كم عدد الأعضاء الذين لهم حق التصويت في مجلس النواب؟
21,Correct_Answer_1,أربعمائة وخمسة وثلاثون (435)
21,Correct_Rationale_1,يعتمد عدد الممثلين على عدد سكان كل ولاية.
21,Wrong_Answer_1,مائة (100)
21,Wrong_Rationale_1,100 هو عدد أعضاء مجلس الشيوخ.
21,Wrong_Answer_2,خمسون (50)
21,Wrong_Rationale_2,50 هو عدد الولايات.
21,Wrong_Answer_3,خمسمائة وثمانية وثلاثون (538)
21,Wrong_Rationale_3,538 هو العدد الإجمالي للناخبين في المجمع الانتخابي.
22,Question,ننتخب ممثلًا في مجلس النواب الأمريكي لعدد كم من السنوات؟
22,Correct_Answer_1,سنتان (2)
22,Correct_Rationale_1,مدة ولاية ممثل مجلس النواب الأمريكي هي سنتان.
22,Wrong_Answer_1,أربع (4)
22,Wrong_Rationale_1,مدة الرئيس هي أربع سنوات.
22,Wrong_Answer_2,ست (6)
22,Wrong_Rationale_2,مدة ولاية عضو مجلس الشيوخ هي ست سنوات.
22,Wrong_Answer_3,مدى الحياة
22,Wrong_Rationale_3,"قضاة المحكمة العليا يخدمون مدى الحياة، لكن الممثلين هم مسؤولون منتخبون."
23,Question,اذكر اسم ممثلك في مجلس النواب الأمريكي.
23,Correct_Answer_1,ستختلف الإجابات
23,Correct_Rationale_1,تعتمد الإجابة على هذا السؤال على منطقتك في الكونغرس. يجب عليك مراجعة موقع house.gov.
23,Wrong_Answer_1,اسم عضو مجلس الشيوخ
23,Wrong_Rationale_1,عضو مجلس الشيوخ يمثل الولاية بأكملها ويختلف عن الممثل الذي يمثل منطقة محددة.
23,Wrong_Answer_2,اسم الحاكم
23,Wrong_Rationale_2,الحاكم هو رئيس الفرع التنفيذي للولاية.
23,Wrong_Answer_3,اسم العمدة
23,Wrong_Rationale_3,العمدة هو رئيس حكومة المدينة.
24,Question,من يمثل عضو مجلس الشيوخ الأمريكي؟
24,Correct_Answer_1,جميع سكان الولاية
24,Correct_Rationale_1,"يمثل أعضاء مجلس الشيوخ مصالح ولايتهم بالكامل، وليس مجرد منطقة محددة."
24,Wrong_Answer_1,فقط حزبهم السياسي
24,Wrong_Rationale_1,"رغم انتمائهم لحزب سياسي، فإن أعضاء مجلس الشيوخ ملزمون قانونياً بتمثيل جميع سكان ولايتهم."
24,Wrong_Answer_2,فقط المدينة التي يعيشون فيها
24,Wrong_Rationale_2,"يمثل أعضاء مجلس الشيوخ الولاية بأكملها، وليس مجرد مدينة واحدة."
24,Wrong_Answer_3,الرئيس
24,Wrong_Rationale_3,"كجزء من السلطة التشريعية، يقوم أعضاء مجلس الشيوخ بمراقبة الرئيس، الذي يرأس السلطة التنفيذية."
25,Question,لماذا تمتلك بعض الولايات عددًا أكبر من الممثلين مقارنةً بولايات أخرى؟
25,Correct_Answer_1,(بسبب) عدد سكان الولاية
25,Correct_Rationale_1,"يتم توزيع عدد الممثلين بناءً على عدد سكان كل ولاية، كما يحدده التعداد كل 10 سنوات."
25,Correct_Answer_2,(لأن) لديهم عدد أكبر من السكان
25,Correct_Rationale_2,الولايات التي لديها عدد سكان أكبر تحصل على المزيد من الممثلين في مجلس النواب.
25,Correct_Answer_3,(لأن) بعض الولايات لديها عدد أكبر من السكان
25,Correct_Rationale_3,عدد الممثلين مرتبط مباشرة بعدد الأشخاص الذين يعيشون في كل ولاية.
25,Wrong_Answer_1,(بسبب) مساحة أراضي الولاية
25,Wrong_Rationale_1,"عدد الممثلين يعتمد على عدد السكان، وليس على الحجم الجغرافي للولاية."
25,Wrong_Answer_2,(بسبب) ثروة الولاية
25,Wrong_Rationale_2,"عدد السكان، وليس القوة الاقتصادية للولاية، هو المعيار."
25,Wrong_Answer_3,بسبب تاريخ تأسيس الولاية
25,Wrong_Rationale_3,ترتيب انضمام الولاية إلى الاتحاد لا يؤثر على عدد ممثليها.
26,Question,ننتخب رئيسًا لعدد كم من السنوات؟
26,Correct_Answer_1,أربع (4)
26,Correct_Rationale_1,مدة ولاية الرئيس هي أربع سنوات.
26,Wrong_Answer_1,اثنان (2)
26,Wrong_Rationale_1,سنتان هي مدة ولاية عضو مجلس النواب.
26,Wrong_Answer_2,ستة (6)
26,Wrong_Rationale_2,ست سنوات هي مدة ولاية عضو مجلس الشيوخ.
26,Wrong_Answer_3,خمسة (5)
26,Wrong_Rationale_3,لا توجد مناصب فيدرالية في الولايات المتحدة مدتها خمس سنوات.
27,Question,في أي شهر نصوت للرئيس؟
27,Correct_Answer_1,نوفمبر
27,Correct_Rationale_1,تجرى الانتخابات الرئاسية الأمريكية كل أربع سنوات يوم الثلاثاء بعد أول يوم اثنين من شهر نوفمبر.
27,Wrong_Answer_1,يناير
27,Wrong_Rationale_1,يتم تنصيب الرئيس الجديد في يناير.
27,Wrong_Answer_2,يوليو
27,Wrong_Rationale_2,الرابع من يوليو هو يوم الاستقلال.
27,Wrong_Answer_3,أكتوبر
27,Wrong_Rationale_3,عادةً ما يكون أكتوبر وقتًا للحملات المكثفة في مرحلتها النهائية قبل الانتخابات.
28,Question,ما اسم رئيس الولايات المتحدة الحالي؟
28,Correct_Answer_1,دونالد ج. ترامب
28,Correct_Rationale_1,(اعتبارًا من يوليو 2025)
28,Wrong_Answer_1,جي دي فانس
28,Wrong_Rationale_1,جي دي فانس هو نائب الرئيس الحالي.
28,Wrong_Answer_2,مايك جونسون
28,Wrong_Rationale_2,مايك جونسون هو رئيس مجلس النواب الحالي.
28,Wrong_Answer_3,جو بايدن
28,Wrong_Rationale_3,جو بايدن هو الرئيس السابق.
29,Question,ما اسم نائب رئيس الولايات المتحدة الحالي؟
29,Correct_Answer_1,جي دي فانس
29,Correct_Rationale_1,(اعتبارًا من يوليو 2025)
29,Wrong_Answer_1,دونالد ج. ترامب
29,Wrong_Rationale_1,دونالد ج. ترامب هو الرئيس الحالي.
29,Wrong_Answer_2,كامالا هاريس
29,Wrong_Rationale_2,كامالا هاريس هي نائبة الرئيس السابقة.
29,Wrong_Answer_3,جون روبرتس
29,Wrong_Rationale_3,جون روبرتس هو الرئيس الحالي للمحكمة العليا.
30,Question,"إذا لم يعد الرئيس قادرًا على أداء مهامه، من يصبح رئيسًا؟"
30,Correct_Answer_1,نائب الرئيس
