ID,DataName,zh,
11,Correct_Rationale_1,美国实行以私有财产和自由市场为基础的资本主义经济。,
11,Correct_Answer_2,市场经济,
11,Correct_Rationale_2,市场经济，即价格由供需决定，也描述了美国的经济制度。,
11,Wrong_Answer_1,社会主义经济，共产主义经济,
11,Wrong_Rationale_1,社会主义经济包括国家或社区对生产资料的所有权，这与美国的私人所有制模式不同。共产主义经济则具有财产共有和国家对生产与分配的完全控制，这与美国的自由市场制度相反。,
11,Wrong_Answer_2,重商主义经济，封建经济,
11,Wrong_Rationale_2,重商主义是16至18世纪欧洲的一种政策，国家控制贸易以积累财富，这与美国的自由贸易方式不同。封建经济以土地所有权和农业劳动义务为基础，与现代资本主义制度有根本区别。,
11,Wrong_Answer_3,指令经济，计划经济,
11,Wrong_Rationale_3,指令经济由政府完全控制，决定生产和分配什么，这与美国的市场驱动型体系不同。计划经济涉及中央政府对所有经济活动的规划，这与美国由市场力量决定经济决策的体系形成对比。,
12,Question,什么是“法治原则”？,
12,Correct_Answer_1,人人必须遵守法律,
12,Correct_Rationale_1,法治原则是指所有人无论身份如何都受法律约束并对其负责。,
12,Correct_Answer_2,领导人必须遵守法律,
12,Correct_Rationale_2,包括总统在内的政府领导人也必须遵守法治原则。,
12,Correct_Answer_3,没有人凌驾于法律之上,
12,Correct_Rationale_3,这句话最好地概括了法治原则的核心思想。,
12,Correct_Answer_4,政府必须遵守法律,
12,Correct_Rationale_4,政府本身也受法律约束，不得超越法律权限行事。,
12,Wrong_Answer_1,法律总是在变化，总统制定法律，所有法律都是公平的,
12,Wrong_Rationale_1,虽然法律可以改变，但这不是法治的定义。国会制定法律，总统执行法律。这是权力分立的原则。法治追求公平，但不保证每一条法律都是完全公平的。,
12,Wrong_Answer_2,只有公民遵守法律，法律对富人适用不同，政府官员可豁免法律,
12,Wrong_Rationale_2,这些说法与法治原则相违背，法治要求所有人无论地位或财富如何都受同样的法律约束。,
12,Wrong_Answer_3,法律只是建议，人们可以选择遵守哪些法律，法律只在紧急情况下适用,
12,Wrong_Rationale_3,这些说法误解了法治原则下法律的约束性，本质上法律是强制性的，适用于所有人、在任何时候都有效。,
13,Question,说出政府的一个部门或部分。,
13,Correct_Answer_1,国会（立法部门）,
13,Correct_Rationale_1,国会是立法部门，负责制定法律。,
13,Correct_Answer_2,总统（行政部门）,
13,Correct_Rationale_2,总统是行政部门的首脑，负责执行法律。,
13,Correct_Answer_3,法院（司法部门）,
13,Correct_Rationale_3,法院是司法部门，负责解释和适用法律。,
13,Wrong_Answer_1,各州、军队、警察,
13,Wrong_Rationale_1,各州是联邦制度的重要组成部分，但不是联邦政府的三大部门之一。军队是由行政部门控制的重要机构，但并不是一个单独的政府部门。警察是执法机构，通常隶属于州或地方政府。,
13,Wrong_Answer_2,内阁、参议院、众议院,
13,Wrong_Rationale_2,内阁是行政部门的一部分，而参议院和众议院都是立法部门的一部分，并不是独立的部门。,
13,Wrong_Answer_3,联邦调查局、中情局、最高法院,
13,Wrong_Rationale_3,联邦调查局和中央情报局是行政部门下属机构，而最高法院是司法部门的一部分，并不是政府的独立部门。,
14,Question,什么可以防止政府的一个分支变得过于强大？,
14,Correct_Answer_1,制衡制度,
14,Correct_Rationale_1,这是一个每个部门都可以审查并限制其他部门权力的制度。,
14,Correct_Answer_2,三权分立,
14,Correct_Rationale_2,这是将政府权力分为立法、行政和司法三部分的原则。,
14,Wrong_Answer_1,法治，联邦制,
14,Wrong_Rationale_1,法治有助于防止权力滥用，但并不是防止一个分支变得过于强大的特定制度。联邦制是联邦政府与州政府之间的权力共享原则，而不是政府三权之间的原则。两者都没有直接涉及防止任何一个分支支配其他分支的宪法机制。,
14,Wrong_Answer_2,任期限制，选举,
14,Wrong_Rationale_2,任期限制和选举是可以限制政府权力并提供问责制的民主机制，但它们并不是专门通过相互监督和制衡来防止任何一个分支变得过于强大的宪法制度。,
14,Wrong_Answer_3,权利法案，弹劾,
14,Wrong_Rationale_3,《权利法案》保护个人自由免受政府滥用权力，但并不直接涉及三权之间的权力平衡。弹劾是一种针对官员不当行为的具体罢免机制，但它不是通过持续的相互制衡来防止某一分支主导的更广泛制度。,
15,Question,谁负责行政部门？,
15,Correct_Answer_1,总统,
15,Correct_Rationale_1,总统是行政部门的首脑。,
15,Wrong_Answer_1,众议院议长,
15,Wrong_Rationale_1,众议院议长是众议院的领导人，属于立法部门。,
15,Wrong_Answer_2,首席大法官,
15,Wrong_Rationale_2,首席大法官是最高法院的首脑，属于司法部门。,
15,Wrong_Answer_3,国务卿,
15,Wrong_Rationale_3,国务卿是行政部门的高级内阁成员，但不是整个部门的首脑。,
16,Question,谁制定联邦法律？,
16,Correct_Answer_1,国会,
16,Correct_Rationale_1,联邦法律由国会（参议院和众议院）制定。,
16,Correct_Answer_2,参议院和众议院,
16,Correct_Rationale_2,国会由参议院和众议院组成，他们共同制定联邦法律。,
16,Correct_Answer_3,（美国或国家）立法机构,
16,Correct_Rationale_3,美国的立法机构，即国会，拥有制定联邦法律的宪法权力。,
16,Wrong_Answer_1,总统,
16,Wrong_Rationale_1,总统将国会通过的法案签署成法律，但不制定法律。,
16,Wrong_Answer_2,最高法院,
16,Wrong_Rationale_2,最高法院解释法律并决定其是否符合宪法，但不制定法律。,
16,Wrong_Answer_3,州立法机构,
16,Wrong_Rationale_3,州立法机构制定州法律，而不是联邦法律。,
17,Question,美国国会的两部分是什么？,
17,Correct_Answer_1,参议院和众议院,
17,Correct_Rationale_1,美国国会是由参议院和众议院组成的两院制立法机构。,
17,Wrong_Answer_1,总统和内阁,
17,Wrong_Rationale_1,这是对行政部门的描述。,
17,Wrong_Answer_2,联邦法院和州法院,
17,Wrong_Rationale_2,这是对司法部门结构的描述。,
17,Wrong_Answer_3,民主党和共和党,
17,Wrong_Rationale_3,这些是美国的主要政党。,
18,Question,美国有多少名参议员？,
18,Correct_Answer_1,一百 (100),
18,Correct_Rationale_1,每个州有两名参议员，共50个州，总数为100。,
18,Wrong_Answer_1,四百三十五 (435),
18,Wrong_Rationale_1,435是众议院的议员人数。,
18,Wrong_Answer_2,五十 (50),
18,Wrong_Rationale_2,50是美国的州数。,
18,Wrong_Answer_3,九 (9),
18,Wrong_Rationale_3,九是最高法院的大法官人数。,
19,Question,我们选举一位美国参议员的任期是几年？,
19,Correct_Answer_1,六（6）,
19,Correct_Rationale_1,美国参议员的任期是六年。,
19,Wrong_Answer_1,二（2）,
19,Wrong_Rationale_1,两年是众议员的任期。,
19,Wrong_Answer_2,四（4）,
19,Wrong_Rationale_2,四年是总统的任期。,
19,Wrong_Answer_3,八（8）,
19,Wrong_Rationale_3,总统最多可任两届，即八年，但这与参议员的任期不同。,
20,Question,你所在州现任的美国参议员之一是谁？,
20,Correct_Answer_1,答案可能会有所不同,
20,Correct_Rationale_1,这个问题的答案取决于你居住的州。你应该查看 senate.gov。,
20,Wrong_Answer_1,州长的名字,
20,Wrong_Rationale_1,州长是州行政部门的首脑，而不是联邦参议员。,
20,Wrong_Answer_2,众议员的名字,
20,Wrong_Rationale_2,众议员是众议院的成员，与参议员不同。,
20,Wrong_Answer_3,总统的名字,
20,Wrong_Rationale_3,总统是联邦行政部门的首脑。,
21,Question,众议院有多少名有投票权的议员？,
21,Correct_Answer_1,四百三十五 (435),
21,Correct_Rationale_1,众议员人数取决于每个州的人口。,
21,Wrong_Answer_1,一百 (100),
21,Wrong_Rationale_1,100是参议员的人数。,
21,Wrong_Answer_2,五十 (50),
21,Wrong_Rationale_2,50是州的数量。,
21,Wrong_Answer_3,五百三十八 (538),
21,Wrong_Rationale_3,538是选举人团中的总选举人人数。,
22,Question,我们选举一名美国众议员的任期是几年？,
22,Correct_Answer_1,两年 (2),
22,Correct_Rationale_1,美国众议员的任期是两年。,
22,Wrong_Answer_1,四年 (4),
22,Wrong_Rationale_1,总统的任期是四年。,
22,Wrong_Answer_2,六年 (6),
22,Wrong_Rationale_2,参议员的任期是六年。,
22,Wrong_Answer_3,终身,
22,Wrong_Rationale_3,最高法院法官终身任职，但众议员是民选官员。,
23,Question,说出您在美国众议院的代表的名字。,
23,Correct_Answer_1,答案会有所不同,
23,Correct_Rationale_1,这个问题的答案取决于您所在的国会选区。您应查看 house.gov。,
23,Wrong_Answer_1,参议员的名字,
23,Wrong_Rationale_1,参议员代表整个州，与代表特定选区的众议员不同。,
23,Wrong_Answer_2,州长的名字,
23,Wrong_Rationale_2,州长是州行政部门的首脑。,
23,Wrong_Answer_3,市长的名字,
23,Wrong_Rationale_3,市长是市政府的首脑。,
24,Question,美国参议员代表谁？,
24,Correct_Answer_1,本州的所有人民,
24,Correct_Rationale_1,参议员代表整个州的利益，而不仅仅是某个特定选区。,
24,Wrong_Answer_1,仅代表他们的政党,
24,Wrong_Rationale_1,虽然他们属于某个政党，但参议员在法律上有义务代表本州的所有人民。,
24,Wrong_Answer_2,仅他们居住的城市,
24,Wrong_Rationale_2,参议员代表整个州，而不仅仅是一个城市。,
24,Wrong_Answer_3,总统,
24,Wrong_Rationale_3,作为立法机构的一部分，参议员对担任行政机构首脑的总统进行制衡。,
25,Question,为什么有些州的众议员比其他州多？,
25,Correct_Answer_1,（因为）该州的人口,
25,Correct_Rationale_1,众议员人数根据每个州的人口分配，由每十年一次的人口普查决定。,
25,Correct_Answer_2,（因为）他们人口更多,
25,Correct_Rationale_2,人口较多的州在众议院拥有更多代表。,
25,Correct_Answer_3,（因为）有些州人口更多,
25,Correct_Rationale_3,众议员人数与每个州居住的人口数直接相关。,
25,Wrong_Answer_1,（因为）该州的土地面积,
25,Wrong_Rationale_1,众议员人数取决于人口，而不是州的地理面积。,
25,Wrong_Answer_2,（因为）该州的财富,
25,Wrong_Rationale_2,标准是人口，而不是州的经济实力。,
25,Wrong_Answer_3,因为该州成立的时间,
25,Wrong_Rationale_3,一个州加入联邦的顺序不会影响它的众议员数量。,
26,Question,我们选举一位总统的任期是几年？,
26,Correct_Answer_1,四（4）,
26,Correct_Rationale_1,总统的任期是四年。,
26,Wrong_Answer_1,二（2）,
26,Wrong_Rationale_1,两年是众议院议员的任期。,
26,Wrong_Answer_2,六（6）,
26,Wrong_Rationale_2,六年是参议员的任期。,
26,Wrong_Answer_3,五（5）,
26,Wrong_Rationale_3,美国没有任期五年的联邦职位。,
27,Question,我们在哪个月投票选总统？,
27,Correct_Answer_1,十一月,
27,Correct_Rationale_1,美国总统选举每四年在十一月第一个星期一之后的星期二举行。,
27,Wrong_Answer_1,一月,
27,Wrong_Rationale_1,新总统在一月就职。,
27,Wrong_Answer_2,七月,
27,Wrong_Rationale_2,七月四日是独立日。,
27,Wrong_Answer_3,十月,
27,Wrong_Rationale_3,十月通常是选举前激烈的最后阶段竞选时期。,
28,Question,现在的美国总统叫什么名字？,
28,Correct_Answer_1,唐纳德·J·特朗普,
28,Correct_Rationale_1,（截至2025年7月）,
28,Wrong_Answer_1,杰·D·范斯,
28,Wrong_Rationale_1,杰·D·范斯是现任副总统。,
28,Wrong_Answer_2,迈克·约翰逊,
28,Wrong_Rationale_2,迈克·约翰逊是现任众议院议长。,
28,Wrong_Answer_3,乔·拜登,
28,Wrong_Rationale_3,乔·拜登是前任总统。,
29,Question,现在的美国副总统叫什么名字？,
29,Correct_Answer_1,杰·D·范斯,
29,Correct_Rationale_1,（截至2025年7月）,
29,Wrong_Answer_1,唐纳德·J·特朗普,
29,Wrong_Rationale_1,唐纳德·J·特朗普是现任总统。,
29,Wrong_Answer_2,卡马拉·哈里斯,
29,Wrong_Rationale_2,卡马拉·哈里斯是前任副总统。,
29,Wrong_Answer_3,约翰·罗伯茨,
29,Wrong_Rationale_3,约翰·罗伯茨是现任首席大法官。,
30,Question,如果总统不能继续履职，谁将成为总统？,
30,Correct_Answer_1,副总统,
30,Correct_Rationale_1,如果总统不能继续履职，副总统将继任总统职位。,
30,Wrong_Answer_1,众议院议长,
30,Wrong_Rationale_1,众议院议长只有在总统和副总统都不能履职时才会继任总统。,
30,Wrong_Answer_2,首席大法官,
30,Wrong_Rationale_2,首席大法官不在总统继任顺序中。,
30,Wrong_Answer_3,国务卿,
30,Wrong_Rationale_3,国务卿在总统继任顺序中排名第四。,
31,Question,如果总统和副总统都不能履行职务，谁将成为总统？,
31,Correct_Answer_1,众议院议长,
31,Correct_Rationale_1,众议院议长在总统继任顺序中排第三位。,
31,Wrong_Answer_1,国务卿,
31,Wrong_Rationale_1,国务卿在总统继任顺序中排第四位，仅次于众议院议长。,
31,Wrong_Answer_2,首席大法官,
31,Wrong_Rationale_2,首席大法官不在总统继任顺序中。,
31,Wrong_Answer_3,参议院临时议长,
31,Wrong_Rationale_3,参议院临时议长在总统继任顺序中排第四位，仅次于众议院议长。,
32,Question,谁是军队的总司令？,
32,Correct_Answer_1,总统,
32,Correct_Rationale_1,总统作为总司令，对美国武装部队拥有最高权力。,
32,Wrong_Answer_1,国防部长,
32,Wrong_Rationale_1,国防部长是国防部的文职首长，在总统的指挥下行事。,
32,Wrong_Answer_2,联合参谋长委员会主席,
32,Wrong_Rationale_2,联合参谋长委员会主席是军中军衔最高的军官，也是总统的首席军事顾问。,
32,Wrong_Answer_3,副总统,
32,Wrong_Rationale_3,副总统没有对军队的直接指挥权。,
33,Question,谁签署法案使其成为法律？,
33,Correct_Answer_1,总统,
33,Correct_Rationale_1,国会通过的法案必须由总统签署才能成为法律。,
33,Wrong_Answer_1,众议院议长,
33,Wrong_Rationale_1,众议院议长主持法案在众议院的通过过程，但没有最终签署使其成为法律的权力。,
33,Wrong_Answer_2,副总统,
33,Wrong_Rationale_2,副总统可以在参议院投下打破平局的一票，但不签署法案使其成为法律。,
33,Wrong_Answer_3,首席大法官,
33,Wrong_Rationale_3,首席大法官解释法律，但不参与立法过程。,
34,Question,谁否决法案？,
34,Correct_Answer_1,总统,
34,Correct_Rationale_1,总统有权否决国会通过的法案。,
34,Wrong_Answer_1,国会,
34,Wrong_Rationale_1,国会通过法案；它也可以推翻总统的否决权。,
34,Wrong_Answer_2,最高法院,
34,Wrong_Rationale_2,最高法院可以在法律颁布后裁定其违宪，但不能否决法案。,
34,Wrong_Answer_3,州长,
34,Wrong_Rationale_3,州长对州法律有否决权，但对联邦法律没有否决权。,
35,Question,总统的内阁做什么？,
35,Correct_Answer_1,向总统提供建议,
35,Correct_Rationale_1,内阁由行政部门的首长组成，为总统提供专业建议。,
35,Wrong_Answer_1,制定法律,
35,Wrong_Rationale_1,法律由国会制定。,
35,Wrong_Answer_2,选举总统,
35,Wrong_Rationale_2,总统由人民和选举人团选举产生。,
35,Wrong_Answer_3,宣战,
35,Wrong_Rationale_3,宣战是国会的专有权力。,
36,Question,哪两个是内阁级职位？,
36,Correct_Answer_1,国务卿,
36,Correct_Rationale_1,国务卿是负责外交政策的重要内阁成员。,
36,Correct_Answer_2,财政部长,
36,Correct_Rationale_2,财政部长负责国家的财政和经济政策。,
36,Correct_Answer_3,国防部长,
36,Correct_Rationale_3,国防部长负责监督军事和国防政策。,
36,Correct_Answer_4,司法部长,
36,Correct_Rationale_4,司法部长是司法部的负责人，也是首席执法官。,
36,Correct_Answer_5,农业部长,
36,Correct_Rationale_5,农业部长负责监督农业、食品安全和农村发展政策。,
36,Correct_Answer_6,商务部长,
36,Correct_Rationale_6,商务部长促进经济增长和贸易。,
36,Correct_Answer_7,教育部长,
36,Correct_Rationale_7,教育部长负责监督联邦教育政策和项目。,
36,Correct_Answer_8,能源部长,
36,Correct_Rationale_8,能源部长负责管理能源政策和核安全。,
36,Correct_Answer_9,卫生与公众服务部长,
36,Correct_Rationale_9,卫生与公众服务部长监督健康和福利项目。,
36,Correct_Answer_10,国土安全部长,
36,Correct_Rationale_10,国土安全部长保护国家免受安全威胁。,
36,Correct_Answer_11,住房与城市发展部长,
36,Correct_Rationale_11,住房与城市发展部长监督住房和城市发展政策。,
36,Correct_Answer_12,内政部长,
36,Correct_Rationale_12,内政部长管理公共土地和自然资源。,
36,Correct_Answer_13,劳工部长,
36,Correct_Rationale_13,劳工部长监督工作场所安全和劳资关系。,
36,Correct_Answer_14,交通部长,
36,Correct_Rationale_14,交通部长监督交通基础设施和安全。,
36,Correct_Answer_15,退伍军人事务部长,
36,Correct_Rationale_15,退伍军人事务部长为军队退伍军人提供服务。,
36,Correct_Answer_16,副总统,
36,Correct_Rationale_16,副总统也被视为内阁级职位。,
36,Wrong_Answer_1,首席大法官、众议院议长、参议院多数党领袖、众议院少数党领袖,
36,Wrong_Rationale_1,首席大法官是司法部门的首脑，并非行政内阁成员。众议院议长是立法部门的领导，不是内阁成员。参议院多数党领袖是立法职位。众议院少数党领袖也是立法职位。,
36,Wrong_Answer_2,美联储主席、最高法院大法官、美国参议员、美国众议员,
36,Wrong_Rationale_2,美联储主席是独立职位，不是内阁成员。最高法院大法官属于司法部门。美国参议员和众议员属于立法部门，不是行政内阁成员。,
36,Wrong_Answer_3,州长、市长、县委员、市议员,
36,Wrong_Rationale_3,州长是州级行政长官，不是联邦内阁成员。市长是地方政府官员。县委员在县一级任职。市议员是地方政府官员。这些职位都不是联邦内阁职位。,
37,Question,司法部门的职责是什么？,
37,Correct_Answer_1,审查法律,
37,Correct_Rationale_1,司法部门会审查法律以确保它们符合宪法。,
37,Correct_Answer_2,解释法律,
37,Correct_Rationale_2,司法部门解释法律的含义并将其适用于具体案件。,
37,Correct_Answer_3,解决争端,
37,Correct_Rationale_3,它通过裁决来解决法律纠纷。,
37,Correct_Answer_4,决定一项法律是否违反宪法,
37,Correct_Rationale_4,司法部门拥有司法审查权以判断法律是否符合宪法。,
37,Wrong_Answer_1,制定法律、执行法律、为总统提供建议,
37,Wrong_Rationale_1,立法部门（国会）制定法律。行政部门执行法律。内阁的角色是为总统提供建议。,
37,Wrong_Answer_2,征税、印钞、监管商业,
37,Wrong_Rationale_2,这些是国会的权力，不是司法部门的权力。,
37,Wrong_Answer_3,指挥军队、谈判条约、任命大使,
37,Wrong_Rationale_3,这些是总统的权力，不是司法部门的权力。,
38,Question,美国最高的法院是什么？,
38,Correct_Answer_1,最高法院,
38,Correct_Rationale_1,最高法院是美国司法体系中最高的法院。,
38,Wrong_Answer_1,州最高法院,
38,Wrong_Rationale_1,州最高法院是该州司法体系中最高的法院，但美国最高法院对整个国家来说更高。,
38,Wrong_Answer_2,上诉法院,
38,Wrong_Rationale_2,上诉法院是比最高法院低一级的法院。,
38,Wrong_Answer_3,国际法院,
38,Wrong_Rationale_3,国际法院是联合国的司法机构，负责处理国家之间的争端。,
39,Question,最高法院有多少位大法官？,
39,Correct_Answer_1,九（9）,
39,Correct_Rationale_1,最高法院由一名首席大法官和八名副大法官组成。,
39,Wrong_Answer_1,七（7）,
39,Wrong_Rationale_1,大法官的人数由法律规定，自1869年以来一直为九人。,
39,Wrong_Answer_2,十二（12）,
39,Wrong_Rationale_2,十二是指联邦巡回上诉法院的数量，而不是最高法院大法官的数量。,
39,Wrong_Answer_3,五十（50）,
39,Wrong_Rationale_3,五十是州的数量。,
40,Question,现在美国的首席大法官是谁？,
40,Correct_Answer_1,约翰·罗伯茨,
40,Correct_Rationale_1,小约翰·G·罗伯茨是美国第17任现任首席大法官。,
40,Wrong_Answer_1,克拉伦斯·托马斯,
40,Wrong_Rationale_1,克拉伦斯·托马斯是目前任职时间最长的大法官。,
40,Wrong_Answer_2,梅里克·加兰,
40,Wrong_Rationale_2,梅里克·加兰是现任司法部长。,
40,Wrong_Answer_3,露丝·巴德·金斯伯格,
40,Wrong_Rationale_3,露丝·巴德·金斯伯格是一位备受尊敬的大法官，于2020年去世。,
41,Question,根据我们的宪法，部分权力属于联邦政府。联邦政府的一项权力是什么？,
41,Correct_Answer_1,印钞,
41,Correct_Rationale_1,印钞是联邦政府的专属权力。,
41,Correct_Answer_2,宣战,
41,Correct_Rationale_2,宣战是联邦国会的权力。,
41,Correct_Answer_3,建立军队,
41,Correct_Rationale_3,建立和维持一支用于国防的军队是联邦政府的职责。,
41,Correct_Answer_4,缔结条约,
41,Correct_Rationale_4,与其他国家缔结正式条约是联邦政府的权力。,
41,Wrong_Answer_1,发放驾驶执照、提供教育、提供保护（警察）、规范婚姻法律,
41,Wrong_Rationale_1,发放驾驶执照是各州政府的权力。运营教育系统主要是州和地方政府的责任。提供警察力量主要是州和地方政府的权力。规范婚姻法是州的权力，而非联邦权力。,
41,Wrong_Answer_2,举行选举，设立地方法院，颁发职业许可证，规范州内商业,
41,Wrong_Rationale_2,举行选举由州和地方政府管理。设立地方法院是州的权力。颁发职业许可证由州政府负责。规范州内（州际内）商业是州的权力。,
41,Wrong_Answer_3,管理自然资源，设立市政当局，规范本地企业，提供消防部门,
