Index,Category,SubCategory,Questions,Answers,rationale,Wrong
11,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,"Các từ """"Cuộc sống, Tự do và theo đuổi Hạnh phúc"""" có trong văn kiện sáng lập"" nào?",Tuyên ngôn Độc lập,"Bản Tuyên ngôn Độc lập là tài liệu thành lập, trong đó nêu rõ ""Cuộc sống, Tự do và Mưu cầu Hạnh phúc"" là những quyền bất khả xâm phạm. Nó được thông qua vào ngày 4 tháng 7 năm 1776, công bố sự ly khai của 13 thuộc địa Mỹ khỏi Vương quốc Anh. Các thuộc địa đã gây chiến với Vương quốc Anh hơn một năm vào thời điểm Tuyên ngôn được thông qua.","Điều khoản Liên bang
Hiến pháp Hợp chủng quốc Hoa Kỳ
Tuyên ngôn Nhân quyền"
12,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Hệ thống kinh tế của Hoa Kỳ là gì? *,"Kinh tế tư bản, Kinh tế thị trường tự do","Hoa Kỳ chủ yếu vận hành theo hệ thống kinh tế thị trường tự do, tư bản chủ nghĩa. Trong hệ thống này, các cá nhân và doanh nghiệp phần lớn kiểm soát các phương tiện sản xuất và phân phối, với giá cả và sản lượng được xác định bởi cung và cầu, chứ không phải bởi sự kiểm soát của chính phủ. Vai trò của chính phủ nói chung là điều tiết thị trường, thực thi hợp đồng và cung cấp một số hàng hóa và dịch vụ công.","Chủ nghĩa xã hội, Nền kinh tế chỉ huy
Chủ nghĩa cộng sản, Nền kinh tế kế hoạch
Chế độ phong kiến, Hệ thống hàng đổi hàng"
13,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Pháp quyền là gì?,"Mọi người đều phải tuân theo luật pháp., Các nhà lãnh đạo đều phải tuân theo luật pháp., Chính phủ phải tuân theo luật pháp., Không ai đứng trên pháp luật.","Bối cảnh: Nguyên tắc Pháp quyền là một nguyên tắc cơ bản của Chính phủ Mỹ. Nó có nghĩa là tất cả mọi người và các tổ chức đều phải tuân thủ và chịu trách nhiệm trước pháp luật được áp dụng và thực thi một cách công bằng. Giải thích: Nguyên tắc Pháp quyền đảm bảo rằng mọi người, bao gồm cả các nhà lãnh đạo và chính phủ, phải tuân thủ luật pháp. Không ai đứng trên pháp luật. Nguyên tắc này thúc đẩy sự công bằng và ngăn chặn sự lạm dụng quyền lực.","Chỉ một số người phải tuân theo luật pháp.
Các nhà lãnh đạo đứng trên luật pháp.
Chính phủ đứng trên luật pháp."
14,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Nhiều tài liệu ảnh hưởng đến Hiến pháp Hoa Kỳ. Hãy nêu một ví dụ.,"Tuyên ngôn Độc lập, Các điều khoản Hợp bang, Luận cương Liên bang, Luận cương chống Liên bang, Tuyên ngôn về Quyền của Virginia, Các Chỉ thị Cơ bản của Connecticut, Hiệp ước Mayflower, Luật Hòa bình Vĩ đại Iroquois","Hiến pháp Hoa Kỳ bị ảnh hưởng bởi một số tài liệu lịch sử quan trọng. Tuyên ngôn Độc lập tuyên bố các thuộc địa ly khai khỏi Anh. Các Điều khoản Hợp bang đóng vai trò là hiến pháp đầu tiên của Hoa Kỳ, thiết lập một ""liên minh vững chắc"" giữa các bang. Các Bài báo của Liên bang là những bài tiểu luận được viết để thuyết phục cử tri ủng hộ Hiến pháp mới, trong khi Các Bài báo chống Liên bang bày tỏ nỗi sợ hãi về quyền lực của chính phủ mới. Tuyên ngôn Quyền Virginia là một tài liệu nền tảng đã ảnh hưởng đến Tuyên ngôn Độc lập và Tuyên ngôn Nhân quyền. Các tài liệu khác như Các Sắc lệnh Cơ bản của Connecticut, Hiệp ước Mayflower và Luật Hòa bình vĩ đại của Iroquois cũng đóng góp vào các ý tưởng về quyền tự quản của Mỹ.","Hiến chương Magna Carta, Tuyên ngôn Quyền lợi Anh, Lẽ thường
Hai khảo luận về Chính quyền, Đơn thỉnh cầu về Quyền, Các điều khoản Hợp bang
Tinh thần pháp luật, Khế ước xã hội"
15,CHÍNH QUYỀN HOA KỲ,Nguyên tắc của chính phủ,Chính phủ Hoa Kỳ có ba nhánh. Tại sao?,"Để ngăn cản một nhánh trở nên quá quyền lực, Kiểm soát và cân bằng, Phân quyền","Ba nhánh của chính phủ (lập pháp, hành pháp và tư pháp) mỗi nhánh đều có quyền lực riêng biệt để ngăn chặn bất kỳ nhánh nào trở nên quá lấn át. Hệ thống kiểm soát và đối trọng này đảm bảo sự phân chia quyền lực, nghĩa là mỗi nhánh có thể giới hạn quyền lực của các nhánh khác, từ đó duy trì một chính phủ cân bằng và bảo vệ các quyền tự do.","Để đảm bảo công bằng cho tất cả mọi người, Để ngăn chặn lạm dụng quyền lực của bất kỳ nhánh nào, Để bảo vệ quyền tự do cá nhân
Để cho phép ra quyết định nhanh chóng, Để đơn giản hóa các quy trình chính phủ, Để tập trung quyền lực
Để thúc đẩy tăng trưởng kinh tế, Để duy trì trật tự xã hội, Để bảo vệ biên giới quốc gia"
16,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Kể tên ba nhánh của chính phủ.,"Lập pháp, hành pháp và tư pháp, Quốc hội, tổng thống và tòa án","Ba nhánh chính phủ ở Hoa Kỳ được thiết kế để tạo ra một hệ thống kiểm soát và đối trọng, đảm bảo không có nhánh nào trở nên quá quyền lực. Giải thích câu trả lời: * Nhánh Lập pháp (Quốc hội): Ban hành luật. * Nhánh Hành pháp (Tổng thống): Thực hiện và thi hành luật. * Nhánh Tư pháp (Tòa án): Giải thích luật và quản lý công lý.","Kinh tế, xã hội và văn hóa, doanh nghiệp, người dân và các tiểu bang
Liên bang, tiểu bang và địa phương, thị trưởng, thống đốc và quốc gia
Công cộng, tư nhân và dân sự, công dân, công ty và các thành phố"
17,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Tổng thống Hoa Kỳ phụ trách nhánh nào của chính phủ?,Nhánh hành pháp,"Tổng thống Hoa Kỳ lãnh đạo nhánh Hành pháp, chịu trách nhiệm thực thi và ban hành luật do Quốc hội viết ra. Nhánh này cũng bao gồm Phó Tổng thống và các bộ, cơ quan khác nhau.","Nhánh lập pháp
Nhánh tư pháp
Quốc hội"
18,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Bộ phận nào của chính phủ liên bang viết luật?,"Quốc hội, (của Liên Bang hay Quốc Gia) cơ quan lập pháp, Nhánh Lập Pháp","Quốc hội Hoa Kỳ, bao gồm Thượng viện và Hạ viện, là nhánh lập pháp của chính phủ liên bang. Trách nhiệm chính của họ là tạo và thông qua luật cho đất nước. Hệ thống này được thiết kế để đảm bảo sự đại diện cho tất cả các tiểu bang và một quy trình lập pháp kỹ lưỡng.","(Tổng thống) Hành pháp, (Tổng thống hoặc quốc gia) lãnh đạo, Nhánh Hành pháp
(Tối cao) Tòa án, (Tối cao hoặc quốc gia) tư pháp, Nhánh Tư pháp
(Thống đốc) Thống đốc tiểu bang, (Thống đốc tiểu bang hoặc quốc gia) lãnh đạo, Chính phủ tiểu bang"
19,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Lưỡng Viện Hoa Kỳ bao gồm hai phần gì?,Thượng Viện và Hạ Viện,"Quốc hội Hoa Kỳ, cơ quan lập pháp của chính phủ liên bang, là lưỡng viện, có nghĩa là nó được chia thành hai viện riêng biệt: Thượng viện và Hạ viện. Cấu trúc này được thành lập bởi Hiến pháp Hoa Kỳ để cung cấp một hệ thống kiểm tra và cân bằng, đảm bảo các hình thức đại diện và quy trình lập pháp khác nhau. Thượng viện, với sự đại diện bình đẳng cho mỗi tiểu bang, và Hạ viện, với sự đại diện theo tỷ lệ dựa trên dân số, cùng nhau làm việc để tạo ra và thông qua luật.","Tổng thống và Phó Tổng thống
Hành pháp và Tư pháp (Các nhánh)
Thống đốc và Thị trưởng"
20,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Nêu tên một quyền lực của Quốc hội Hoa Kỳ. *,"Viết luật, Tuyên bố chiến tranh, Tạo ra ngân sách liên bang","Quốc hội Hoa Kỳ, bao gồm Hạ viện và Thượng viện, là nhánh lập pháp của chính phủ liên bang. Vai trò chính của Quốc hội là tạo ra luật pháp cho đất nước. Các quyền hạn chính bao gồm soạn thảo và thông qua luật, chính thức tuyên chiến và phê duyệt ngân sách liên bang, trong đó phác thảo chi tiêu của chính phủ.","Chỉ định thẩm phán, Chỉ huy quân đội, Phủ quyết luật pháp
Thực thi luật pháp, Giải thích luật pháp, Ân xá tội phạm
Đàm phán hiệp ước, Thu thuế, Ban hành sắc lệnh hành pháp"
21,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Có bao nhiêu Thượng Nghị Sĩ Hoa Kỳ?,Một trăm (100),"Thượng viện Hoa Kỳ bao gồm 100 thượng nghị sĩ, với hai thượng nghị sĩ đại diện cho mỗi trong số 50 tiểu bang. Các thượng nghị sĩ này phục vụ nhiệm kỳ sáu năm.","Năm mươi (50)
Hai trăm (200)
Bảy mươi (70)"
22,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Nhiệm kỳ của một thượng nghị sĩ Hoa Kỳ là bao lâu?,Sáu (6) năm,"Các Thượng nghị sĩ phục vụ nhiệm kỳ sáu năm để mang lại sự ổn định và cho phép họ tập trung vào chính sách dài hạn mà không bị áp lực tái tranh cử liên tục. Nhiệm kỳ dài hơn này phân biệt họ với các Hạ nghị sĩ, những người phục vụ nhiệm kỳ hai năm và phản ứng trực tiếp hơn với tâm lý công chúng ngay lập tức.","Hai (2) năm
Bốn (4) năm
Mười (10) năm"
23,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Nghị sĩ đại diện cho bang của bạn là ai?,Câu trả lời sẽ thay đổi. [Cư dân Quận Columbia và các lãnh thổ Mỹ nên trả lời rằng Quận Colombia (hoặc lãnh thổ mà ứng viên sinh sống) không có nghị sĩ đại diện.],Câu trả lời cho câu hỏi này tùy thuộc vào tiểu bang nơi người đó sinh sống. Mỗi tiểu bang Hoa Kỳ bầu hai thượng nghị sĩ đại diện cho mình tại Thượng viện Hoa Kỳ. Vì có 50 tiểu bang nên có tổng cộng 100 thượng nghị sĩ Hoa Kỳ.,"[Các câu trả lời không chính xác sẽ khác nhau]
[Không có câu trả lời cụ thể]
[Thay đổi tùy theo tiểu bang]"
24,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Hạ Viện có bao nhiêu thành viên bỏ phiếu?,Bốn trăm ba mươi lăm (435),"Hạ viện là hạ viện của Quốc hội Hoa Kỳ. Số lượng thành viên bỏ phiếu được pháp luật quy định là 435, với đại diện cho mỗi tiểu bang được xác định theo dân số. Con số này đã được ấn định từ năm 1913.","Ba trăm (300)
Năm trăm (500)
Hai trăm (200)"
25,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Nhiệm kỳ của một dân biểu trong Hạ Viện là bao lâu?,Hai (2) năm,"Các thành viên của Hạ viện Hoa Kỳ phục vụ nhiệm kỳ hai năm. Nhiệm kỳ ngắn hơn này, so với nhiệm kỳ sáu năm của các Thượng nghị sĩ, được thiết kế để giữ cho các đại diện phải chịu trách nhiệm chặt chẽ hơn trước cử tri của họ và để phản ánh ý kiến công chúng thường xuyên hơn. Toàn bộ Hạ viện sẽ tái tranh cử cứ sau hai năm.","Bốn (4) năm
Sáu (6) năm
Một (1) năm"
26,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Tại sao dân biểu Hoa Kỳ có nhiệm kỳ ngắn hơn so với thượng nghị sĩ Hoa Kỳ?,Theo dõi sát sao dư luận hơn,"Giải thích: Những người lập hiến của Hiến pháp Hoa Kỳ đã thiết kế Hạ viện để đáp ứng nhanh hơn với ý chí trực tiếp của người dân. Với nhiệm kỳ ngắn hơn, các đại diện phải chịu trách nhiệm thường xuyên hơn trước cử tri và dư luận. Bối cảnh: Quốc hội Hoa Kỳ là lưỡng viện, bao gồm Hạ viện và Thượng viện. Các đại diện phục vụ nhiệm kỳ hai năm, trong khi các thượng nghị sĩ phục vụ nhiệm kỳ sáu năm. Sự khác biệt về độ dài nhiệm kỳ này phản ánh ý định của những người lập hiến nhằm tạo ra sự cân bằng giữa đại diện trực tiếp của người dân và tư duy lập pháp thận trọng hơn, dài hạn hơn.","Để hạn chế quyền lực của họ
Để đảm bảo một chính phủ ổn định hơn
Để đại diện cho một nhóm người nhỏ hơn"
27,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Mỗi bang có bao nhiêu thượng nghị sĩ?,Hai (2),"Mỗi tiểu bang, bất kể dân số, có hai thượng nghị sĩ để đảm bảo sự đại diện bình đẳng cho tất cả các tiểu bang trong Thượng viện Hoa Kỳ. Cấu trúc này được thành lập bởi Hiến pháp Hoa Kỳ để cân bằng quyền lực của các tiểu bang lớn hơn và nhỏ hơn.","Một (1)
Ba (3)
Bốn (4)"
28,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Tại sao mỗi bang có hai thượng nghị sĩ?,"Đại diện bình đẳng (cho các bang nhỏ), Thỏa Hiệp Lớn (Thỏa Hiệp Connecticut)","Thượng viện Hoa Kỳ có hai thượng nghị sĩ cho mỗi tiểu bang để đảm bảo sự đại diện bình đẳng cho tất cả các tiểu bang, bất kể quy mô dân số. Đây là một phần quan trọng của ""Thỏa hiệp lớn"" (còn được gọi là Thỏa hiệp Connecticut) trong Hội nghị Lập hiến, nhằm cân bằng lợi ích của các tiểu bang lớn và nhỏ.","Lệnh của Tổng thống (để cân bằng quyền lực)
Tuyên ngôn Nhân quyền (cho từng tiểu bang)
Mật độ dân số (của các tiểu bang lớn hơn)"
29,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Kể tên dân biểu của bạn.,Câu trả lời sẽ thay đổi. [Cư dân của những vùng lãnh thổ có Đại biểu hoặc Ủy viên Thường trú không bỏ phiếu có thể nêu tên của Đại biểu hoặc Ủy viên đó. Chấp nhận cả đáp án rằng vùng lãnh thổ này không có Dân biểu (được quyền bỏ phiếu) ở Quốc hội.],"Giải thích: Câu trả lời khác nhau vì mỗi hạ nghị sĩ Hoa Kỳ được bầu để đại diện cho một khu vực cụ thể, vì vậy câu trả lời đúng phụ thuộc vào địa điểm của người làm bài kiểm tra. Bối cảnh: Hạ viện Hoa Kỳ bao gồm các thành viên được người dân của 50 tiểu bang bầu ra. Số lượng hạ nghị sĩ mỗi tiểu bang có được dựa trên dân số của tiểu bang đó. Các hạ nghị sĩ này phục vụ nhiệm kỳ hai năm và chịu trách nhiệm đại diện cho lợi ích của cử tri của họ trong chính phủ liên bang.","Nancy Pelosi
Kevin Mullin
Maxine Waters"
30,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Tên của đương kim Phát ngôn viên Hạ Viện là gì? *,Xin ghé thăm trang uscis.gov/citizenship/testupdates để biết tên của Chủ Tịch Hạ viện Dân Biểu Hoa Kỳ,"Chủ tịch Hạ viện là lãnh đạo Hạ viện Hoa Kỳ. Vị trí này được bổ nhiệm thông qua bầu cử vào đầu mỗi nhiệm kỳ Quốc hội mới, hoặc nếu vị trí đó bị bỏ trống. Chủ tịch hiện tại là Mike Johnson. Câu trả lời ""Câu trả lời sẽ khác nhau"" cho thấy tên của Chủ tịch có thể thay đổi theo thời gian.","Kevin McCarthy
Nancy Pelosi
Paul Ryan"
31,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Thượng nghị sĩ Hoa Kỳ đại diện cho ai?,"Công dân tiểu bang của họ, Người dân của bang họ",Một Thượng nghị sĩ Hoa Kỳ đại diện cho toàn bộ dân số của tiểu bang cụ thể của họ trong chính phủ liên bang. Điều này đảm bảo rằng lợi ích và nhu cầu của tất cả công dân tiểu bang được thể hiện trong việc hoạch định chính sách quốc gia.,"Tổng thống, Phó Tổng thống
Tòa án Tối cao, Hạ viện
Chính phủ nước ngoài, Các quốc gia khác"
32,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Ai bầu chọn thượng nghị sĩ Hoa Kỳ?,Công dân tiểu bang của họ,"Tại Hoa Kỳ, các thượng nghị sĩ được người dân của các bang tương ứng bầu trực tiếp. Quá trình này là một phần cơ bản của nền dân chủ Mỹ, cho phép người dân lựa chọn đại diện của họ trong chính phủ liên bang. Tu chính án thứ 17 của Hiến pháp Hoa Kỳ, được phê chuẩn vào năm 1913, đã thiết lập việc bầu cử trực tiếp các thượng nghị sĩ bằng phiếu phổ thông, thay thế hệ thống trước đây nơi các cơ quan lập pháp tiểu bang đã chọn họ.","Tổng thống
Hạ viện
Tối cao Pháp viện"
33,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Dân biểu của Hạ viện đại diện cho ai?,"Công dân trong quận (quốc hội) của họ, Công dân trong quận của họ, Người dân từ khu vực bầu cử (quốc hội) của họ, Người dân trong khu vực của họ","Giải thích: Các thành viên của Hạ viện đại diện cho những người sống ở các khu vực địa lý cụ thể trong bang của họ, được gọi là các khu vực quốc hội. Điều này đảm bảo rằng các nhu cầu và lợi ích đa dạng của các cộng đồng khác nhau trên cả nước được lắng nghe và giải quyết trong cơ quan lập pháp quốc gia. Bối cảnh: Hạ viện Hoa Kỳ được thiết kế để trở thành phòng gần dân nhất của Quốc hội. Các đại diện được bầu với nhiệm kỳ hai năm và số lượng đại diện mỗi bang có được dựa trên dân số của bang đó, được xác định bởi cuộc điều tra dân số mười năm một lần.","Tổng thống, Tối cao Pháp viện, Thượng viện
Thống đốc, Cơ quan lập pháp tiểu bang, Thị trưởng
Công dân nước ngoài, Công dân các nước khác, Người không cư trú"
34,CHÍNH QUYỀN HOA KỲ,Hệ thống chính quyền,Ai bầu ra các dân biểu của Hạ Viện?,Công dân từ quận (quốc hội) của họ,Hạ viện Hoa Kỳ bao gồm các thành viên được người dân bầu ra. Mỗi thành viên đại diện cho một khu vực quốc hội cụ thể trong tiểu bang của họ và chỉ những công dân sống trong khu vực đó mới có thể bỏ phiếu cho đại diện của họ.,"Thượng nghị sĩ từ quận (bầu cử) của họ
Thống đốc từ quận (tiểu bang) của họ
Tổng thống từ quận (quốc gia) của họ"
