Index,Category,SubCategory,Question,Answers,rationale,Wrong
17,Gobierno estadounidense,Sistema de Gobierno,¿El Presidente de los Estados Unidos está a cargo de qué rama del gobierno?,Poder ejecutivo,"El Presidente de los Estados Unidos lidera la rama ejecutiva, que es responsable de implementar y hacer cumplir las leyes escritas por el Congreso. Esta rama también incluye al Vicepresidente y varios departamentos y agencias.","Poder legislativo
Poder judicial
Congreso"
18,Gobierno estadounidense,Sistema de Gobierno,¿Qué parte del gobierno federal escribe las leyes?,"(EE. UU.) El Congreso, La legislatura (nacional o EE. UU.), Poder legislativo","El Congreso de los Estados Unidos, compuesto por el Senado y la Cámara de Representantes, es la rama legislativa del gobierno federal. Su principal responsabilidad es crear y aprobar leyes para el país. Este sistema está diseñado para garantizar la representación de todos los estados y un proceso exhaustivo para la elaboración de leyes.","Poder Ejecutivo (Presidente), Líder (Presidente o nacional), Rama Ejecutiva
Corte (Suprema), Poder judicial (Supremo o nacional), Rama Judicial
Gobernador (Estatal), Líder (Estatal o nacional), Gobierno estatal"
19,Gobierno estadounidense,Sistema de Gobierno,¿Cuáles son las dos partes que integran el Congreso de los Estados Unidos?,El Senado y la Cámara (de Representantes),"El Congreso de los Estados Unidos, el poder legislativo del gobierno federal, es bicameral, lo que significa que está dividido en dos cámaras distintas: el Senado y la Cámara de Representantes. Esta estructura fue establecida por la Constitución de los Estados Unidos para proporcionar un sistema de pesos y contrapesos, asegurando diferentes formas de representación y procesos legislativos. El Senado, con igual representación para cada estado, y la Cámara de Representantes, con representación proporcional basada en la población, trabajan juntos para crear y aprobar leyes.","Presidente y Vicepresidente
Poder Ejecutivo y Judicial (Ramas)
Gobernadores y Alcaldes"
20,Gobierno estadounidense,Sistema de Gobierno,Nombra un poder del Congreso de los Estados Unidos. *,"Escribir leyes, Declarar guerra, Preparar el presupuesto federal","El Congreso de los Estados Unidos, compuesto por la Cámara de Representantes y el Senado, es la rama legislativa del gobierno federal. Su función principal es crear leyes para el país. Los poderes clave incluyen redactar y aprobar legislación, declarar la guerra oficialmente y aprobar el presupuesto federal, que describe el gasto gubernamental.","Nombra jueces, Comanda militares, Veta legislación
Aplica leyes, Interpreta leyes, Perdona criminales
Negocia tratados, Recauda impuestos, Emite órdenes ejecutivas"
21,Gobierno estadounidense,Sistema de Gobierno,¿Cuántos senadores de los Estados Unidos hay?,Cien (100),"El Senado de los Estados Unidos está compuesto por 100 senadores, con dos senadores representando cada uno de los 50 estados. Estos senadores cumplen mandatos de seis años.","Cincuenta (50)
Doscientos (200)
Setenta (70)"
22,Gobierno estadounidense,Sistema de Gobierno,¿Cuánto dura un mandato para un senador de los EE. UU.?,Seis (6) años,"Los senadores cumplen mandatos de seis años para brindar estabilidad y permitirles enfocarse en políticas a largo plazo sin la presión constante de la reelección. Este período más largo los distingue de los Representantes de la Cámara, quienes cumplen mandatos de dos años y responden más directamente al sentimiento público inmediato.","Dos (2) años
Cuatro (4) años
Diez (10) años"
23,Gobierno estadounidense,Sistema de Gobierno,Nombre a uno de los senadores actuales del estado donde usted vive.,Las respuestas variarán. [Los residentes del Distrito de Columbia y los territorios de los Estados Unidos deberán responder que D.C. (o territorio en donde vive el solicitante) no cuenta con senadores a nivel nacional.],"La respuesta a esta pregunta depende del estado donde viva la persona. Cada estado de EE. UU. elige dos senadores para representarlos en el Senado de EE. UU. Como hay 50 estados, hay un total de 100 senadores de EE. UU.","[Las respuestas incorrectas variarán]
[No hay una respuesta específica]
[Varía según el estado]"
24,Gobierno estadounidense,Sistema de Gobierno,¿Cuántos miembros con derecho a voto hay en la Cámara de Representantes?,Cuatrocientos treinta y cinco (435),"La Cámara de Representantes es la cámara baja del Congreso de los Estados Unidos. El número de miembros con derecho a voto está fijado en 435 por ley, con la representación de cada estado determinada por la población. Este número se ha mantenido desde 1913.","Trescientos (300)
Quinientos (500)
Doscientos (200)"
25,Gobierno estadounidense,Sistema de Gobierno,¿Cuánto dura un mandato para un miembro de la Cámara de Representantes?,Dos (2) años,"Los miembros de la Cámara de Representantes de EE. UU. sirven términos de dos años. Esta duración de mandato más corta, en comparación con el mandato de seis años para los senadores, fue diseñada para mantener a los representantes más directamente responsables ante sus electores y para reflejar la opinión pública con mayor frecuencia. Toda la Cámara se somete a reelección cada dos años.","Cuatro (4) años
Seis (6) años
Un (1) año"
26,Gobierno estadounidense,Sistema de Gobierno,¿Por qué los representantes sirven por períodos más cortos que los senadores de los EE. UU.?,Para seguir más de cerca la opinión pública,"Explicación: Los redactores de la Constitución de los EE. UU. diseñaron la Cámara de Representantes para que respondiera más directamente a la voluntad inmediata del pueblo. Al tener mandatos más cortos, los representantes son más frecuentemente responsables ante sus electores y la opinión pública. Antecedentes: El Congreso de los EE. UU. es bicameral y consta de la Cámara de Representantes y el Senado. Los representantes cumplen mandatos de dos años, mientras que los senadores cumplen mandatos de seis años. Esta diferencia en la duración de los mandatos refleja la intención de los redactores de crear un equilibrio entre la representación popular directa y un pensamiento legislativo más deliberativo y a largo plazo.","Para limitar su poder
Para asegurar un gobierno más estable
Para representar a un grupo más pequeño de personas"
27,Gobierno estadounidense,Sistema de Gobierno,¿Cuántos senadores tiene cada estado?,Dos (2),"Cada estado, independientemente de su población, tiene dos senadores para asegurar una representación igualitaria para todos los estados en el Senado de los EE. UU. Esta estructura fue establecida por la Constitución de los EE. UU. para equilibrar el poder de los estados más grandes y más pequeños.","Uno (1)
Tres (3)
Cuatro (4)"
28,Gobierno estadounidense,Sistema de Gobierno,¿Por qué cada estado tiene dos senadores?,"Representación igualitaria (para los estados pequeños), El Gran compromiso (Compromiso de Connecticut)","El Senado de los Estados Unidos tiene dos senadores por estado para asegurar una representación igualitaria para todos los estados, sin importar el tamaño de su población. Esto fue una parte clave del ""Gran Compromiso"" (también conocido como el Compromiso de Connecticut) durante la Convención Constitucional, que equilibró los intereses de los estados grandes y pequeños.","El orden del Presidente (para equilibrar el poder), La Declaración de Derechos (para los estados individuales)
Para limitar el poder federal (y aumentar el control estatal), Los Artículos de la Confederación (primera constitución)
Densidad de población (de estados más grandes), El Consentimiento Unánime (de todos los delegados)"
29,Gobierno estadounidense,Sistema de Gobierno,Nombre a su representante a nivel nacional.,Las respuestas variarán. [Los residentes de territorios con delegados no votantes o comisionados residentes pueden decir el nombre de dicho delegado o comisionado. También es aceptable una respuesta que indique que el territorio no tiene representantes (votantes) en el Congreso.],"Explicación: La respuesta varía porque cada representante de EE. UU. es elegido para representar un distrito específico, por lo que la respuesta correcta depende de la ubicación del examinado. Antecedentes: La Cámara de Representantes de EE. UU. está compuesta por miembros elegidos por el pueblo de los 50 estados. El número de representantes que tiene cada estado se basa en su población. Estos representantes sirven términos de dos años y son responsables de representar los intereses de sus constituyentes en el gobierno federal.","Nancy Pelosi
Kevin Mullin
Maxine Waters"
30,Gobierno estadounidense,Sistema de Gobierno,¿Cómo se llama el Presidente actual de la Cámara de Representantes?*,[Las respuestas variarán],"El Portavoz de la Cámara es el líder de la Cámara de Representantes de los Estados Unidos. Esta posición se llena mediante una elección al comienzo de cada nuevo Congreso, o si la posición queda vacante. El actual Portavoz es Mike Johnson.","Incorrecto:
Kevin McCarthy
Nancy Pelosi
Paul Ryan"
31,Gobierno estadounidense,Sistema de Gobierno,¿A quién representa un senador de los EE. UU.?,"Los ciudadanos de su estado, La gente de su estado",Un senador de los Estados Unidos representa a toda la población de su estado específico en el gobierno federal. Esto asegura que los intereses y necesidades de todos los ciudadanos del estado sean expresados en la formulación de políticas nacionales.,"El Presidente, El Vicepresidente
La Corte Suprema, La Cámara de Representantes
Gobiernos extranjeros, Otros países"
32,Gobierno estadounidense,Sistema de Gobierno,¿Quién elige a los senadores de los EE. UU.?,Los ciudadanos de su estado,"En Estados Unidos, los senadores son elegidos directamente por los ciudadanos de sus respectivos estados. Este proceso es una parte fundamental de la democracia estadounidense, lo que permite a la gente elegir a sus representantes en el gobierno federal. La 17ª Enmienda a la Constitución de los Estados Unidos, ratificada en 1913, estableció la elección directa de los senadores por voto popular, reemplazando el sistema anterior en el que las legislaturas estatales los elegían.","El Presidente
La Cámara de Representantes
La Corte Suprema"
33,Gobierno estadounidense,Sistema de Gobierno,¿A quiénes representa un miembro de la Cámara de Representantes?,"Los ciudadanos en su distrito (congresional), Los ciudadanos en su distrito, Personas de su distrito (del Congreso), Personas en su distrito","Explicación: Los miembros de la Cámara de Representantes representan a las personas que viven en áreas geográficas específicas dentro de su estado, conocidas como distritos congresionales. Esto asegura que las diversas necesidades e intereses de las diferentes comunidades en todo el país sean escuchados y abordados en la legislatura nacional. Antecedentes: La Cámara de Representantes de EE. UU. está diseñada para ser la cámara del Congreso más cercana a la gente. Los representantes son elegidos por períodos de dos años, y el número de representantes que tiene cada estado se basa en su población, según lo determinado por el censo decenal.","El Presidente, La Corte Suprema, El Senado
El Gobernador, La Legislatura Estatal, El Alcalde
Ciudadanos extranjeros, Ciudadanos de otros países, No residentes"
34,Gobierno estadounidense,Sistema de Gobierno,¿Quién elige a los miembros de la Cámara de Representantes?,Los ciudadanos de su distrito (congresional),"La Cámara de Representantes de EE. UU. está compuesta por miembros elegidos por el pueblo. Cada miembro representa un distrito congresional específico dentro de su estado, y solo los ciudadanos que viven en ese distrito pueden votar por su representante.","Senadores de su distrito (electoral)
Gobernadores de su distrito (estatal)
El Presidente de su distrito (nacional)"
35,Gobierno estadounidense,Sistema de Gobierno,¿Por qué algunos estados tienen más representantes que otros?,"(Debido a) la población del estado, (Debido a que) tienen más gente, (Debido a que) algunos estados tienen más gente","El número de representantes que tiene un estado en la Cámara de Representantes se basa en su población. Los estados con más gente obtienen más representantes, asegurando que la representación sea proporcional a la población del estado. Este sistema es parte del Gran Compromiso durante la redacción de la Constitución de los Estados Unidos, equilibrando los intereses de los estados grandes y pequeños.","(Debido a) el tamaño del estado, (Porque) tienen más tierra, (Porque) algunos estados son más grandes
(Debido a) la ubicación del estado, (Porque) están en el sur, (Porque) algunos estados son más cálidos
(Debido a) la historia del estado, (Porque) fueron fundados primero, (Porque) algunos estados son más antiguos"
36,Gobierno estadounidense,Sistema de Gobierno,¿De cuántos años es el término de elección de un presidente? *,Cuatro (4）,"El Presidente de los Estados Unidos cumple un mandato de cuatro años. Este límite de mandato fue establecido por la 22ª Enmienda de la Constitución de los EE. UU., ratificada en 1951, principalmente para evitar que cualquier presidente sirviera un número excesivo de mandatos, después de los cuatro mandatos de Franklin D. Roosevelt durante un período de crisis nacional.","Dos (2) años
Seis (6) años
Ocho (8) años"
37,Gobierno estadounidense,Sistema de Gobierno,El Presidente de los Estados Unidos sólo puede cumplir dos mandatos. ¿Por qué?,"(Debido a) la 22a Enmienda, Para evitar que el presidente se vuelva demasiado poderoso","La 22ª Enmienda limita al Presidente a dos mandatos para evitar que una sola persona acumule demasiado poder, asegurando un equilibrio de poder y promoviendo principios democráticos al permitir cambios regulares en el liderazgo.","(Debido a) la 19ª Enmienda, Para hacer al presidente más poderoso
(Debido a) la 13ª Enmienda, Para permitir que el presidente sirva términos ilimitados
(Debido a) la 1ª Enmienda, Para limitar el poder del presidente a un mandato"
38,Gobierno estadounidense,Sistema de Gobierno,¿Cómo se llama el actual Presidente de los Estados Unidos?*,[Las respuestas variarán],El Presidente de los Estados Unidos es el jefe del poder ejecutivo. El actual Presidente es Donald J. Trump (a partir de 2025).,"George Washington
Abraham Lincoln
John F. Kennedy"
39,Gobierno estadounidense,Sistema de Gobierno,¿Cómo se llama el actual Vicepresidente de los Estados Unidos? *,[Las respuestas variarán],El Vicepresidente de los Estados Unidos es el segundo en la línea de sucesión presidencial. El actual Vicepresidente es JD Vance (a partir de 2025).,"George Washington
Abraham Lincoln
John F. Kennedy"
40,Gobierno estadounidense,Sistema de Gobierno,"Si el Presidente ya no puede cumplir sus funciones, ¿quién se convierte en Presidente?",El Vicepresidente,"Explicación: Si el Presidente ya no puede servir, el Vicepresidente asume el cargo para mantener la continuidad en el liderazgo. Esto es parte de la línea de sucesión presidencial.","El Presidente de la Cámara de Representantes
El Presidente de la Corte Suprema
El Secretario de Estado"
41,Gobierno estadounidense,Sistema de Gobierno,Nombra una poder del presidente.,"Firma los proyectos de ley, Veta los proyectos de ley, Aplica las leyes, Comandante en jefe (de las fuerzas armadas), Jefe diplomático, Nombra a jueces federales","El Presidente de los Estados Unidos tiene una autoridad significativa. Sus poderes incluyen promulgar leyes (o vetarlas), hacer cumplir esas leyes, servir como Comandante en Jefe del ejército, actuar como el principal diplomático de la nación y nombrar jueces federales. Estas responsabilidades son cruciales para el funcionamiento del gobierno estadounidense.","Declara la guerra, Nombra gobernadores estatales, Escribe leyes estatales
Aprueba presupuestos estatales, Comanda milicias estatales, Negocia tratados estatales
Grava impuestos estatales, Imprime dinero estatal, Establece días festivos estatales"
42,Gobierno estadounidense,Sistema de Gobierno,¿Quién es el Comandante en Jefe de las Fuerzas Armadas?,El Presidente,"El Presidente de los Estados Unidos ostenta el título de Comandante en Jefe, lo que significa que es el comandante supremo de todas las fuerzas militares de EE. UU. Este rol se describe en la Constitución de los EE. UU., estableciendo el control civil sobre el ejército para asegurar que el poder militar esté subordinado al gobierno democrático.","El Presidente de la Cámara de Representantes
El Presidente del Tribunal Supremo
El Vicepresidente de los Estados Unidos"
43,Gobierno estadounidense,Sistema de Gobierno,¿Quién firma los proyectos de ley para convertirlos en ley?,El Presidente,"El Presidente de los Estados Unidos juega un papel crucial en el proceso legislativo. Después de que un proyecto de ley es aprobado tanto por la Cámara de Representantes como por el Senado, se envía al Presidente. El Presidente puede entonces firmar el proyecto de ley para convertirlo en ley, vetarlo (rechazarlo) o permitir que se convierta en ley sin una firma. Una firma presidencial es el paso final para promulgar un proyecto de ley, haciéndolo ejecutable en todo el país.","El Vicepresidente (de los Estados Unidos)
El Portavoz (de la Cámara)
El Presidente del Tribunal Supremo (del Tribunal Supremo)"
44,Gobierno estadounidense,Sistema de Gobierno,¿Quién veta los proyectos de ley? *,El Presidente,"Explicación: El Presidente tiene el poder de rechazar los proyectos de ley aprobados por el Congreso, impidiendo que se conviertan en ley. Antecedentes: Este poder es una parte clave del sistema de pesos y contrapesos en el gobierno de EE. UU., diseñado para garantizar que ninguna rama se vuelva demasiado poderosa.","El Presidente de la Cámara de Representantes
El Juez Presidente (de la Corte Suprema)
El Vicepresidente (de los Estados Unidos)"
45,Gobierno estadounidense,Sistema de Gobierno,¿Quién designa a los jueces federales?,El Presidente (de los Estados Unidos),"El Presidente de los Estados Unidos nombra a los jueces federales. Esto es parte del sistema de controles y equilibrios, donde el Poder Ejecutivo (Presidente) propone a los jueces y el Poder Legislativo (Senado) confirma estas nominaciones. Esto asegura que ninguna rama tenga demasiado poder.","El Presidente del Tribunal Supremo (de la Corte Suprema)
El Senado (de los Estados Unidos)
El Presidente (de la Cámara de Representantes)"
46,Gobierno estadounidense,Sistema de Gobierno,El poder ejecutivo tiene muchas partes. Nombra uno de ellas.,"Presidente (de los Estados Unidos), Gabinete, Los departamentos y agencias federales",La rama ejecutiva es responsable de implementar y hacer cumplir las leyes escritas por el Congreso. El Presidente de los Estados Unidos es el jefe de la rama ejecutiva. El Gabinete y los departamentos y agencias federales ayudan al Presidente a llevar a cabo estas tareas.,"La Corte Suprema (de los Estados Unidos), El Congreso, Las legislaturas y agencias estatales
El Presidente (de la Cámara), El Senado, Los departamentos y agencias locales
El Presidente del Tribunal Supremo (de los Estados Unidos), La Cámara de Representantes, Los departamentos y agencias del condado"
47,Gobierno estadounidense,Sistema de Gobierno,¿Qué hace el Gabinete del Presidente?,Asesora al Presidente,"El Gabinete del Presidente está compuesto por los jefes de los departamentos ejecutivos, elegidos por el Presidente, y su función principal es asesorar al Presidente en asuntos relacionados con sus respectivos departamentos y cuestiones nacionales más amplias. Este órgano asesor ayuda al Presidente a tomar decisiones informadas y a ejecutar políticas.","Aprueba leyes (del Congreso)
Nombra jueces de la Corte Suprema (para el país)
Dirige el ejército (de la nación)"
